LicenseStatus,AssociateId,LicenseeId,UBI,LicenseNumber,Name,DBA,LicenseIssueDate,LicenseExpirationDate,ExternalIdentifier,IsDeleted,Address1,Address2,City,State,ZipCode,County,EmailAddress,PhoneNumber,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate
Active,,2157,6033408760010002,422561,SINSEMILLA LLC,SINSEMILLA,2023-12-21,2025-10-31,,False,2916 STATE ST STE 304,,EVERETT,WA,982013842,SNOHOMISH,SINSEMILLALLC@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-22 06:06:52.117000000
Active,,1276,6051489300010001,415980,EVERGREEN 365 MANAGEMENT LLC,EVERGREEN 365 MANAGMENT LLC,2023-12-21,2025-03-31,,False,4375 WEST RD,,BLAINE,WA,982309171,WHATCOM,amc62812@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-22 06:06:52.117000000
Active,,2120,6045863300010003,422298,MEMENTO VIVERE LLC,BELFAIR CANNABIS COMPANY,2023-12-07,2025-02-28,,False,24090 NE STATE ROUTE 3 STE I,,BELFAIR,WA,985289665,MASON,tim@bayshorecannabis.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-08 06:00:12.767000000
Active,2023.0,2946,6043897800010002,362816,3833 RETAIL LLC,ZIPS CANNABIS,2023-02-10,2025-02-28,,False,5924 6TH AVE,,TACOMA,WA,984062016,PIERCE,Scottatkison@mac.com,,LoadLicenseeETL,2022-02-18 04:46:06.083000000,proc_UpdateExistingLicenses,2023-02-11 04:46:19.347000000
Active,,770,6050231300010001,413690,NYWY LLC,NYWY LLC,2023-10-18,2025-01-31,,False,12125 TREOSTI RD STE A,,SNOHOMISH,WA,982900000,SNOHOMISH,nywy6699@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-10-19 05:45:07.803000000
Active,,2281,6048648240010001,423993,WHIDBEY RETAIL GROUP LLC,WHIDBEY RETAIL GROUP,2023-12-29,2025-01-31,,False,1860 SCOTT RD,,FREELAND,WA,982499430,ISLAND,boost52@hotmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-30 06:11:42.760000000
Active,,2424,6034724060010003,425839,WAMSTERDAM FARMS LLC,GRAVITY TRANSPORT,2023-12-19,2025-01-31,,False,43001 N GRIFFIN RD UNIT E,,GRANDVIEW,WA,989309041,BENTON,contact@wamfarms.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-20 06:06:53.510000000
Active,,451,6032711860010002,412759,AVITAS AGRICULTURE INC,AVITAS,2023-12-07,2025-01-31,,False,25404 STATE ROUTE 9 STE B,,ARLINGTON,WA,982230000,SNOHOMISH,AVITAS.AG@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-13 06:02:19.990000000
Active,,1439,6034724060010001,416392,WAMSTERDAM FARMS LLC,WAMSTERDAM FARMS,2023-12-19,2025-01-31,,False,43001 N GRIFFIN RD STE C,,GRANDVIEW,WA,989300000,BENTON,CONTACT@WAMFARMS.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-20 06:06:53.510000000
Active,,2305,6034706820010002,424365,OLYMPUS GROUP INC,OLYMPUS GROUP,2023-12-19,2025-01-31,,False,43001 N GRIFFIN RD STE B,,GRANDVIEW,WA,989309041,BENTON,OLYMPUSGROUPINC@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-20 06:06:53.510000000
Active,,2436,6034686340010003,426050,LYVOD LLC,THE VAULT,2023-12-23,2025-01-31,,False,2720 E 29TH AVE,,SPOKANE,WA,992234808,SPOKANE,tammy@thevaultcannabis.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-24 06:05:51.530000000
Active,,854,6034682750010001,414002,T BROTHERS BUD LODGE LLC,T BROTHERS BUD LODGE,2023-12-19,2025-01-31,,False,5740 RUDDELL RD SE STE C,,LACEY,WA,985030000,THURSTON,scottpaulcole@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-20 06:06:53.510000000
Active,,1179,6048608650010001,415766,OIL AND GAS CO.,OIL AND GAS CO.,2023-11-09,2025-01-31,,False,6527 4TH AVE S,,SEATTLE,WA,981083217,KING,andrew.au2@icloud.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-10 05:49:31.263000000
Active,,2030,6033042060010002,421630,PR CONSULTING LLC,KUSH POINTE,2023-12-16,2025-01-31,,False,11811 MUKILTEO SPEEDWAY,UNIT 111,MUKILTEO,WA,982755442,SNOHOMISH,probst_janet@yahoo.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-17 06:04:38.913000000
Active,,687,6032670810010002,413358,LLJ MANAGEMENT LLC,CLEAR CHOICE CANNABIS,2023-12-09,2025-01-31,,False,8001 S HOSMER ST,,TACOMA,WA,984081017,PIERCE,michelle@findclearchoice.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-10 06:02:33.330000000
Active,,3146,6035727170010003,435362,CARME LLC,THE LUCKY LEAF,2023-11-02,2025-01-31,,False,3501 RD 68 STE 104,,PASCO,WA,993011973,FRANKLIN,DAVID@LUCKYLEAF.CO,,LoadLicenseeETL,2023-11-03 05:50:06.680000000,proc_UpdateLicenseeData,2023-11-03 05:50:06.923000000
Active,,2207,6033423140010004,423096,GREEN CREATIONS LLC,CINDER,2023-12-14,2025-01-31,,False,927 W 2ND AVE STE 1,,SPOKANE,WA,992014501,SPOKANE,sammi@cindercannabis.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-15 06:02:44.940000000
Active,,2039,6035719190010001,421698,MORE STEPS LLC,NEXT STEPS,2023-11-21,2025-01-31,,False,2804 E 30TH AVE,,SPOKANE,WA,992234782,SPOKANE,NEXTSTEPSJOSH@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-22 05:52:14.807000000
Active,,316,6033500580010001,412494,"THE STASH BOX, LLC",THE STASH BOX,2023-12-14,2025-01-31,,False,3108 A ST SE STE F & G,,AUBURN,WA,980028811,KING,rosemary.p@thestashboxllc.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-15 06:02:44.940000000
Active,,837,6033593550010001,413930,WEED-R-US LLC,MUFFYS POT SHOP,2023-12-20,2025-01-31,,False,3134 E HIGHWAY 101 SUITE A,,PORT ANGELES,WA,983629074,CLALLAM,MUFFYSSMOKINGREENS@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-21 06:08:22.540000000
Active,,2401,6033656030010003,425539,CASCADE KROPZ LLC,CASCADE KROPZ,2023-12-09,2025-01-31,,False,19127 SMOKEY POINT BLVD BLDG 1,,ARLINGTON,WA,982234264,SNOHOMISH,CASCADEKROPZ@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-10 06:02:33.330000000
Active,,99,6032711860010001,412064,AVITAS AGRICULTURE INC,AVITAS,2023-12-07,2025-01-31,,False,25404 STATE ROUTE 9 STE A,,ARLINGTON,WA,982230000,SNOHOMISH,AVITAS.AG@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-08 06:00:12.767000000
Active,,3076,6048674050010001,434848,NW TIGER GARDENS LLC,NW TIGER GARDENS LLC,2023-12-22,2025-01-31,,False,3801 S UNION AVE STE 1,UPPER FLOOR STE 1,TACOMA,WA,984090000,PIERCE,Nwtigergardens@outlook.com,,LoadLicenseeETL,2023-04-11 04:56:10.037000000,proc_UpdateExistingLicenses,2023-12-23 06:07:15.120000000
Active,,2202,6043982010010002,422992,HIGH MOMENTS LLC,KUSH21,2023-11-30,2025-01-31,,False,6620 N MARKET ST STE 101,,SPOKANE,WA,992177809,SPOKANE,BERAKI2015@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-01 05:56:54.523000000
Active,,476,6046987890010001,412830,"A CANNABIS SOLUTION, LLC","A CANNABIS SOLUTION, LLC",2023-12-19,2025-01-31,,False,31150 COSGROVE RD N,,ALMIRA,WA,991038729,LINCOLN,junyichen509@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-20 06:06:53.510000000
Active,,1400,6043859150010001,416286,"PURE TRAN, LLC","PURE TRAN, LLC",2023-12-08,2025-01-31,,False,235706 EAST LEGACY PR SE,,KENNEWICK,WA,993370000,BENTON,SHEMALI2000@YAHOO.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-09 06:01:23.077000000
Active,,3117,6050226140010002,435233,TRANSLUCENCY LLC,TRANSLUCENCY,2023-12-19,2025-01-31,,False,1520 CENTER ST STE E,,TACOMA,WA,984097905,PIERCE,zk.translucency@gmail.com,,LoadLicenseeETL,2023-07-01 05:12:35.917000000,proc_UpdateExistingLicenses,2023-12-20 06:06:53.510000000
Active,,929,6022611560010004,414286,EXCLUSIVE INVESTMENTS NORTHWEST L.L.C.,FAIRWINDS MANUFACTURING,2023-12-12,2025-01-31,,False,5913 NE 127TH AVE STE 400,,VANCOUVER,WA,986825889,CLARK,jamie@fairwindsmanufacturing.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-13 06:02:19.990000000
Active,,1022,6033488710010011,414893,SMP RETAIL LLC,THE JOINT,2023-12-29,2025-01-31,,False,9506 19TH AVE SE STE 100,,EVERETT,WA,982083801,SNOHOMISH,SMPREDER@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-30 06:11:42.760000000
Active,,2105,6024649910010005,422194,GREEN SOLUTION PLACE PRELUDIO MANAGEMENT LLC,"LUCID AUBURN, 21+ CANNABIS, 21+ MARIJUANA",2023-12-19,2025-01-31,,False,3310 AUBURN WAY N STE C/D,,AUBURN,WA,980021800,KING,stan@lucidauburn.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-20 06:06:53.510000000
Active,,698,6035798560010003,413385,BOTANY BAY LLC,SWEET RELEAF,2023-12-29,2025-01-31,,False,14637 STATE ROUTE 20,,MOUNT VERNON,WA,982737276,SKAGIT,MEPLEMMONS@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-30 06:11:42.760000000
Active,,2443,6035781200010005,426125,EVERGREEN MARKET (BELLEVUE) INC,EVERGREEN MARKET - BELLEVUE,2023-12-20,2025-01-31,,False,638 116TH AVE NE,,BELLEVUE,WA,980045216,KING,technology@theevergreenmarket.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-21 06:08:22.540000000
Active,,1672,6035781130010002,416942,"MNM COLLINS, LLC",WITHIT WEED,2023-12-30,2025-01-31,,False,13026 W MCFARLANE RD STE C1-2,,AIRWAY HEIGHTS,WA,990010000,SPOKANE,WITHITWEED@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-31 06:11:12.283000000
Active,,1349,6035781130010001,416155,"MNM COLLINS, LLC",WITHIT WEED,2023-12-30,2025-01-31,,False,13026 W MCFARLANE RD STE C1-3,,AIRWAY HEIGHTS,WA,990010000,SPOKANE,WICKEDWEED502@GMAIL.COM,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-12-31 06:11:12.283000000
Active,,3157,6033488710010017,436428,SMP RETAIL LLC,STARBUDS,2023-12-29,2025-01-31,,False,11516 124TH AVE NE,,KIRKLAND,WA,980334643,KING,SMPREDER@GMAIL.COM,,LoadLicenseeETL,2023-12-19 06:04:27.277000000,proc_UpdateExistingLicenses,2023-12-30 06:11:42.760000000
Active,,3050,6033488710010014,434494,SMP RETAIL LLC,THE JOINT,2023-12-29,2025-01-31,,False,7233 SOUTH TACOMA WAY,,TACOMA,WA,984093933,PIERCE,SMPREDER@GMAIL.COM,,LoadLicenseeETL,2023-01-12 04:45:31.500000000,proc_UpdateExistingLicenses,2023-12-30 06:11:42.760000000
Active,850.0,2923,6031780350010002,428686,"CHELSTAD STRATEGIES, LLC",SEATTLE BUBBLE WORKS,2022-11-14,2025-01-31,,False,29393 WA-410 STE E,,BUCKLEY,WA,983210000,PIERCE,SEATTLEBUBBLEWORKS@GMAIL.COM,,LoadLicenseeETL,2021-12-16 04:45:07.843000000,proc_UpdateExistingLicenses,2022-11-15 04:45:52.917000000
Active,,1049,6033585480010002,415083,CHAMPAGNE PRODUCTS LLC,420 CARPENTER,2023-11-23,2024-12-31,,False,422 CARPENTER RD STE 105,,LACEY,WA,985037906,THURSTON,jsauerbry420@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-24 05:53:47.883000000
Active,,987,6033577780010001,414714,"EVERGREEN MARKET (AUBURN), INC.",EVERGREEN MARKET - AUBURN,2023-11-21,2024-12-31,,False,402 16TH ST NE STE A-100,,AUBURN,WA,980021600,KING,technology@theevergreenmarket.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-22 05:52:14.807000000
Active,,1029,6033587180010001,414959,UB RAINIER LLC,WESTERN BUD,2023-11-14,2024-12-31,,False,11401 RAINIER AVE S,,SEATTLE,WA,981783947,KING,tomscesniak@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-15 05:52:26.550000000
Active,,1462,6033585450010001,416445,SWEET LEAF SOWERS LLC,WALDEN,2023-11-29,2024-12-31,,False,1104 OLD HWY 97  STE A,,BREWSTER,WA,988120000,OKANOGAN,andersb.taylor@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-30 05:56:13.693000000
Active,,1459,6033578420010001,416433,EMERALD CITY GROWERS LLC,EMERALD CITY GROWERS,2023-11-23,2024-12-31,,False,3525 HOEHNE AVE,,LONGVIEW,WA,986329385,COWLITZ,ecgprocessing@gmail.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-24 05:53:47.883000000
Active,,1046,6033578790010001,415045,RIU420 LLC,UNCLE ANDOS WURLD OF WEED,2023-11-18,2024-12-31,,False,1905 JOHNSON RD STE A,,CENTRALIA,WA,985311926,LEWIS,sara@uncleandos.com,,LoadLicenseeETL,2021-12-06 09:09:34.420000000,proc_UpdateExistingLicenses,2023-11-19 05:53:27.167000000
