business_website,business_email,business_legal_name,business_phone,address,id,license_status,business_dba_name,license_number,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_image_url,license_type,data_refreshed_date
http://www.col-care.com/,chevychasemd@col-care.com,Columbia,301-637-0870,"4609 Willow Lane Chevy Cha se, MD 20815",0,,Columbia,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
http://www.greenlabsmd.com/,info@greenlabsmd.com,GreenLabs,410-624-5520,"1522 Ea  stern Ave. Baltimore, MD 21231",1,,GreenLabs,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.gleaf.com/,patients@gleaf.com,Gleaf,800-208-9333,"4606 Wedgewood Blvd.Frederick, MD",2,,Gleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.gleaf.com/,patients@gleaf.com,Gleaf,800-208-9333,"808 Hungerford Dr. Rockville, MD 20850",3,,Gleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.zenleafdispensaries.com,maria.pinsky@zenleafdispensaries.com,Zenleafdispensaries,410-842-9333,"101 E. Chesapeake Ave., Suite 102Towson, MD",4,,Zenleafdispensaries,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.kipcan.com/,info@kipcan.com,Kipcan,410-403-0280,"9 Cranbrook Rd. Cockeysville, MD 21030",5,,Kipcan,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
http://www.missioncan.com/,support@missioncan.com,Mission,833-768-4357,Four locations throughout the State,6,,Mission,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.peninsulamd.com/,contact@peninsulamd.com,Peninsulamd,443-622-3661,"400 Snow Hill Rd.Salisbury, MD",7,,Peninsulamd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.positiveenergyoc.com/,info@positiveenergyoc.com,Positiveenergyoc,410-877-2017,"9939 Jerry Mack Rd., Suite 500Ocean City, MD",8,,Positiveenergyoc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.remedycolumbia.com/,hello@remedycolumbia.com,Remedycolumbia,443-542-0948,"8865 Stanford Blvd.Suite 131Columbia, MD",9,,Remedycolumbia,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.revolutionreleaf.com/,info@revolutionreleaf.com,Revolutionreleaf,240-280-8446,"9994 Washington Blvd. NorthLaurel, MD",10,,Revolutionreleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.starbuds.us/,baltimore@starbuds.us,Starbuds,443-438-7494,"5975 Belair RoadBaltimore, MD",11,,Starbuds,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.storehousemd.com/,info@storehousemd.com,Storehousemd,443-438-4160,"5730 Falls Rd.Baltimore, MD 21209",12,,Storehousemd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.b1md.com/,info@b1md.com,B1Md,301-774-0840,"18070 Georgia Ave.Olney, MD 20832",13,,B1Md,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.salveramd.com/,rightrussw11@icloud.com,Salveramd,240-260-3305,"4201 Northview Dr., Suite 100Bowie, MD",14,,Salveramd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.greenhousewellness.com/,hello@greenhousewellnes.com,Greenhousewellness,833-325-2229,"4801 Dorsey Hall dr., Suite 110Ellicott City, MD 21042",15,,Greenhousewellness,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.purelifebaltimore.com/,info@purelifebaltimore.com,Purelifebaltimore,443-708-5683,"35 E. Cross St., Federal HillBaltimore, MD 21230",16,,Purelifebaltimore,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.peakreleaf.com/,info@peakreleaf.com,Peakreleaf,301-703-2400,"2001 Chapman Ave.Rockville, MD 20852",17,,Peakreleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.blairwellness.com/,melissa@blairwellness.com,Blairwellness,410-323-0100,"5806 York Rd.Baltimore, MD 21212",18,,Blairwellness,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.blueridgewellnessmd.com/,management%20@blueridgewellnessmd.com,Blueridgewellnessmd,301-640-5265,"9413 Harford Rd.Parkville, MD 21234",19,,Blueridgewellnessmd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.somdrelief.com/,brittani@somdrelief.com,Somdrelief,301-242-3200,"28105 Three Notch Rd.Mechanicsville, MD 20659",20,,Somdrelief,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.herbafi.com/,info@herbafi.com,Herbafi,,"8413 Ramsey Ave.Silver Spring, MD 20910240-650-HERB (4372)",21,,Herbafi,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.kannavis.org/,info@kannavis.org,Kannavis,301-810-2962,"8709 Fingerboard Rd.Frederick, MD 21702",22,,Kannavis,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.ncwmedical.com/,dbridges@ncwmedical.com,Ncwmedical,443-252-1383,"4925 Pulaski Hwy., Suite APerryville, MD 21903",23,,Ncwmedical,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.zenitywellness.com/,info@zenitywellness.com,Zenitywellness,301-304-4100,"811 Russell Ave., Suite CGaithersburg, MD 20878",24,,Zenitywellness,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.grassrootscannabis.com/,gaithersburgherbology@gmail.com,Grassrootscannabis,,"106 N. Frederick Ave.Gaithersburg, MD 20877240-72-7749",25,,Grassrootscannabis,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://herbologydispensary.com/,westminster@herbologydispensary.com,Herbologydispensary,443-952-4127,"700-K Corporate Center Ct.Westminster, MD 21157",26,,Herbologydispensary,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.curaleaf.com/,Info.takoma@curaleaf.com,Curaleaf,301-679-6240,"6309A New Hampshire Ave.Takoma Park, MD 20912",27,,Curaleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.libertycannabis.com/,hello@libertycannabis.com,Libertycannabis,301-603-2747,"12001 Nebel St.Rockville, MD 20852",28,,Libertycannabis,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.mpsbaltimore.com/,info@mpsbaltimore.com,Mpsbaltimore,443-873-6974,"3317 Keswick Rd.Baltimore, MD 21211",29,,Mpsbaltimore,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.euphoriawellnessmd.com/,info@euphoriawellnessmd.com,Euphoriawellnessmd,301-882-7910,"11717 Old National PikeNew Market, MD 21774",30,,Euphoriawellnessmd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.trilogy.health.com/,info@trilogyh.health.com,Trilogy,443-539-7372,"9291 Baltimore National PikeEllicott City, MD 21042",31,,Trilogy,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://culta.io/,,Culta,844-507-9333,"Culta, LLC 215 Key Highway Baltimore, MD",32,,Culta,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://chesacanna.com/,%20info@chesacanna.com,Chesacanna,410-650-6555,"Chesacanna10534 York Rd.Cockeysville, MD 21030",33,,Chesacanna,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://greenwavemd.com/,%20info@greenwavemd.com,Greenwavemd,410-394-3936,"Greenwave Maryland10 Creston Ln., Ste 2Solomons, MD 20688",34,,Greenwavemd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
https://www.growwestmd.com/,,Growwestmd,833-942-9900,"Grow West Cannabis Company1096 W. Industrial Blvd.Cumberland, MD 21502",35,,Growwestmd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
http://www.findinghaven.com/,kim@findinghaven.com,Haven,240-650-0420,"7501 Clymer Dr. Brandywine, MD 20619",36,,Haven,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-07-15T18:00:42.886495
