application_status,license_type,application_classification,approved_license_type,approved_license_stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,original_submitted_date,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,approved_social_equity,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_initial_date_of_review,cnb_date_notice_sent_to_municipality,cnb_60_day_municipal_deadline_date,cnb_90_day_review_deadline_date,cnb_date_background_authorization_sent,cnb_date_background_report_received,cnb_finger_print_results_received_date,cnb_final_application_review,cnb_application_recommendation,cnb_final_inspection_result,cnb_final_license_recommendation,cnb_dt_of_final_licensure,application_created_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,lic_expiration_date,application_denied_date,cccupdatedate,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,zip,town,county,county_lat,county_long,region,id,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,issue_date,expiration_date,business_image_url,business_website,business_phone
APPROVED,Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,7/1/2019,COMPLETE,MR281796,Canna Provisions Inc,Lee,MA,01238,42.299398,-73.242133,214 Adams Ave,,West Newton,MA,02465,POINT (-73.209889 42.396128),POINT (-73.242132 42.2993979),220 Housatonic Street,,Lee,MA,01238,82-5377573,MRN281796,9/3/2018 07:08:31 PM,9/3/2018 07:08:31 PM,11/7/2018 12:00:00 AM,3/5/2019 04:02:35 PM,False,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,5/30/2019 04:00:00 AM,8/12/2018 11:33:26 AM,11/8/2018 12:00:00 AM,2/21/2019 04:10:09 PM,2/9/2023 03:00:00 AM,3/13/2024 04:00:00 AM,,7/10/2023,220 Housatonic St,N/A,Berkshire County,,5000.0,01238,Lee,Berkshire,42.396128,-73.209889,Western MA,110,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,9/30/2020,COMPLETE,MR282048,"GreenStar Herbals, Inc.",Dracut,MA,01826,42.664635,-71.324166,310 Flagg Hill Road,,Boxborough,MA,01719,POINT (-71.275566 42.459085),POINT (-71.324166 42.6646349),310 Flagg Hill Road,,Boxborough,MA,01719,83-0565099,MRN282048,11/28/2018 09:14:53 PM,8/26/2019 11:52:00 AM,5/9/2019 12:00:00 AM,12/5/2019 11:11:19 AM,False,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,9/10/2020 04:00:00 AM,11/14/2018 09:55:14 AM,9/18/2019 12:00:00 AM,11/7/2019 01:39:43 PM,10/13/2022 04:00:00 AM,12/5/2023 03:00:00 AM,,7/10/2023,100 Pleasant St,N/A,Middlesex County,,10000.0,01826,Dracut,Middlesex,42.459085,-71.275566,Northeast,306,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,COMMENCE OPS,COMMENCE OPS,9/27/2022,COMPLETE,MR281301,"JimBuddys Rec Shop, Inc.",Chicopee,MA,01020,42.19238,-72.575482,1269 Memorial Drive,,Chicopee,MA,01020,POINT (-72.571312 42.12756),POINT (-72.575481 42.19238),1269 Memorial Drive,,Chicopee,MA,01020,83-0904086,MRN281301,4/24/2019 10:41:14 AM,6/9/2021 12:07:58 PM,10/16/2019 12:00:00 AM,,False,yes,SE303995,SE303995,,,,,,,Not a DBE,,,,,,,,,,,,,,8/11/2022 04:00:00 AM,4/22/2018 07:28:21 PM,6/23/2021 09:41:36 AM,7/15/2021 04:36:02 PM,7/14/2022 04:00:00 AM,7/28/2023 04:00:00 AM,,7/10/2023,1269 Memorial Dr,N/A,Hampden County,,5000.0,01020,Chicopee,Hampden,42.12756,-72.571312,Western MA,14,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,COMMENCE OPS,COMMENCE OPS,11/10/2022,COMPLETE,MR284103,"The Harvest Club, LLC",Somerville,MA,02144,42.395657,-71.12165,153 Main St STE 222,,North Reading,MA,01864,POINT (-71.275566 42.459085),POINT (-71.121650 42.395657),153 Main St STE 222,,North Reading,MA,01864,30-1173640,MRN284103,2/22/2021 02:50:28 PM,1/24/2022 11:38:28 AM,2/25/2021 03:36:37 PM,3/15/2022 01:40:41 PM,False,yes,SE304442,SE304442,,,,,,,Not a DBE,,,,,,,,,,,,,,9/15/2022 04:00:00 AM,2/17/2021 01:30:07 PM,2/4/2022 03:14:38 PM,3/10/2022 01:49:48 PM,2/9/2023 03:00:00 AM,3/15/2024 04:00:00 AM,,7/10/2023,255 Elm St,N/A,Middlesex County,,5000.0,02144,Somerville,Middlesex,42.459085,-71.275566,Metro Boston,455,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,4/4/2022,COMPLETE,MR282926,Alexsofia LLC,Northampton,MA,01060,42.319117,-72.62758,41 Strong Ave.,,Northampton,MA,01060,POINT (-72.62073 42.322256),POINT (-72.627579 42.3191169),20 Hillside Lane,,Ashley Falls,MA,01222,84-2171651,MRN282926,8/15/2019 04:39:34 PM,3/24/2020 02:57:33 PM,2/10/2020 12:00:00 AM,5/21/2021 04:08:29 PM,False,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,3/10/2022 03:00:00 AM,8/12/2019 08:52:43 AM,4/7/2020 12:00:00 AM,7/9/2020 02:31:14 PM,5/12/2022 04:00:00 AM,7/17/2023 04:00:00 AM,,7/10/2023,41 Strong Ave,N/A,Hampshire County,,10000.0,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,39,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,COMMENCE OPS,COMMENCE OPS,5/26/2020,COMPLETE,MR281327,Haverhill Stem LLC,Haverhill,MA,01832,42.772545,-71.085692,124 Washington St.,,Haverhill,MA,01830,POINT (-70.970827 42.635475),POINT (-71.085691 42.7725450),25 Bradfields Dr.,,Haverhill,MA,01830,82-5176376,MRN281327,3/31/2019 03:48:19 PM,7/22/2019 01:42:16 PM,4/11/2019 12:00:00 AM,11/27/2019 10:22:47 AM,True,,,,APPROVED,EE202084,EE202084,,,,Not a DBE,,,,,,,,,,,,,,4/9/2020 04:00:00 AM,4/25/2018 07:24:15 PM,7/24/2019 12:00:00 AM,10/10/2019 12:43:26 PM,10/13/2022 04:00:00 AM,11/27/2023 03:00:00 AM,,7/10/2023,124 Washington St,N/A,Essex County,,5000.0,01832,Haverhill,Essex,42.635475,-70.970827,Northeast,310,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284579,"Eddie's Flowers, Inc.",Ashburnham,MA,01430,42.687939,-71.879302,23 Rindge State Rd.,,Ashburnham,MA,01430,POINT (-71.840209 42.329642),POINT (-71.879301 42.687939),1 Crescent Hill,,Springfield,MA,01105,85-2919293,MRN284579,3/25/2022 05:10:05 PM,8/4/2022 06:35:28 PM,4/4/2022 01:09:07 PM,11/5/2022 06:47:13 PM,False,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,1/31/2022 07:15:31 PM,8/19/2022 09:35:32 AM,10/13/2022 04:11:35 PM,11/5/2022 04:00:00 AM,11/5/2023 03:00:00 AM,,7/10/2023,23 Rindge State Rd,N/A,Worcester County,,10000.0,01430,Ashburnham,Worcester,42.329642,-71.840209,Central MA,164,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR281759,"Major Bloom, LLC",Attleboro,MA,02703,41.934519,-71.291312,20 John Williams Street,,Attleboro,MA,02703,POINT (-71.102131 41.778329),POINT (-71.291312 41.9345190),50 Loring St.,,Hyde Park,MA,02136,82-5007405,MRN281759,5/11/2019 11:55:11 AM,3/20/2020 02:13:54 PM,5/24/2019 12:00:00 AM,3/15/2022 11:12:50 PM,True,,,,APPROVED,EE202093,EE202093,,,,Not a DBE,,,,,,,,,,,,,,,7/30/2018 01:21:30 PM,3/23/2020 12:00:00 AM,6/4/2020 02:28:56 PM,3/15/2022 04:00:00 AM,8/14/2023 04:00:00 AM,,7/10/2023,20 John Williams St,N/A,Bristol County,,5000.0,02703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,7/24/2020,COMPLETE,MR282801,"Fidelity Wellness Center, Inc.",Rockland,MA,02370,42.160913,-70.910636,38 Church Street,,Winchester,MA,01890,POINT (-70.818958 41.978877),POINT (-70.910635 42.1609130),38 Church Street,,Winchester,MA,01890,82-5058119,MRN282801,8/26/2019 03:02:12 PM,9/23/2019 10:34:48 PM,9/5/2019 12:00:00 AM,3/17/2020 10:31:21 AM,True,,,,,,,APPROVED,RP201987,RP201987,Not a DBE,,,,,,,,,,,,,,7/9/2020 04:00:00 AM,6/21/2019 10:35:32 AM,10/7/2019 12:00:00 AM,1/16/2020 03:34:31 PM,3/9/2023 03:00:00 AM,3/17/2024 04:00:00 AM,,7/10/2023,256 Weymouth St,N/A,Plymouth County,,10000.0,02370,Rockland,Plymouth,41.978877,-70.818958,Southeast and Cape,546,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,COMMENCE OPS,COMMENCE OPS,6/8/2023,COMPLETE,MR284431,INDICA LLC,Adams,MA,01220,42.633501,-73.11376,11 Apex Drive Suite 300A #240,,Marlborough,MA,01752,POINT (-73.209889 42.396128),POINT (-73.113759 42.6335010),11 Apex Drive Suite 300A #240,,Marlborough,MA,01752,87-3386887,MRN284431,3/28/2022 12:54:16 PM,4/28/2022 04:04:53 PM,4/7/2022 01:54:56 PM,7/14/2022 12:37:53 PM,False,no,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,5/22/2023 04:00:00 AM,9/28/2021 04:08:18 AM,5/6/2022 10:48:06 AM,7/14/2022 12:01:49 PM,7/14/2022 04:00:00 AM,8/14/2023 04:00:00 AM,,7/10/2023,127 Columbia St,N/A,Berkshire County,,10000.0,01220,Adams,Berkshire,42.396128,-73.209889,Western MA,98,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
