license_number,license_type,license_designation,business_legal_name,business_dba_name,license_status,premise_city,business_website,business_owner_name,licensing_authority_id,licensing_authority,premise_state,license_status_date,license_term,issue_date,expiration_date,business_structure,business_email,business_phone,activity,parcel_number,premise_street_address,id,business_image_url,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_zip_code
ACA769,Cultivation,Adult-Use,"Moments Peace Farm, Llc",Moment'S Peace Craft Cannabis,Active,Hollis Center,www.momentspeacecraft.com,"P Joy R Cutrone, Member",MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA769,,2023-03-01T00:00:00,43.6346754,-70.62089739999999,York County,USA
ACA773,Cultivation,Adult-Use,Cultivators Unlimited Llc,Cultivators Unlimited Llc,Active,South Portland,www.southportland.org,Shai S Bareket,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA773,,2023-03-01T00:00:00,43.6414716,-70.2408811,Cumberland County,USA
ACA793,Cultivation,Adult-Use,Belvidere Farm Llc,Belvidere Farm Llc,Active,Rockland,belvidere.farm,Jacob St Pierre,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA793,,2023-03-01T00:00:00,44.1036914,-69.1089293,Knox County,USA
ACA1207,Cultivation,Adult-Use,Maine Grown Llc,Maine Grown Llc,Active,Poland,WWW.MAINEGROWN.FARM,Nicholas C Morton,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1207,,2023-03-01T00:00:00,44.0606281,-70.39366749999999,Androscoggin County,USA
ACA1270,Cultivation,Adult-Use,Pegasus Growers Llc,Pegasus Growers Llc,Conditional,Gorham,,Roy B Waller,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1270,,2023-03-01T00:00:00,43.67953139999999,-70.44422519999999,Cumberland County,USA
ACA1282,Cultivation,Adult-Use,"B4Lgroup, Llc","B4Lgroup, Llc",Conditional,Washington,,Dat Minh Nguyen,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1282,,2023-03-01T00:00:00,44.2735583,-69.3676576,Knox County,USA
ACA1290,Cultivation,Adult-Use,Tribute Cannabis Company,Tribute Cannabis Company,Active,Topsham,,Ryan Holmes,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1290,,2023-03-01T00:00:00,43.9275435,-69.9759459,Sagadahoc County,USA
ACA1294,Cultivation,Adult-Use,Mullein Meadows L.L.C,Mullein Meadows L.L.C,Conditional,Auburn,,Danielle Edwards-Plane,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1294,,2023-03-01T00:00:00,44.0978509,-70.2311655,Androscoggin County,USA
ACA1304,Cultivation,Adult-Use,420 Ship Rec'D Grow Llc,420 Ship Rec'D Grow Llc,Active,Mechanic Falls,420 pharma.com,Robert Klar,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1304,,2023-03-01T00:00:00,44.1117418,-70.3917985,Androscoggin County,USA
ACA1322,Cultivation,Adult-Use,Simple Twist Cannabis Company,Simple Twist Cannabis Company,Conditional,Madison,,Daniel Price Safranec,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1322,,2023-03-01T00:00:00,44.7975466,-69.8797486,Somerset County,USA
ACA1381,Cultivation,Adult-Use,Kush Kingdom Llc,Kush Kingdom Llc,Pending Conditional,Limestone,,Melody Mcclendon,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1381,,2023-03-01T00:00:00,46.90860230000001,-67.825816,Aroostook County,USA
ACA1410,Cultivation,Adult-Use,Evolution Herb Co.,Buzzies,Pending Conditional,Solon,,Julie Parenteau,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACA1410,,2023-03-01T00:00:00,44.949502,-69.85839100000001,Somerset County,USA
ACB105,Cultivation,Adult-Use,Growroom Cultivation Llc,Growroom Cultivation Llc,Active,Portland,,Jeffery D. Solman,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB105,,2023-03-01T00:00:00,43.6590993,-70.2568189,Cumberland County,USA
ACB106,Cultivation,Adult-Use,Green Alchemy Llc,Green Alchemy Llc,Active,Fryeburg,www.earthandfirestudio.net,Philip M. Jacobs,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB106,,2023-03-01T00:00:00,44.0164329,-70.9806357,Oxford County,USA
ACB131,Cultivation,Adult-Use,Sea Sweets Co.,Sea Sweets Co.,Pending Conditional,Auburn,,,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB131,,2023-03-01T00:00:00,44.0978509,-70.2311655,Androscoggin County,USA
ACB144,Cultivation,Adult-Use,Riverside Greenery Llc,Riverside Greenery Llc,Pending Conditional,Auburn,,,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB144,,2023-03-01T00:00:00,44.0978509,-70.2311655,Androscoggin County,USA
ACB173,Cultivation,Adult-Use,"Highbrow Industries, Llc","Highbrow Industries, Llc",Active,Detroit,,Charles Doherty,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB173,,2023-03-01T00:00:00,44.7927823,-69.29601509999999,Somerset County,USA
ACB176,Cultivation,Adult-Use,Room 5 Llc,O.G. Hydrofarms,Active,Detroit,,James William Nolan,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB176,,2023-03-01T00:00:00,44.7927823,-69.29601509999999,Somerset County,USA
ACB184,Cultivation,Adult-Use,Aaa Pharmaceutical Alternatives,Aaa Pharmaceutical Alternatives,Active,Manchester,www.aaapharmaceuticalalternatives.com,Aaron Gabriel Scalia,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB184,,2023-03-01T00:00:00,44.324513,-69.8603256,Kennebec County,USA
ACB205,Cultivation,Adult-Use,Joint Efforts Inc,Lodestar Cannabis,Active,Gorham,www.lodestarcannabis.com,Douglas P Knickrehm,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB205,,2023-03-01T00:00:00,43.67953139999999,-70.44422519999999,Cumberland County,USA
ACB213,Cultivation,Adult-Use,Gele Llc,Gele Llc,Active,South Portland,gelecannabis.com,Matthew Bayliss,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB213,,2023-03-01T00:00:00,43.6414716,-70.2408811,Cumberland County,USA
ACB230,Cultivation,Adult-Use,Allure Cultivation,Allure Cultivation,Active,Bangor,,"Salvatore Anthony Faro, Iii",MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB230,,2023-03-01T00:00:00,44.8016128,-68.7712257,Penobscot County,USA
ACB259,Cultivation,Adult-Use,The Cannabis Cabin Llc,The Cannabis Cabin Llc,Active,Poland,,Adam Robert Mocciola,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB259,,2023-03-01T00:00:00,44.0606281,-70.39366749999999,Androscoggin County,USA
ACB317,Cultivation,Adult-Use,"The Stoned Moose, Llc","The Stoned Moose, Llc",Active,Bethel,,"Chesapeake Funding Group, Llc",MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB317,,2023-03-01T00:00:00,44.4044586,-70.7898806,Oxford County,USA
ACB337,Cultivation,Adult-Use,Big Mike'S Icky Sticky Llc,Big Mike'S Icky Sticky,Active,Farmington,bmicktsticky.com,Michael Macneil,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB337,,2023-03-01T00:00:00,44.67049979999999,-70.1512169,Franklin County,USA
ACB358,Cultivation,Adult-Use,"Kimball Kush, Llc",Black Bear Bud,Active,Portland,,Catherine Kimball,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB358,,2023-03-01T00:00:00,43.6590993,-70.2568189,Cumberland County,USA
ACB487,Cultivation,Adult-Use,"Humble Family Farms Grows, Llc",Humble Family Farms,Active,Auburn,www.humblefamilyfarmsmaine.com,Ashlee Falco,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB487,,2023-03-01T00:00:00,44.0978509,-70.2311655,Androscoggin County,USA
ACB494,Cultivation,Adult-Use,Shauna Rae Tomlinson,Divine Buds,Active,Scarborough,,Shauna Rae Tomlinson,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB494,,2023-03-01T00:00:00,43.5901974,-70.33449209999999,Cumberland County,USA
ACB527,Cultivation,Adult-Use,1150 Center St Auburn Maine Ch Llc,Cannabis Haven Auburn 1150 Center St,Active,Auburn,,Jamie Michael Scott,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB527,,2023-03-01T00:00:00,44.0978509,-70.2311655,Androscoggin County,USA
ACB558,Cultivation,Adult-Use,"Limited Edition Farm, Llc","Limited Edition Farm, Llc",Active,Solon,,Duana A Gushee,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB558,,2023-03-01T00:00:00,44.949502,-69.85839100000001,Somerset County,USA
ACB573,Cultivation,Adult-Use,Ice Water Llc,Kalikori Farms,Active,Topsham,,Randall Wintle,MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB573,,2023-03-01T00:00:00,43.9275435,-69.9759459,Sagadahoc County,USA
ACB629,Cultivation,Adult-Use,"Falling Leaf Farm, Llc","Falling Leaf Farm, Llc",Active,Auburn,,"Falling Leaf Farms Holdings, Llc",MEOCP,Maine Office of Cannabis Policy,ME,,,,,,,,,,,ACB629,,2023-03-01T00:00:00,44.0978509,-70.2311655,Androscoggin County,USA
