premise_city,license_designation,business_legal_name,business_phone,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_type,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_email,business_image_url,business_dba_name,premise_street_address,premise_county,premise_zip_code,premise_latitude,premise_longitude,business_website,data_refreshed_date
Acton,Medical Only,406 Essence Of Safe Access,(406) 696-0849,0,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,406 Essence Of Safe Access,2601 Overland Ave Suite 2,Yellowstone County,59102,45.7501445,-108.582318,https://406essence.com/,2023-04-24T21:19:46.235918
Anaconda,Medical Only,Gnome Gardens,(406) 224-2063,1,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Gnome Gardens,,,,,,,2023-04-24T21:19:46.235918
Anaconda,Adult Use,Remedy Medicinals LLC,(406) 490-9298,2,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Remedy Medicinals LLC,910 E Commercial Ave,Deer Lodge County,59711,46.1286069,-112.9408351,https://www.remedymontana.com/,2023-04-24T21:19:46.235918
Arlee,Adult Use,Jocko River Roots  LLC.,(406) 880-5081,3,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Jocko River Roots  LLC.,,,,,,,2023-04-24T21:19:46.235918
Ashland,Adult Use,Ashland,(406) 459-2618,4,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ashland,,,,,,,2023-04-24T21:19:46.235918
Ashland,Adult Use,High Mountain - Ashland,(406) 698-8754,5,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,High Mountain - Ashland,107 Main St,Rosebud County,59003,45.589361,-106.2626306,http://www.highmountainmt.com/,2023-04-24T21:19:46.235918
Ashland,Adult Use,Ninepipe Organics,(406) 690-1467,6,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ninepipe Organics,,,,,,,2023-04-24T21:19:46.235918
Belgrade,Adult Use,Juniper Naturals LLC,(406) 600-2553,7,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Juniper Naturals LLC,5174 Jackrabbit Ln,Gallatin County,59714,45.7461541,-111.1842637,https://www.junipercannabis.com/?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=belgrade,2023-04-24T21:19:46.235918
Belgrade,Adult Use,Natural Wellness LLC,(406) 539-5354,8,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Natural Wellness LLC,5176 Jackrabbit Ln,Gallatin County,59714,45.746821,-111.18359,,2023-04-24T21:19:46.235918
Belgrade,Adult Use,Nomad Canna Belgrade Store,(406) 788-6173,9,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Nomad Canna Belgrade Store,23 High K St ste b,Gallatin County,59714,45.7752343,-111.2273549,http://www.nomadcannamt.com/,2023-04-24T21:19:46.235918
