license_number,id,business_dba_name,license_type,license_status,address,business_legal_name,business_owner_name,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,issue_date,expiration_date,premise_city,premise_zip_code,business_email,business_image_url,data_refreshed_date
10014,1030481,THE NAKED HERBALIST,Limited Marijuana Cultivation Facility,Active-Pending Inspection,"47841 South Crop Circle, Willow, AK 99688, UNITED STATES",THE NAKED HERBALIST,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Willow,99688,,,2024-01-09T11:05:18.230216
10063,1032827,BOB'S MORNING BEAR CULTIVATION,Limited Marijuana Cultivation Facility,Active-Operating,"21725 Evelyn May St, Kasilof, AK 99610, UNITED STATES",BOB'S MORNING BEAR CULTIVATION,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Kasilof,99610,,,2024-01-09T11:05:18.230216
10122,1032575,"STONEY CREEK GROWERS, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"33485 VINEWOOD LN, SEWARD, AK 99664, UNITED STATES","STONEY CREEK GROWERS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,SEWARD,99664,,,2024-01-09T11:05:18.230216
10141,1015840,"COYOTE AND TOAD'S GARDEN, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"100 Rio Faux Lobo, Skagway, AK 99840, UNITED STATES","COYOTE AND TOAD'S GARDEN, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Skagway,99840,,,2024-01-09T11:05:18.230216
10147,1033200,PERMAFROST DISTRIBUTORS,Limited Marijuana Cultivation Facility,Active-Operating,"54200 Leonard Dr., Nikiski, AK 99611, UNITED STATES",PERMAFROST DISTRIBUTORS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Nikiski,99611,,,2024-01-09T11:05:18.230216
10176,1033153,ALPHA KILO LLC,Limited Marijuana Cultivation Facility,Active-Operating,"12180 nautical ave #1, Seward, AK 99664, UNITED STATES",ALPHA KILO LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Seward,99664,,,2024-01-09T11:05:18.230216
10193,1033552,STONEY CREEK CULTIVATORS,Limited Marijuana Cultivation Facility,Active-Operating,"14379 Seward Highway Unit B, Seward, AK 99664, UNITED STATES",STONEY CREEK CULTIVATORS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Seward,99664,,,2024-01-09T11:05:18.230216
10210,2090077,Cannaboyd,Limited Marijuana Cultivation Facility,Active-Operating,"35047 Lowbush St. , Homer, AK 99603, UNITED STATES",Cannaboyd,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Homer,99603,,,2024-01-09T11:05:18.230216
10231,1064821,420 GROW TECH,Limited Marijuana Cultivation Facility,Active-Pending Inspection,"10064 N. Arnistead circle (Garage), Sutton, AK 99674, UNITED STATES",420 GROW TECH,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Sutton,99674,,,2024-01-09T11:05:18.230216
10239,1033613,ALASKA RUSTIC LLC,Limited Marijuana Cultivation Facility,Active-Operating,"184 Ray Halla Lane, Bird Creek , AK 99540, UNITED STATES",ALASKA RUSTIC LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Bird Creek ,99540,,,2024-01-09T11:05:18.230216
10272,1035454,LIGHTENING STRIKE ORGANICS,Limited Marijuana Cultivation Facility,Active-Operating,"9400 Old Seward Highway, Anchorage, AK 99515, UNITED STATES",LIGHTENING STRIKE ORGANICS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99515,,,2024-01-09T11:05:18.230216
10308,2173220,GreenDreams Cultivation,Limited Marijuana Cultivation Facility,Active-Operating,"680 winch rd, Fairbanks, AK 99712, UNITED STATES",GreenDreams Cultivation,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99712,,,2024-01-09T11:05:18.230216
