license_number,id,business_dba_name,license_type,license_status,business_legal_name,business_owner_name,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,issue_date,expiration_date,premise_city,premise_zip_code,premise_street_address,premise_county,premise_latitude,premise_longitude,business_phone,business_website,business_email,business_image_url,data_refreshed_date
10008,1013002,GREEN JAR,Retail Marijuana Store,Active-Operating,GREEN JAR,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Bldg 2,Unit E,4901 E Blue Lupine Dr,Matanuska-Susitna Borough,61.5694046,-149.3262796,(907) 631-3800,https://thegreenjarak.com/,,,2023-04-24T18:17:38.234745
10021,1032050,"ENLIGHTEN ALASKA, LLC",Retail Marijuana Store,Active-Operating,"ENLIGHTEN ALASKA, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99503,2600 Spenard Rd,Anchorage Municipality,61.1973181,-149.9057449,(907) 290-8559,http://www.enlightenak.com/,,,2023-04-24T18:17:38.234745
10037,1065302,ARCTIC HERBERY,Retail Marijuana Store,Active-Operating,ARCTIC HERBERY,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99518,7107 Arctic Blvd,Anchorage Municipality,61.1562384,-149.8915502,(907) 222-1466,http://www.arcticherbery.com/,,,2023-04-24T18:17:38.234745
10056,1032472,"RED RUN CANNABIS COMPANY, LLC",Retail Marijuana Store,Active-Operating,"RED RUN CANNABIS COMPANY, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite B,Kenai,,,,,,,,,2023-04-24T18:17:38.234745
10057,1032309,ALASKAN CANNABIS OUTFITTERS,Retail Marijuana Store,Active-Operating,ALASKAN CANNABIS OUTFITTERS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Homer,99603,41945 Sterling Hwy,Kenai Peninsula Borough,59.6642562,-151.664059,(443) 945-0334,,,,2023-04-24T18:17:38.234745
10060,1045783,THE GREEN SPOT LLC.,Retail Marijuana Store,Active-Operating,THE GREEN SPOT LLC.,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,BIG LAKE,99652,,,,,,,,,2023-04-24T18:17:38.234745
10094,1032729,"ALASKABUDS, LLC",Retail Marijuana Store,Active-Operating,"ALASKABUDS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage ,99501,1005 E 5th Ave,Anchorage Municipality,61.2178313,-149.8643732,(907) 334-6420,http://www.alaskabuds.com/,,,2023-04-24T18:17:38.234745
10097,1032945,RASPBERRY ROOTS,Retail Marijuana Store,Active-Operating,RASPBERRY ROOTS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 101,Anchorage,501 Raspberry Rd #101,Anchorage Municipality,61.1597312,-149.8894578,(907) 522-2450,https://raspberryroots.com/?utm_source=SEO_Local&utm_medium=SEO_Local_Snack_Pack&utm_campaign=SEO_AL&utm_content=SEO_Anchorage&utm_term=35812,,,2023-04-24T18:17:38.234745
10113,1031886,GREAT ALASKAN BUD COMPANY,Retail Marijuana Store,Active-Operating,GREAT ALASKAN BUD COMPANY,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,1905 Livengood Ave,Fairbanks North Star Borough,64.8470435,-147.7604371,(907) 479-4420,http://www.greatalaskanbudcompany.com/,,,2023-04-24T18:17:38.234745
10131,1033032,"PAKALOLO SUPPLY COMPANY, INC.",Retail Marijuana Store,Active-Operating,"PAKALOLO SUPPLY COMPANY, INC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,1851 Fox Ave,Fairbanks North Star Borough,64.8470655,-147.7524302,(907) 479-9000,http://www.pakalolosupplyco.com/,,,2023-04-24T18:17:38.234745
10138,1019601,"NORTHERN LIGHTS INDOOR GARDENS, LLC",Retail Marijuana Store,Active-Operating,"NORTHERN LIGHTS INDOOR GARDENS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suites N,O,1321 Sawmill Creek Road Suite L-P,Sitka City and Borough,57.0485018,-135.3052907,(907) 747-1087,https://northernlightsindoorgardens.com/,,,2023-04-24T18:17:38.234745
10149,1046490,"REMEDY SHOPPE, LLC",Retail Marijuana Store,Active-Operating,"REMEDY SHOPPE, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Skagway,99840,,,,,,,,,2023-04-24T18:17:38.234745
10162,1033355,THE FROST FARMS,Retail Marijuana Store,Active-Operating,THE FROST FARMS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit B,Anchorage,8535 Dimond D Cir B,Anchorage Municipality,61.1433573,-149.8750932,(907) 522-5050,http://frostfarming.com/,,,2023-04-24T18:17:38.234745
10163,1033148,THE 420,Retail Marijuana Store,Active-Operating,THE 420,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Petersburg,99833,307 N Nordic Dr,Petersburg Census Area,56.8135422,-132.9578491,,,,,2023-04-24T18:17:38.234745
10173,1032590,"HERBAL OUTFITTERS, LLC",Retail Marijuana Store,Active-Operating,"HERBAL OUTFITTERS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Lower Floor,Valdez,165 Fairbanks Dr,Valdez-Cordova Census Area,61.1300232,-146.3532717,(907) 835-4201,,,,2023-04-24T18:17:38.234745
10190,2154773,Midtown Roots,Retail Marijuana Store,Active-Operating,Midtown Roots,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,2A,Anchorage,,,,,,,,,2023-04-24T18:17:38.234745
10200,1033845,HAPPY CANNABIS,Retail Marijuana Store,Active-Operating,HAPPY CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wrangell,99929,223 Front St,Wrangell City and Borough,56.4711151,-132.383194,(907) 305-0292,,,,2023-04-24T18:17:38.234745
10220,2114050,Weed Dudes,Retail Marijuana Store,Active-Operating,Weed Dudes,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite #J & K,Sitka,1321 Sawmill Creek Rd,Sitka City and Borough,57.0480862,-135.3050979,(907) 623-0605,http://weeddudessitka.com/,,,2023-04-24T18:17:38.234745
10236,2140319,Cannabaska,Retail Marijuana Store,Active-Operating,Cannabaska,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit 201,Anchorage,521 W Tudor Rd,Anchorage Municipality,61.1810955,-149.8936984,(907) 375-9333,http://cannabaska.com/,,,2023-04-24T18:17:38.234745
10245,2125730,Double Eagle Cannabis,Retail Marijuana Store,Active-Operating,Double Eagle Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite A,Anchorage,2042 E 3rd Ave,Anchorage Municipality,61.2193458,-149.8419795,(907) 868-1450,https://weedmaps.com/dispensaries/ak-slow-burn,,,2023-04-24T18:17:38.234745
10252,1034813,POPEYES EMPORIUM II,Retail Marijuana Store,Active-Operating,POPEYES EMPORIUM II,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit 1,Anchorage,3231 Spenard Rd,Anchorage Municipality,61.19094029999999,-149.9063988,(907) 561-4434,http://popeyes-emporium.keeq.io/,,,2023-04-24T18:17:38.234745
10254,2101487,Cannabaska,Retail Marijuana Store,Active-Operating,Cannabaska,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite D,Anchorage,217 E 4th Ave,Anchorage Municipality,61.2187443,-149.8803554,(907) 308-7859,https://cannabaska.com/,,,2023-04-24T18:17:38.234745
