activity,business_dba_name,business_image_url,business_legal_name,business_structure,business_website,data_refreshed_date,expiration_date,id,issue_date,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,phone_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,ccclastupdated,application_status,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,approved_license_stages,commence_operations_date,license_status,license_number,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,cnb_deemed_complete_date,application_approved_date,lic_start_date,pmt_amount,lic_fee_amount,premise_zip_code,town,county_lat,county_long,region,cccupdatedate,establishment_address_2,establishment_state,approved_se_number,business_owner_name,license_designation,premise_street_address,CEID,LicenseStatus,delivery,cultivator,retailer
,First State Compassion–Wilmington,,First State Compassion–Wilmington,,http://firststatecompassion.com,2023-12-05T22:55:09.460791,,0,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-543-2100,Wilmington,New Castle County,39.7267046,-75.5783397,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First State Compassion–Lewes,,First State Compassion–Lewes,,http://firststatecompassion.com,2023-12-05T22:55:09.460791,,1,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-281-4888,Lewes,Sussex County,38.7423686,-75.1913129,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Columbia Care Delaware,,Columbia Care Delaware,,https://col-carede.com/,2023-12-05T22:55:09.460791,,2,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-212-0033,Rehoboth Beach,Sussex County,38.7150624,-75.1088824,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Columbia Care Delaware,,Columbia Care Delaware,,https://col-carede.com/,2023-12-05T22:55:09.460791,,3,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-212-0033,Rehoboth Beach,Sussex County,38.7150624,-75.1088824,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Columbia Care Delaware,,Columbia Care Delaware,,https://col-carede.com/,2023-12-05T22:55:09.460791,,4,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-212-0033,Rehoboth Beach,Sussex County,38.7150624,-75.1088824,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field Supply,,Field Supply,,https://thefieldsupply.com,2023-12-05T22:55:09.460791,,5,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-482-3449,Wilmington,New Castle County,39.7252714,-75.65674109999999,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fresh Cannabis,,Fresh Cannabis,,https://freshdelaware.com/,2023-12-05T22:55:09.460791,,6,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-608-9595,Newark,New Castle County,39.6863049,-75.7301985,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fresh Cannabis,,Fresh Cannabis,,https://freshdelaware.com/,2023-12-05T22:55:09.460791,,7,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-404-0552,Seaford,Sussex County,38.6574699,-75.59447229999999,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Farm,,The Farm,,https://www.thefarmde.com ,2023-12-05T22:55:09.460791,,8,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-469-5470,Felton,Kent County,39.0426876,-75.5566229,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Farm,,The Farm,,https://www.thefarmde.com ,2023-12-05T22:55:09.460791,,9,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-327-0393,New Castle,New Castle County,39.6533576,-75.6165351,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
