application_status,license_type,application_classification,approved_license_type,approved_license_stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,original_submitted_date,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,approved_social_equity,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_initial_date_of_review,cnb_date_notice_sent_to_municipality,cnb_60_day_municipal_deadline_date,cnb_90_day_review_deadline_date,cnb_date_background_authorization_sent,cnb_date_background_report_received,cnb_finger_print_results_received_date,cnb_final_application_review,cnb_application_recommendation,cnb_final_inspection_result,cnb_final_license_recommendation,cnb_dt_of_final_licensure,application_created_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,lic_expiration_date,application_denied_date,cccupdatedate,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,zip,town,county,county_lat,county_long,region,id,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,issue_date,expiration_date,business_image_url,business_website,business_phone
APPROVED,Marijuana Cultivator,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283774,Healing Gardens LLC,Plymouth,MA,02360,41.957825,-70.707376,19 Richards Road,,Plymouth,MA,02360,POINT (-70.818958 41.978877),POINT (-70.707375 41.957825),19 Richards Road,,Plymouth,MA,02360,87-2387983,MCN283774,9/12/2022 02:46:57 PM,11/11/2022 01:20:14 PM,11/9/2022 11:55:50 AM,,False,no,,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,8/5/2022 01:26:45 PM,11/18/2022 11:28:59 AM,2/9/2023 01:19:17 PM,2/16/2023 03:00:00 AM,2/16/2024 03:00:00 AM,,5/22/2023,19 Richard's Rd,N/A,Plymouth County,,2500.0,02360,Plymouth,Plymouth,41.978877,-70.818958,Southeast and Cape,539,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Cultivator,General Applicant,COMMENCE OPS,COMMENCE OPS,11/30/2021,COMPLETE,MC282540,"Good Chemistry Nurseries of Massachusetts, LLC",Holliston,MA,01746,42.164889,-71.462894,50 Congress Street,Suite 420,Boston,MA,02109,POINT (-71.275566 42.459085),POINT (-71.462894 42.1648890),1550 Larimer Street,#296,Denver,CO,80202,84-2733953,MCN282540,12/23/2019 11:05:03 AM,7/8/2020 03:46:27 PM,3/27/2020 12:00:00 AM,9/10/2020 05:56:31 PM,True,,,,,,,APPROVED,RP201817,RPA201817,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,7/15/2021 04:00:00 AM,12/16/2019 01:35:29 PM,7/10/2020 09:13:06 AM,9/10/2020 01:09:03 PM,8/11/2022 04:00:00 AM,9/10/2023 04:00:00 AM,,5/22/2023,390 Hopping Brook Rd,N/A,Middlesex County,,5000.0,01746,Holliston,Middlesex,42.459085,-71.275566,Central MA,277,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Product Manufacturer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,1/15/2020,COMPLETE,MP281346,"M3 Ventures, Inc.",Plymouth,MA,02360,41.960387,-70.691279,9 Collins Avenue,,Plymouth,MA,02360,POINT (-70.818958 41.978877),POINT (-70.691278 41.9603869),9 Collins Avenue,,Plymouth,MA,02360,35-2472435,MPN281346,5/22/2018 02:03:04 PM,7/11/2018 03:26:49 PM,5/30/2018 12:00:00 AM,8/15/2018 12:32:58 PM,True,,,,,,,APPROVED,RP201874,RPA201874,Not a DBE,,,,,,,,,,,,,,9/13/2019 04:00:00 AM,5/16/2018 12:46:57 PM,7/13/2018 12:00:00 AM,8/9/2018 04:33:47 PM,10/13/2022 04:00:00 AM,11/21/2023 03:00:00 AM,,5/22/2023,9 Collins Ave,N/A,Plymouth County,,5000.0,02360,Plymouth,Plymouth,41.978877,-70.818958,Southeast and Cape,539,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Product Manufacturer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281852,Sparkboro Corp.,Egremont,MA,01258,42.185098,-73.416677,17 Sky Farm Road,,Egremont,MA,01258,POINT (-73.209889 42.396128),POINT (-73.416677 42.1850980),180 Elm Street Suite I#340,,Pittsfield,MA,01201,84-2817307,MPN281852,6/30/2020 05:08:40 PM,8/4/2020 01:33:59 PM,7/8/2020 11:11:32 AM,11/20/2020 03:40:25 PM,False,,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,3/5/2020 02:53:08 PM,8/6/2020 11:48:40 AM,11/19/2020 04:24:20 PM,2/10/2022 03:00:00 AM,2/10/2023 03:00:00 AM,,5/22/2023,120 Egremont Plain Rd,N/A,Berkshire County,,10000.0,01258,South Egremont,Berkshire,42.396128,-73.209889,,123,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Cultivator,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC282137,"Glacier Rock Farm, Inc.",Cummington,MA,01026,42.466334,-72.866086,"c/o Stage Road Holdings, LLC","1 Monarch Place, Suite 310",Springfield,MA,01144,POINT (-72.62073 42.322256),POINT (-72.866085 42.4663340),"c/o Stage Road Holdings, LLC","1 Monarch Place, Suite 310",Springfield,MA,01144,83-4488305,MCN282137,6/25/2019 09:28:33 PM,3/16/2020 03:46:43 PM,1/15/2020 12:00:00 AM,,False,,,,,,,,,,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,5/8/2019 02:14:25 PM,4/7/2020 12:00:00 AM,6/4/2020 02:14:04 PM,5/12/2022 04:00:00 AM,6/9/2023 04:00:00 AM,,5/22/2023,506 Stage Rd,N/A,Hampshire County,,5000.0,01026,Cummington,Hampshire,42.322256,-72.62073,Western MA,17,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,7/1/2019,COMPLETE,MR281796,Canna Provisions Inc,Lee,MA,01238,42.299398,-73.242133,214 Adams Ave,,West Newton,MA,02465,POINT (-73.209889 42.396128),POINT (-73.242132 42.2993979),220 Housatonic Street,,Lee,MA,01238,82-5377573,MRN281796,9/3/2018 07:08:31 PM,9/3/2018 07:08:31 PM,11/7/2018 12:00:00 AM,3/5/2019 04:02:35 PM,False,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,5/30/2019 04:00:00 AM,8/12/2018 11:33:26 AM,11/8/2018 12:00:00 AM,2/21/2019 04:10:09 PM,2/9/2023 03:00:00 AM,3/13/2024 04:00:00 AM,,5/22/2023,220 Housatonic St,N/A,Berkshire County,,5000.0,01238,Lee,Berkshire,42.396128,-73.209889,Western MA,110,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Product Manufacturer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282166,"Seven Leaf Sisters, Inc.",Marblehead,MA,01945,42.482958,-70.875876,37 Gregory Street,,Marblehead,MA,01945,POINT (-70.970827 42.635475),POINT (-70.875876 42.4829579),385 Atlantic Avenue,,Marblehead,MA,01945,85-2459041,MPN282166,1/6/2022 11:15:29 AM,2/15/2022 01:28:25 PM,1/13/2022 11:38:27 AM,,False,no,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,1/4/2022 04:21:03 PM,2/18/2022 11:50:21 AM,5/12/2022 02:08:58 PM,4/13/2023 04:00:00 AM,4/13/2024 04:00:00 AM,,5/22/2023,385 Atlantic Ave,N/A,Essex County,,10000.0,01945,Marblehead,Essex,42.635475,-70.970827,Northeast,364,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Product Manufacturer,General Applicant,COMMENCE OPS,COMMENCE OPS,2/12/2021,COMPLETE,MP281661,Fernway LLC,Northampton,MA,01060,42.336585,-72.63366,178 Industrial Dr,,Northampton,MA,01060,POINT (-72.62073 42.322256),POINT (-72.633660 42.3365849),110 Morningside Drive,,Florence,MA,01062,83-2063991,MPN281661,5/24/2019 10:04:27 AM,12/16/2019 04:56:08 PM,12/6/2019 12:00:00 AM,,False,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,1/14/2021 03:00:00 AM,5/6/2019 11:11:43 AM,2/27/2020 12:00:00 AM,5/8/2020 02:27:11 PM,4/14/2023 04:00:00 AM,5/19/2024 04:00:00 AM,,5/22/2023,178 Industrial Dr,N/A,Hampshire County,,10000.0,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,39,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,4/5/2021,COMPLETE,MC281970,"BCWC, LLC dba Nova Farms",Sheffield,MA,01257,42.156992,-73.364514,1884  North Main Street,,Sheffield,MA,01257,POINT (-73.209889 42.396128),POINT (-73.364514 42.1569920),34 Extension Street,,Attleboro,MA,02703,82-4930709,MCN281970,2/21/2019 01:14:09 PM,5/17/2019 05:48:32 PM,3/6/2019 12:00:00 AM,8/15/2019 12:13:50 PM,True,,,,,,,,,RPA201852,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,11/19/2020 03:00:00 AM,2/6/2019 04:45:45 PM,6/7/2019 12:00:00 AM,6/27/2019 04:25:30 PM,12/8/2022 03:00:00 AM,12/9/2023 03:00:00 AM,,5/22/2023,1884 N Main St,1884 North Main Street,Berkshire County,,1250.0,01257,Sheffield,Berkshire,42.396128,-73.209889,Western MA,122,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,9/30/2020,COMPLETE,MR282048,"GreenStar Herbals, Inc.",Dracut,MA,01826,42.664635,-71.324166,310 Flagg Hill Road,,Boxborough,MA,01719,POINT (-71.275566 42.459085),POINT (-71.324166 42.6646349),310 Flagg Hill Road,,Boxborough,MA,01719,83-0565099,MRN282048,11/28/2018 09:14:53 PM,8/26/2019 11:52:00 AM,5/9/2019 12:00:00 AM,12/5/2019 11:11:19 AM,False,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,9/10/2020 04:00:00 AM,11/14/2018 09:55:14 AM,9/18/2019 12:00:00 AM,11/7/2019 01:39:43 PM,10/13/2022 04:00:00 AM,12/5/2023 03:00:00 AM,,5/22/2023,100 Pleasant St,N/A,Middlesex County,,10000.0,01826,Dracut,Middlesex,42.459085,-71.275566,Northeast,306,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
