business_website,business_email,business_legal_name,business_phone,address,id,license_status,business_dba_name,license_number,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_image_url,license_type,data_refreshed_date
http://www.col-care.com/,chevychasemd@col-care.com,Columbia,301-637-0870,"4609 Willow Lane Chevy Cha se, MD 20815",0,,Columbia,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-08-07T19:14:43.826286
http://www.greenlabsmd.com/,info@greenlabsmd.com,GreenLabs,410-624-5520,"1522 Ea  stern Ave. Baltimore, MD 21231",1,,GreenLabs,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-08-07T19:14:43.826286
,,,,"Wellness Institute of Maryland4606 Wedgewood Blvd.Frederick, MD 21703",2,,,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-08-07T19:14:43.826286
https://www.gleaf.com/,patients@gleaf.com,Gleaf,800-208-9333,"808 Hungerford Dr. Rockville, MD 20850",3,,Gleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-08-07T19:14:43.826286
https://www.zenleafdispensaries.com,maria.pinsky@zenleafdispensaries.com,Zenleafdispensaries,410-842-9333,"101 E. Chesapeake Ave., Suite 102Towson, MD",4,,Zenleafdispensaries,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-08-07T19:14:43.826286
https://www.kipcan.com/,info@kipcan.com,Kipcan,410-403-0280,"9 Cranbrook Rd. Cockeysville, MD 21030",5,,Kipcan,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-08-07T19:14:43.826286
http://www.missioncan.com/,support@missioncan.com,Mission,833-768-4357,Four locations throughout the State,6,,Mission,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-08-07T19:14:43.826286
,,Peninsula Alternative Health,443-622-3661,"12355 Georgia Avenue, Silver Spring, MD 20906,",7,,Peninsula Alternative Health,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-08-07T19:14:43.826286
https://www.positiveenergyoc.com/,info@positiveenergyoc.com,Positiveenergyoc,410-877-2017,"9939 Jerry Mack Rd., Suite 500Ocean City, MD",8,,Positiveenergyoc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-08-07T19:14:43.826286
https://www.remedycolumbia.com/,hello@remedycolumbia.com,Remedycolumbia,443-542-0948,"8865 Stanford Blvd.Suite 131Columbia, MD",9,,Remedycolumbia,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-08-07T19:14:43.826286
