address,details_url,business_legal_name,business_dba_name,business_phone,license_status,license_type,premise_street_address,premise_city,premise_zip_code,business_email,business_owner_name,business_structure,business_image_url,business_website,id,licensing_authority_id,licensing_authority,license_designation,license_number,license_status_date,license_term,premise_latitude,premise_longitude,premise_state,issue_date,expiration_date,parcel_number,activity,premise_county,data_refreshed_date
"2901 North El Burrito Avenue, Tucson, AZ 85705",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAFAA3&activeTab=details,Arizona Cannabis Society Inc,Arizona Cannabis Society Inc,(888) 249-2927,Operating,Offsite Cultivation,2901 North El Burrito Avenue,Tucson,85705,"Email
genny@theazcs.com",,,,,14,ADHS,Arizona Department of Health Services,Retail - Sell Manufacture - Manufacture Manufacture - Package & Store Manufacture - Prepare Edibles,00000042ESJB38310180,,,33.55527000667307,-112.32503796570238,AZ,8/8/2022,Arizona Cannabis Society Inc,,,Pima County,2023-08-13T12:34:02.093791
"3000 East Valencia Road, 160, Tucson, AZ 85706",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TA9AAN&activeTab=details,"Arizona Golden Leaf Wellness, Llc","Arizona Golden Leaf Wellness, Llc",(520) 620-9123,Operating,Offsite Cultivation,3000 East Valencia Road,160,85706,"Email
goldenleafwellness@naturemedinc.com",,,,,15,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Cultivate Retail - Sell Manufacture - Manufacture Manufacture - Package & Store,00000067ESBS89254298,,,32.3376618126995,-111.0800782220449,AZ,8/8/2022,"Golden Leaf Wellness, Llc",,,Pima County,2023-08-13T12:34:02.093791
"1325 W Auto Dr, Ste 101, Tempe, AZ 85284",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0T9hAAF&activeTab=details,Cjk Inc,HANA MEDS,602 491-0420,Operating,Offsite Cultivation,1325 W Auto Dr,Ste 101,85284,"Email
compliance@hanameds.com",,,,,38,ADHS,Arizona Department of Health Services,Retail - Sell Manufacture - Manufacture Manufacture - Package & Store Manufacture - Prepare Edibles,00000106ESEU57773093,,,33.40451401816891,-112.00740096718418,AZ,8/8/2022,Cjk Inc,,,Maricopa County,2023-08-13T12:34:02.093791
"4636 N 43rd Ave, Phoenix, AZ 85031",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0T9ZAAV&activeTab=details,"CSI Solutions, Inc.",Sol Flower,480-420-3300,Operating,Offsite Cultivation,4636 N 43rd Ave,Phoenix,85031,"Email
tbeyer@beyermanagement.com",,,,,41,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Retail - Sell Manufacture - Manufacture Manufacture - Package & Store Manufacture - Prepare Edibles,00000012ESIS11195422,,,33.62108399794488,-111.90914796288551,AZ,8/8/2022,Csi Solutions Llc,,,Maricopa County,2023-08-13T12:34:02.093791
"2424 S 24th St, Phoenix, AZ 85034",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAPAA3&activeTab=details,Dreem Green Inc,JARS Cannabis,(602) 675-6999,Operating,Offsite Cultivation,2424 S 24th St,Phoenix,85034,"Email
ronnie.kassab@jarscannabis.com",,,,,50,ADHS,Arizona Department of Health Services,Retail - Sell Manufacture - Manufacture Manufacture - Package & Store,00000078ESQG10647381,,,33.42503698236544,-112.03087901325472,AZ,8/8/2022,Dreen Green Inc,,,Maricopa County,2023-08-13T12:34:02.093791
"6856 E Parkway Norte, Mesa, AZ 85212",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0T9qAAF&activeTab=details,Fwa Inc,Farm Fresh,(928) 733-6339,Operating,Offsite Cultivation,6856 E Parkway Norte,Mesa,85212,"Email
compliance@thefarmaz.com",,,,,64,ADHS,Arizona Department of Health Services,Retail - Sell Manufacture - Manufacture Manufacture - Package & Store Manufacture - Prepare Edibles,00000062ESGQ60020478,,,34.49857444463039,-114.34794568878813,AZ,8/8/2022,Fwa. Inc.,,,Maricopa County,2023-08-13T12:34:02.093791
"1444 North 26th Avenue, Phoenix, AZ 85009",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0T9YAAV&activeTab=details,"Legacy & Co., Inc.",JARS Cannabis,(623) 936-9333,Operating,Offsite Cultivation,1444 North 26th Avenue,Phoenix,85009,"Email
ronnie.kassab@jarscannabis.com",,,,,98,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Cultivate Retail - Sell Manufacture - Manufacture Manufacture - Package & Store,00000079ESTS64678211,,,33.90831,-112.141863,AZ,8/8/2022,"Legacy & Co., Inc.",,,Maricopa County,2023-08-13T12:34:02.093791
"128 S River Dr, Tempe, AZ 85281",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=0018y000004XdKbAAK&activeTab=details,Life Changers Investments LLC,Nirvana Center,(480) 452-7275,Operating,Offsite Cultivation,128 S River Dr,Tempe,85281,"Email
dealsalicia@gmail.com",,,,,99,ADHS,Arizona Department of Health Services,Retail - Manufacture Retail - Sell Retail - Prepare Edibles Manufacture - Manufacture Manufacture - Package & Store Manufacture - Prepare Edibles,0000156ESTDP70697204,,,33.399630260374224,-111.95160691251587,AZ,4/8/2022,Life Changers Investments LLC,,,Maricopa County,2023-08-13T12:34:02.093791
"4121 E Valley Auto Dr, Ste 121A, Mesa, AZ 85206",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0T9LAAV&activeTab=details,"Mohave Cannabis Club 1, LLC",JARS Cannabis,(928) 768-4665,Operating,Offsite Cultivation,4121 E Valley Auto Dr,Ste 121A,85206,"Email
mcc1@mohavecannabis.com",,,,,111,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Retail - Sell Manufacture - Manufacture Manufacture - Package & Store,00000098ESAA47054477,,,35.10072500000007,-114.62540499999994,AZ,8/8/2022,Herbal Assist Inc,,,Maricopa County,2023-08-13T12:34:02.093791
"125 S Rockford Dr, Tempe, AZ 85281",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TATAA3&activeTab=details,Ponderosa Botanical Care Inc,Ponderosa Dispensary,(623) 877-3934,Operating,Offsite Cultivation,125 S Rockford Dr,Tempe,85281,"Email
jeremy.basha@sonoranroots.com",,,,,141,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Retail - Sell Manufacture - Manufacture Manufacture - Package & Store Manufacture - Prepare Edibles,00000109ESVM44878444,,,33.03504312086619,-111.38714650244785,AZ,8/8/2022,Ponderosa Botanical Care Inc,,,Maricopa County,2023-08-13T12:34:02.093791
