license_number,business_legal_name,business_dba_name,Street,premise_city,premise_zip_code,data_refreshed_date,license_type,license_designation,Licensee Name,License #,Address,Residual Solvents,Microbials,Mycotoxins,id,license_status,licensing_authority_id,licensing_authority,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,premise_street_address,premise_county,premise_latitude,premise_longitude,business_website
402-00899,MAGGIES FARM LLC,MAGGIE'S FARM,74 North Component Drive Suite 170,Pueblo West,81007,2023-04-02,Stores,Adult-Use,,,,,,,402-00899,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 547-8345,,,74 Component Dr Ste 170,Pueblo County,38.339067,-104.740686,https://www.maggiesfarmmarijuana.com/locations/pueblo-west/?utm_source=google&utm_medium=organic&utm_campaign=gmb-menu
402-01170,BEST BUDZ LLC,BEST BUDZ,3615 East Platte Avenue,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-01170,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 598-0168,,,3729 Austin Bluffs Pkwy,El Paso County,38.8903724,-104.7580548,
402-00645,MILE HIGH REMEDIES LLC,DOCTORS ORDERS,2106 East Boulder Street,Colorado Springs,80909,2023-04-02,Stores,Adult-Use,,,,,,,402-00645,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 634-8808,,,2106 E Boulder St,El Paso County,38.8387566,-104.789948,https://doctorsorderscs.com/
402-01146,BCC LLC,BONFIRE CANNABIS COMPANY,"4837 North Washington Street, Suite 100",Denver,80216,2023-04-02,Stores,Adult-Use,,,,,,,402-01146,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 428-8097,,,4837 Washington St #100,Denver County,39.7845032,-104.9785742,http://www.bonfirecannabis.com/
402-01338,GRAND MESA GROUP INC,PUR CANNABLISS,130 North Grand Mesa Drive,Cedaredge,81413,2023-04-02,Stores,Adult-Use,,,,,,,402-01338,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 856-5051,,,130 N Grand Mesa Dr,Delta County,38.9011083,-107.9238777,https://www.facebook.com/PUR-CannaBliss-110457128375243
402-00555,LEVELS IV INC,"Levels IV, Inc.",389 Wadsworth Boulevard,Lakewood,80226,2023-04-02,Stores,Adult-Use,,,,,,,402-00555,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 954-9488,,,389 Wadsworth Blvd,Jefferson County,39.72160859999999,-105.082,http://www.levelsthc.com/
402-01334,MODERN MEDICINE LLC,ALTITUDE ORGANIC CANNABIS,817 Little Beaver Trail,Dillon,80435,2023-04-02,Stores,Adult-Use,,,,,,,402-01334,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 485-6147,,,817 Little Beaver Trail,Summit County,39.630036,-106.060971,https://altitudeorganic.com/recreational/home/
402-00444,AMERICAN WHOLESALE LLC,PALMER LAKE WELLNESS CENTER,855 Highway 105,Palmer Lake,80133,2023-04-02,Stores,Adult-Use,,,,,,,402-00444,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 488-9900,,,855 CO-105,El Paso County,39.0995983,-104.8775775,http://deadflowermj.com/
402-00788,GOLDEN MEDS MERGERCO LLC,Golden Meds,4620 North Peoria Street,Denver,80239,2023-04-02,Stores,Adult-Use,,,,,,,402-00788,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 502-6393,,,4620 Peoria St,Denver County,39.7802264,-104.8459455,https://goldenmedsco.com/location-peoria-st-co/
402-00304,MILE HIGH DISPENSARY LLC,MILE HIGH DISPENSARY,1350 South Sheridan Boulevard Unit 1 & 2,Denver,80232,2023-04-02,Stores,Adult-Use,,,,,,,402-00304,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 934-6337,,,1350 S Sheridan Blvd,Jefferson County,39.692239,-105.0528297,https://www.mhdbuds.com/
402-00301,DP RETAIL 115 LLC,Green Dragon,310 North Saint Paul Street,Denver,80206,2023-04-02,Stores,Adult-Use,,,,,,,402-00301,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 536-5462,,,310 St Paul St,Denver County,39.721244,-104.950684,https://greendragon.com/locations/cherry-creek-saint-paul-street/
402-01077,LEVELS IV INC,None,5201 West 48th Avenue,Denver,80212,2023-04-02,Stores,Adult-Use,,,,,,,402-01077,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 532-0757,,,1225 Logan St,Denver County,39.7355919,-104.9825902,https://barnundenver.com/
402-00216,BOBBY BROWN BEST BUDS LLC,BOBBY BROWN BEST BUDS,506 South Nevada Avenue,Colorado Springs,80903,2023-04-02,Stores,Adult-Use,,,,,,,402-00216,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 645-8058,,,506 S Nevada Ave,El Paso County,38.8265156,-104.8224897,
402-00018,GREEN KIWI 1 LLC,LivWell,3955 North Oneida Street,Denver,80207,2023-04-02,Stores,Adult-Use,,,,,,,402-00018,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 573-4735,,,3955 Oneida St,Denver County,39.7719229,-104.9079966,https://livwell.com/locations/colorado/central-park-denver
402-00691,PERSONALIZED ORGANIC TREATMENTS LLC,Canna Botica,219 North Vallejo Street,Denver,80223,2023-04-02,Stores,Adult-Use,,,,,,,402-00691,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 777-1550,,,219 Vallejo St,Denver County,39.7206576,-105.0135438,http://www.cannabotica.com/
402-00603,LIGHTSHADE LABS LLC,LIGHTSHADE,3950 North Holly Street,Denver,80207,2023-04-02,Stores,Adult-Use,,,,,,,402-00603,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 468-6100,,,3950 Holly St,Denver County,39.7722164,-104.9220219,https://lightshade.com/
402-00060,OG MEDICINALS LLC,None,4995 North Lima Street,Denver,80239,2023-04-02,Stores,Adult-Use,,,,,,,402-00060,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01326,TUMBLEWEED CRAIG LLC,None,316 West Victory Way,Craig,81625,2023-04-02,Stores,Adult-Use,,,,,,,402-01326,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
