address,details_url,business_legal_name,business_dba_name,business_phone,license_status,license_type,premise_street_address,premise_city,premise_zip_code,business_email,business_owner_name,business_structure,business_image_url,business_website,id,licensing_authority_id,licensing_authority,license_designation,license_number,license_status_date,license_term,premise_latitude,premise_longitude,premise_state,issue_date,expiration_date,parcel_number,activity,premise_county,data_refreshed_date
"143 N. Miami Drive, Miami, AZ 85539",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAoAAN&activeTab=details,Abedon Saiz Llc,Trulieve of Tatum,770-330-0831,Operating,Offsite Cultivation,143 N. Miami Drive,Miami,85539,"Email
compliance@trulieve.com",,,,,6,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Retail - Sell,00000052ESLX15969554,,,33.638218871149334,-111.97741688786886,AZ,1/22/2023,Abedon Saiz Llc,,,Gila County,2024-02-25T22:33:36.066632
"12225 W Peoria Ave, Ste B, El Mirage, AZ 85385",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAHAA3&activeTab=details,"Ad, Llc",Harvest House of Cannabis,770-330-0831,Operating,Offsite Cultivation,12225 W Peoria Ave,Ste B,85385,"Email
compliance@trulieve.com",,,,,8,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Retail - Sell,00000006ESWX56565424,,,33.495132511717834,-112.11544935780856,AZ,8/8/2022,"Ad, Llc",,,Maricopa County,2024-02-25T22:33:36.066632
"1508 W Joy Nevin Ave, Holbrook, AZ 86025",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000cRx7LAAS&activeTab=details,AGI Management LLC,AGI Management LLC,480-234-2343,Operating,Offsite Cultivation,1508 W Joy Nevin Ave,Holbrook,86025,"Email
jpham1099@yahoo.com",,,,,9,ADHS,Arizona Department of Health Services,Cultivation - Cultivate Retail - Sell,00000142ESIL74759395,,,33.66262351148754,-114.23502316617676,AZ,4/19/2023,AGI Management LLC,,,Navajo County,2024-02-25T22:33:36.066632
"1500 Navajo Blvd, Holbrook, AZ 86025",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0T9BAAV&activeTab=details,All Greens Inc,All Greens Inc,(623) 214-0801,Operating,Offsite Cultivation,1500 Navajo Blvd,Holbrook,86025,"Email
jpham1099@yahoo.com",,,,,10,ADHS,Arizona Department of Health Services,Cultivation - Cultivate Retail - Cultivate Retail - Sell,00000033ESLY55591549,,,33.63821352374622,-112.275927,AZ,7/20/2022,All Greens Inc,,,Navajo County,2024-02-25T22:33:36.066632
"2380 East Medina Road, Tucson, AZ 85756",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TA9AAN&activeTab=details,"Arizona Golden Leaf Wellness, Llc","Arizona Golden Leaf Wellness, Llc",(520) 620-9123,Operating,Offsite Cultivation,2380 East Medina Road,Tucson,85756,"Email
goldenleafwellness@naturemedinc.com",,,,,15,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Cultivate Retail - Sell Manufacture - Manufacture Manufacture - Package & Store,00000067ESBS89254298,,,32.3376618126995,-111.0800782220449,AZ,8/8/2022,"Golden Leaf Wellness, Llc",,,Pima County,2024-02-25T22:33:36.066632
"3400 W. Highway 287 Building A/B, Coolidge, AZ 85194",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAzAAN&activeTab=details,"AZGM 3, LLC",Zen Leaf Chandler,312-819-5061,Operating,Offsite Cultivation,3400 W. Highway 287 Building A/B,Coolidge,85194,"Email
azlicensing@verano.holdings",,,,,26,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Retail - Sell,00000040ESDX57445071,,,33.305379242050705,-111.96558385567546,AZ,1/22/2023,Azgm 3 Inc,,,Pinal County,2024-02-25T22:33:36.066632
"1575 E 18th Ave, Apache Junction, AZ 85119",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TBAAA3&activeTab=details,"Border Health, Inc",Sticky Saguaro,(602) 644-9188,Operating,Offsite Cultivation,1575 E 18th Ave,Apache Junction,85119,"Email
borderhealthmmj@gmail.com",,,,,29,ADHS,Arizona Department of Health Services,Cultivation - Cultivate Retail - Manufacture Retail - Cultivate Retail - Sell,00000022ESMC44584355,,,33.219335774528,-111.816104059953,AZ,1/22/2023,"Border Health, Inc",,,Pinal County,2024-02-25T22:33:36.066632
"2731 East Frontage Road, Tumacacori, AZ 85640",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000bHlkSAAS&activeTab=details,Cactus Bloom Facilities Management LLC,Releaf,520-982-9212,Operating,Offsite Cultivation,2731 East Frontage Road,Tumacacori,85640,"Email
aarrbn@aol.com",,,,,34,ADHS,Arizona Department of Health Services,Cultivation - Cultivate Retail - Sell,00000144ESQK21738687,,,31.53864902050171,-110.75776196585863,AZ,4/19/2023,Cactus Bloom Facilities Management LLC,,,Santa Cruz County,2024-02-25T22:33:36.066632
"3895 N Main St, Snowflake, AZ 85937",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAVAA3&activeTab=details,"Compassionate Care Of AZ, Inc.",Consume Cannabis,(928) 536-5151,Operating,Offsite Cultivation,3895 N Main St,Snowflake,85937,"Email
leonardd@verdantvp.com",,,,,39,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Cultivation - Prepare Edibles Retail - Sell,00000091ESHS96689917,,,34.26112298120796,-110.02017602791086,AZ,7/25/2022,"Compassionate Care Of Az, Inc",,,Navajo County,2024-02-25T22:33:36.066632
"3755 W Houser Rd., Eloy, AZ 85131",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TA4AAN&activeTab=details,Copper State Herbal Center Inc,Botanica,(520) 395-0230,Operating,Offsite Cultivation,3755 W Houser Rd.,Eloy,85131,"Email
copperstatehc@live.com",,,,,40,ADHS,Arizona Department of Health Services,Cultivation - Cultivate Retail - Cultivate Retail - Sell,00000127ESET80222360,,,32.31978651122408,-111.04760194757323,AZ,8/8/2022,Copper State Herbal Center Inc,,,Pinal County,2024-02-25T22:33:36.066632
