activity,address,business_dba_name,business_image_url,business_legal_name,business_structure,business_website,data_refreshed_date,expiration_date,id,issue_date,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,phone_number,premise_state
,"37 Germay Drive Wilmington, DE 19804",First State Compassion–Wilmington,,First State Compassion–Wilmington,,http://firststatecompassion.com,2023-06-06T18:30:59.286892,,0,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-543-2100,DE
,"12000 Old Vine Blvd., Unit 102 Lewes, DE 19958",First State Compassion–Lewes,,First State Compassion–Lewes,,http://firststatecompassion.com,2023-06-06T18:30:59.286892,,1,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-281-4888,DE
,"36725 Bayside Outlet Drive, Suite 760 Rehoboth Beach, DE 19971",Columbia Care Delaware,,Columbia Care Delaware,,https://col-carede.com/,2023-06-06T18:30:59.286892,,2,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-212-0033,DE
,"36725 Bayside Outlet Drive, Suite 760 Rehoboth Beach, DE 19971",Columbia Care Delaware,,Columbia Care Delaware,,https://col-carede.com/,2023-06-06T18:30:59.286892,,3,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-212-0033,DE
,"36725 Bayside Outlet Drive, Suite 760 Rehoboth Beach, DE 19971",Columbia Care Delaware,,Columbia Care Delaware,,https://col-carede.com/,2023-06-06T18:30:59.286892,,4,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-212-0033,DE
,"800 Ogletown Road Newark, DE 19711",Fresh Cannabis,,Fresh Cannabis,,https://freshdelaware.com/,2023-06-06T18:30:59.286892,,5,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-608-9595,DE
,"22983 Sussex Hwy. Seaford, DE 19973",Fresh Cannabis,,Fresh Cannabis,,https://freshdelaware.com/,2023-06-06T18:30:59.286892,,6,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-404-0552,DE
,"105 Irish Hill Rd Felton, DE 19943",The Farm,,The Farm,,https://www.thefarmde.com ,2023-06-06T18:30:59.286892,,7,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-469-5470,DE
,"240 S. Dupont Hwy New Castle, DE 19720",The Farm,,The Farm,,https://www.thefarmde.com ,2023-06-06T18:30:59.286892,,8,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-327-0393,DE
,"516 Jefferic Blvd. Dover, DE 19901",Best Buds,,Best Buds,,https://www.Bestbuds.com,2023-06-06T18:30:59.286892,,9,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-505-5000,DE
,"23 Georgetown Plaza Georgetown, De 19947",Best Buds,,Best Buds,,https://Bestbuds.com,2023-06-06T18:30:59.286892,,10,,,,Commercial - Retailer,Delaware Health Care Commission,DHCC,,302-505-5000,DE
