business_dba_name,business_phone,business_email,issue_date,premise_latitude,premise_longitude,county,state,state_name,premise_county,premise_street,premise_city,premise_state,premise_zip_code,business_legal_name,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,expiration_date,business_image_url,business_website,license_status_date,license_type,license_designation,activity,data_refreshed_date
AccuScience Laboratories,352-308-8020,support@accusciencelabs.com,2/1/2021,28.8520724,-81.6828268,Lake County,FL,Florida,,40 S Dewey St, Eustis,FL,32726,AccuScience Laboratories,OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
ACS Laboratory,813-634-4529,info@acslabcannabis.com,6/24/2020,27.7135061,-82.3710289,Hillsborough County,FL,Florida,,721 Cortaro Dr, Sun City Center,FL,33573,ACS Laboratory,OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
Americanna Laboratories,904-549-5948,info@americannalab.com,12/22/2021,30.2831513,-81.51417359999999,Duval County,FL,Florida,,11757 Central Pkwy, Jacksonville,FL,32224,Americanna Laboratories,OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
Certified Test and Data (CTND),312-315-5020,info@certifiedtnd.com,2/3/2023,28.5425852,-81.39077259999999,Orange County,FL,Florida,,805 W Central Blvd, Orlando,FL,32805,Certified Test and Data (CTND),OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
Green Scientific Labs,833-837-8223,info@greenscientificlabs.com,7/15/2020,26.0718922,-80.210737,Broward County,FL,Florida,,4001 SW 47th Ave #208, Davie,FL,33314,Green Scientific Labs,OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
Kaycha Labs Davie,833-465-8378,info@kaychalabs.com,6/24/2020,26.0707789,-80.2120424,Broward County,FL,Florida,,4131 SW 47th Ave # 1408, Davie,FL,33314,Kaycha Labs Davie,OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
Kaycha Labs Gainesville,833-465-8378,info@kaychalabs.com,6/24/2020,29.67517569999999,-82.32407789999999,Alachua County,FL,Florida,,2444 NE 1st Blvd Suite 700, Gainesville,FL,32609,Kaycha Labs Gainesville,OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
Method Testing Labs,813-769-9567,info@methodtestinglabs.com,3/6/2023,27.9676049,-82.3243113,Hillsborough County,FL,Florida,,2720 Broadway Center Blvd, Brandon,FL,33510,Method Testing Labs,OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
Modern Canna Science,863-608-7800,info@moderncanna.com,6/30/2020,27.9800377,-81.9619665,Polk County,FL,Florida,,4705 Old Rd 37, Lakeland,FL,33813,Modern Canna Science,OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
TerpLife Labs,813-726-3103,info@terplifelabs.com,1/21/2022,27.9591738,-82.3277999,Hillsborough County,FL,Florida,,10350 Fisher Ave, Tampa,FL,33619,TerpLife Labs,OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
US Cannalytics FL,407-985-4810,info@uscannalytics.com,10/11/2021,28.4300287,-81.40684139999999,Orange County,FL,Florida,,2251 Consulate Dr, Orlando,FL,32837,US Cannalytics FL,OMMU,Florida Office of Medical Marijuana Use,,,,,,,,Lab,,,2023-05-21T06:49:23.081311
