business_legal_name,business_dba_name,business_phone,license_status,license_type,premise_street_address,premise_city,premise_zip_code,business_email,business_owner_name,business_structure,business_image_url,business_website,id,licensing_authority_id,licensing_authority,license_designation,license_number,license_status_date,license_term,premise_latitude,premise_longitude,premise_state,issue_date,expiration_date,parcel_number,activity,premise_county,address,details_url,data_refreshed_date
Apollo Labs,Apollo Labs,(917) 340-1566,Operating,Marijuana Laboratory,17301 North Perimeter Drive,suite 100,85255,,,,,,13,ADHS,Arizona Department of Health Services,Adult-Use,00000013LCRK62049775,,,33.642588056630636,-111.89682503723432,AZ,5/10/2023,Apollo Labs LLC,,,Maricopa County,,,2024-03-17T22:36:19.986280
"Atc Labs, Inc.","Atc Labs, Inc.",Marijuana Laboratory,Not Operating,Marijuana Laboratory,9048 E. Bahia Drive Suite 105,SUITE 105,85260,,,,,,21,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.63704289211624,-111.88581492845142,AZ,,"Qc Clb V, Inc.",,,Maricopa County,,,2024-03-17T22:36:19.986280
"Az Laboratories, Llc","Az Laboratories, Llc",Marijuana Laboratory,Not Operating,Marijuana Laboratory,7255 S Kyrene Rd,Ste 103,85283,,,,,,24,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.35539598174179,-111.94471899976243,AZ,,"Az Laboratories, Llc",,,Maricopa County,,,2024-03-17T22:36:19.986280
"Black Labs, LLC","Black Labs, LLC",(602) 410-6849,Operating,Marijuana Laboratory,9030 S Rita Rd,320,85747,,,,,,27,ADHS,Arizona Department of Health Services,Adult-Use,00000019LCFV63662604,,,32.0938760098507,-110.81010502335155,AZ,9/15/2023,"Black Labs, LLC",,,Pima County,,,2024-03-17T22:36:19.986280
C4 Laboratories,SC Labs,(480) 219-6460,Operating,Marijuana Laboratory,7650 East Evans Rd Unit A,UNIT A,85260,,,,,,33,ADHS,Arizona Department of Health Services,Adult-Use,00000005LCMI00301434,,,33.61694899556085,-111.91485503311961,AZ,8/25/2022,C4 Laboratories Llc,,,Maricopa County,,,2024-03-17T22:36:19.986280
Delta Verde Laboratory,Delta Verde Laboratory,(602) 466-9730,Operating,Marijuana Laboratory,12620 North Cave Creek Rd,Suite 2,85022,,,,,,43,ADHS,Arizona Department of Health Services,Adult-Use,00000008LCXF00023166,,,33.60165998507368,-112.03768000567224,AZ,7/8/2022,Delta Verde Laboratory,,,Maricopa County,,,2024-03-17T22:36:19.986280
Desert Valley Testing,Desert Valley Testing,(720) 490-6710,Operating,Marijuana Laboratory,3520 North 7th Street,Phoenix,85014,,,,,,46,ADHS,Arizona Department of Health Services,Adult-Use,0000031LRCHX78341676,,,33.48914295131766,-112.06570431220611,AZ,8/9/2023,Gary Ronald Brook,,,Maricopa County,,,2024-03-17T22:36:19.986280
"Desert Valley Testing, Llc.","Desert Valley Testing, Llc.",Marijuana Laboratory,Not Operating,Marijuana Laboratory,51 W Weldon Avenue,Phoenix,85013,,,,,,47,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.490700084113556,-112.07459184769634,AZ,,"Desert Valley Testing, Llc.",,,Maricopa County,,,2024-03-17T22:36:19.986280
Encore Labs Arizona,Encore Labs Arizona,(626) 653-3414,Operating,Marijuana Laboratory,16624 North 90th Street,#101,85260,,,,,,55,ADHS,Arizona Department of Health Services,Adult-Use,0000034LRCRF78097578,,,33.638235593046,-111.887728679873,AZ,10/27/2023,"Encore Labs Arizona, LLC",,,Maricopa County,,,2024-03-17T22:36:19.986280
Eternum Analytics,Eternum Analytics,(520) 260-9911,Operating,Marijuana Laboratory,9052 South Rita Road,Tucson,85747,,,,,,56,ADHS,Arizona Department of Health Services,Adult-Use,0000032LRCCI81510083,,,32.09151608501166,-110.81125770267623,AZ,9/5/2023,Eternum Analytics LLC,,,Pima County,,,2024-03-17T22:36:19.986280
