ccclastupdated,application_status,license_type,application_classification,application_classification_1,application_classification_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,approved_social_equity,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,establishment_address_1,establishment_address_2,establishment_state,premise_latitude,premise_longitude,number,street,unit_type,unit_number,city,state,premise_county,premise_zip_code,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,2/16/2023,COMPLETE,IL281360,Assured Testing Laboratories LLC,Tyngsborough,1879.0,,,300 Potash Hill Rd,,Tyngsborough,MA,1879,POINT (-71.275566 42.459085),POINT (-71.419741 42.664465),93 Ward St,Unit 204,Revere,MA,2151,84-3660236,ILN281360,11/9/2021 12:07:12 PM,2/3/2021 04:32:47 PM,1/28/2022 02:51:21 PM,False,no,,,,,,,,,Not a DBE,,,10/13/2022 04:00:00 AM,12/7/2020 05:44:20 PM,11/15/2021 03:59:53 PM,1/20/2022 03:24:26 PM,2/8/2024 03:00:00 AM,2/12/2025 03:00:00 AM,,10000.0,1879.0,Tyngsboro,Middlesex,42.459085,-71.275566,,300 Potash Hill Rd,Suite A,MA,42.664465,-71.419741,300.0,Potash Hill Rd,,,Tyngsboro,MA,Middlesex County,1879.0,Assured Testing Laboratories LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,3/17/2023,COMPLETE,IL281359,Green Valley Analytics LLC,Holyoke,1040.0,,,306 Race St,,Holyoke,MA,1040,POINT (-72.571312 42.12756),POINT (-72.607519 42.2004519),306 Race St,,Holyoke,MA,1040,85-4060279,ILN281359,4/20/2021 06:34:44 PM,4/7/2021 11:35:50 AM,,False,no,,,,,,,,,Not a DBE,,,2/9/2023 03:00:00 AM,11/30/2020 04:44:09 PM,4/30/2021 10:44:10 AM,6/22/2021 10:58:37 AM,8/10/2023 04:00:00 AM,9/10/2024 04:00:00 AM,,10000.0,1040.0,Holyoke,Hampden,42.12756,-72.571312,Western MA,306 Race St,,MA,42.200452,-72.60752,306.0,Race St,,,Holyoke,MA,Hampden County,1040.0,Green Valley Analytics LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,10/29/2021,COMPLETE,IL281349,"Kaycha MA, LLC",Natick,1760.0,,,16 Tech Circle,Suite 201,Natick,MA,1760,POINT (-71.275566 42.459085),POINT (-71.334810 42.316246),16 Tech Circle,Suite 201,Natick,MA,1760,85-2174223,ILN281349,11/17/2020 11:27:43 AM,11/10/2020 10:01:56 AM,,False,no,,,,,,,,,Not a DBE,,,9/17/2021 04:00:00 AM,7/27/2020 11:34:55 AM,11/20/2020 10:05:54 AM,2/11/2021 01:31:54 PM,2/8/2024 03:00:00 AM,2/22/2025 03:00:00 AM,,10000.0,1760.0,Natick,Middlesex,42.459085,-71.275566,Central MA,16 Tech Circle,Suite 201,MA,42.316246,-71.33481,16.0,Tech Cir,,,Natick,MA,Middlesex County,1760.0,"Kaycha MA, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,2/10/2022,COMPLETE,IL281355,Smithers AMS LLC,Wareham,2571.0,,,790 Main Street,,Wareham,MA,2571,POINT (-70.818958 41.978877),POINT (-70.74897 41.7705399),790 Main Street,,Wareham,MA,2571,85-2924837,ILN281355,3/23/2021 03:48:06 PM,3/3/2021 03:29:04 PM,7/16/2021 10:49:36 AM,False,no,,,,,,,,,Not a DBE,,,1/20/2022 03:00:00 AM,9/30/2020 04:44:32 PM,4/2/2021 12:07:19 PM,7/15/2021 04:44:22 PM,7/13/2023 04:00:00 AM,7/16/2024 04:00:00 AM,,10000.0,2571.0,Wareham,Plymouth,41.978877,-70.818958,Southeast and Cape,790 Main Street,,MA,41.77054,-70.74897,790.0,Main St,,,Wareham,MA,Plymouth County,2571.0,Smithers AMS LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,12/18/2020,COMPLETE,IL281325,Aries Laboratories LLC,Marlborough,1752.0,,,257 Simarano Drive Suite 100,,Marlborough,MA,1752,POINT (-71.275566 42.459085),POINT (-71.579835 42.3241519),257 Simarano Drive Suite 100,,Marlborough,MA,1752,83-2414813,ILN281325,3/16/2020 12:08:32 PM,1/31/2020 12:00:00 AM,6/4/2020 02:31:57 PM,False,,,,,,,,,,Not a DBE,,,11/19/2020 03:00:00 AM,10/11/2019 11:34:11 AM,3/19/2020 12:00:00 AM,6/4/2020 02:02:57 PM,12/14/2023 03:00:00 AM,12/15/2024 03:00:00 AM,,10000.0,1752.0,Marlborough,Middlesex,42.459085,-71.275566,Central MA,257 Simarano Drive Suite 100,,MA,42.324152,-71.579835,257.0,Simarano Dr,Ste,100.0,Marlborough,MA,Middlesex County,1752.0,Aries Laboratories LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,10/30/2023,COMPLETE,IL281352,"Legacy Foundation Group, LLC",Worcester,1603.0,,,41 Fremont St,,Worcester,MA,1603,POINT (-71.840209 42.329642),POINT (-71.831031 42.2412399),41 Fremont St,,Worcester,MA,1603,85-1238989,ILN281352,12/4/2020 04:28:16 PM,11/13/2020 12:27:57 PM,,False,no,,,,,,,,,Not a DBE,,,9/14/2023 04:00:00 AM,9/10/2020 01:57:43 PM,12/10/2020 09:59:03 AM,2/11/2021 01:35:21 PM,3/7/2024 03:00:00 AM,4/8/2025 04:00:00 AM,,10000.0,1603.0,Worcester,Worcester,42.329642,-71.840209,Central MA,41 Fremont Street,,MA,42.24124,-71.831032,41.0,Fremont St,,,Worcester,MA,Worcester County,1603.0,"Legacy Foundation Group, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,11/7/2018,COMPLETE,IL281278,"MCR Labs, LLC",Framingham,1701.0,,,85 Speen St #100,,Framingham,MA,1701,POINT (-71.275566 42.459085),POINT (-71.386792 42.310927),85 Speen St #100,,Framingham,MA,1701,46-3124709,ILN281278,8/2/2018 02:57:16 PM,8/2/2018 12:00:00 AM,9/13/2018 06:42:18 PM,False,,,,,,,,,,Not a DBE,,,10/18/2018 04:00:00 AM,5/24/2018 02:26:37 PM,8/3/2018 12:00:00 AM,8/23/2018 03:47:44 PM,9/14/2023 04:00:00 AM,9/20/2024 04:00:00 AM,,5000.0,1701.0,Framingham,Middlesex,42.459085,-71.275566,Central MA,85 Speen St,,MA,42.310927,-71.386792,85.0,Speen St,,,Framingham,MA,Middlesex County,1701.0,"MCR Labs, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,8/5/2021,COMPLETE,IL281279,"ProVerde Laboratories, Inc.",Milford,1757.0,,,420 Fortune Blvd.,,Milford,MA,1757,POINT (-71.840209 42.329642),POINT (-71.504390 42.161524),420 Fortune Blvd.,,Milford,MA,1757,46-1857722,ILN281279,7/6/2020 03:20:05 PM,9/10/2019 12:00:00 AM,,False,no,,,,,,,,,Not a DBE,,,7/15/2021 04:00:00 AM,5/25/2018 10:06:49 AM,7/10/2020 09:10:26 AM,10/8/2020 02:43:19 PM,11/9/2023 03:00:00 AM,11/20/2024 03:00:00 AM,,10000.0,1757.0,Milford,Worcester,42.329642,-71.840209,Central MA,420 Fortune Blvd.,,MA,42.161524,-71.504391,420.0,Fortune Blvd,,,Milford,MA,Worcester County,1757.0,"ProVerde Laboratories, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - License Type,Expedited,License Type,COMMENCE OPS,3/21/2022,COMPLETE,IL281290,Massbiolytics Corp,Dracut,1826.0,,,"20 Commercial Drive, Ste  2001",,Dracut,MA,1826,POINT (-71.275566 42.459085),POINT (-71.250033 42.7033119),"20 Commercial Drive, Ste  2001",,Dracut,MA,1826,83-2161995,ILN281290,3/27/2020 11:27:45 AM,1/6/2020 12:00:00 AM,,False,,,,,,,,,,Not a DBE,,,11/18/2021 03:00:00 AM,7/3/2018 02:52:10 PM,4/7/2020 12:00:00 AM,6/4/2020 02:31:52 PM,3/7/2024 03:00:00 AM,3/10/2025 04:00:00 AM,,10000.0,1826.0,Dracut,Middlesex,42.459085,-71.275566,Northeast,"20 Commercial Dr, Ste 2001",,MA,42.703312,-71.250033,20.0,Commercial Dr,Ste,2001.0,Dracut,MA,Middlesex County,1826.0,Massbiolytics Corp,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
07/01/2024,APPROVED,Independent Testing Laboratory,Expedited Review - Two or More,Expedited,Two or More,COMMENCE OPS,8/10/2023,COMPLETE,IL281334,G7 Lab LLC,Littleton,1460.0,,,"160 Ayer Road, Unit 3",,Littleton,MA,1460,POINT (-71.275566 42.459085),POINT (-71.521762 42.5483789),"160 Ayer Road, Unit 3",,Littleton,MA,1460,83-3610074,ILN281334,6/10/2020 01:06:21 PM,6/4/2020 11:38:13 AM,8/25/2020 10:31:57 AM,False,,,,,,,,,,Minority-Owned Business,,,7/13/2023 04:00:00 AM,3/12/2020 07:43:10 PM,6/19/2020 02:59:19 PM,8/6/2020 01:53:54 PM,8/10/2023 04:00:00 AM,8/25/2024 04:00:00 AM,,10000.0,1460.0,Littleton,Middlesex,42.459085,-71.275566,Central MA,"160 Ayer Road, Unit 3",,MA,42.548379,-71.521763,160.0,Ayer Rd,Ste,3.0,Littleton,MA,Middlesex County,1460.0,G7 Lab LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
