license_number,business_dba_name,id,license_type,LicenseStatus,premise_county,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_legal_name,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,business_phone,business_website,data_refreshed_date
34783954003475226897,Lettucetest Llc,34783954003475226897,Retail Laboratory,Suspended,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LETTUCETEST LLC,,,,,,,,,2024-07-10
36471481166286897722,Lettucetest Llc,36471481166286897722,Medical Laboratory,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LETTUCETEST LLC,,,,,,,,,2024-07-10
44967653318399830596,Dpl Nv Llc,44967653318399830596,Retail Laboratory,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DPL NV LLC,,,,,,,,,2024-07-10
45524894396296300516,Canalysis Nevada Llc,45524894396296300516,Medical Laboratory,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CANALYSIS NEVADA LLC,,,,,,,,,2024-07-10
46100778561169443516,G3 Labs Llc,46100778561169443516,Retail Laboratory,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,G3 LABS LLC,,,,,,,,,2024-07-10
68654169444367146618,374 Labs Llc,68654169444367146618,Retail Laboratory,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,374 LABS LLC,,,,,,,,,2024-07-10
69204305475717257553,Db Labs Llc,69204305475717257553,Retail Laboratory,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DB LABS LLC,,,,,,,,,2024-07-10
81521595921502470043,Ma & Associates Llc,81521595921502470043,Retail Laboratory,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MA & ASSOCIATES LLC,,,,,,,,,2024-07-10
91781014075623623744,Erp Llc,91781014075623623744,Retail Laboratory,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ERP LLC,,,,,,,,,2024-07-10
99935327095322531205,Nv Cann Labs Llc,99935327095322531205,Retail Laboratory,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NV CANN LABS LLC,,,,,,,,,2024-07-10
