application_status,license_type,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,ccclastupdated,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
APPROVED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,,COMPLETE,PMD5980,High Honors LLC,,,,,75 Kathleen Road,,South Weymouth,MA,2190,,,75 Kathleen Road,,South Weymouth,MA,2190,87-3778256,PMDA5980,Mon Jun 20 2022 00:42:57 GMT-0400 (Eastern Daylight Time),Fri Jan 07 2022 09:32:13 GMT-0500 (Eastern Standard Time),,True,,SE305422,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,Wed Dec 29 2021 12:33:05 GMT-0500 (Eastern Standard Time),Mon Jun 27 2022 10:13:19 GMT-0400 (Eastern Daylight Time),Mon Jun 27 2022 10:13:31 GMT-0400 (Eastern Daylight Time),Mon Jun 27 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 27 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,MA,,,SE305422,2/9/2024,High Honors LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Courier,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,,COMPLETE,DO100171,BEWCO LLC,Northampton,1060.0,,,90 Conz St. #219,,Northampton,MA,1060,POINT (-72.62073 42.322256),,90 Conz St. #219,,Northampton,MA,1060,88-2100554,DOA100171,Thu Sep 08 2022 12:33:05 GMT-0400 (Eastern Daylight Time),Mon Aug 15 2022 10:55:42 GMT-0400 (Eastern Daylight Time),,True,,SE305382,,,,,,,Woman-Owned Business,,,,Thu Jun 30 2022 12:48:21 GMT-0400 (Eastern Daylight Time),Fri Oct 07 2022 11:52:58 GMT-0400 (Eastern Daylight Time),Thu Dec 08 2022 14:38:54 GMT-0500 (Eastern Standard Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Dec 08 2023 03:00:00 GMT-0500 (Eastern Standard Time),,,1060.0,Northampton,Hampshire,42.322256,-72.62073,Western MA,,MA,,,SE305382,2/9/2024,BEWCO LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,3/6/2023,COMPLETE,MR282731,Solar Therapeutics Inc.,Dartmouth,2747.0,,,493 Faunce Corner Road,,Dartmouth,MA,2747,POINT (-71.102131 41.778329),POINT (-70.991175 41.6702450),1400 Brayton Point Rd,,SOMERSET,MA,2725,82-3644660,MRN282731,Tue May 24 2022 15:38:44 GMT-0400 (Eastern Daylight Time),Wed Apr 08 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,Thu Feb 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Fri May 24 2019 05:41:50 GMT-0400 (Eastern Daylight Time),Fri Jun 10 2022 10:26:29 GMT-0400 (Eastern Daylight Time),Fri Sep 16 2022 14:03:59 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 28 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2747.0,North Dartmouth,Bristol,41.778329,-71.102131,,,MA,41.670245,-70.991176,,2/12/2024,Solar Therapeutics Inc.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,7/1/2020,COMPLETE,MR281778,Canna Provisions Inc,Holyoke,1040.0,,,220 Housatonic Street,,Lee,MA,1238,POINT (-72.571312 42.12756),POINT (-72.604607 42.204729),220 Housatonic St,,Lee,MA,1238,82-5377573,MRN281778,Mon Sep 03 2018 19:06:36 GMT-0400 (Eastern Daylight Time),Wed Nov 07 2018 00:00:00 GMT-0500 (Eastern Standard Time),Tue Apr 02 2019 15:36:37 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Not a DBE,,,Thu Apr 09 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Aug 04 2018 15:55:52 GMT-0400 (Eastern Daylight Time),Thu Nov 08 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Feb 21 2019 16:08:25 GMT-0500 (Eastern Standard Time),Thu Feb 08 2024 03:00:00 GMT-0500 (Eastern Standard Time),Sat Apr 05 2025 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,1040.0,Holyoke,Hampden,42.12756,-72.571312,Western MA,,MA,42.204729,-72.604608,,2/12/2024,Canna Provisions Inc,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,2/5/2024,COMPLETE,MC281359,"Silver Therapeutics, Inc",Orange,1364.0,,,"82 Wendell Ave, Suite 100",,Pittsfield,MA,1201,POINT (-72.573941 42.587072),POINT (-72.303200 42.5972099),89 Court Street,,Saratoga Springs,NY,12866,82-1894711,MCN281359,Fri Jun 29 2018 14:10:57 GMT-0400 (Eastern Daylight Time),Mon May 14 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Dec 17 2018 11:30:08 GMT-0500 (Eastern Standard Time),True,,,,,,,,RPA201854,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed May 02 2018 09:21:18 GMT-0400 (Eastern Daylight Time),Thu Jul 05 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Dec 14 2018 11:58:08 GMT-0500 (Eastern Standard Time),Thu Feb 08 2024 03:00:00 GMT-0500 (Eastern Standard Time),Wed Feb 12 2025 03:00:00 GMT-0500 (Eastern Standard Time),600.0,5000.0,1364.0,Orange,Franklin,42.587072,-72.573941,Western MA,,MA,42.59721,-72.3032,,2/12/2024,"Silver Therapeutics, Inc",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MC283335,H&H Cultivation LLC,Holyoke,1040.0,,,42 Main Street,,Holyoke,MA,1040,POINT (-72.571312 42.12756),POINT (-72.602075 42.2049680),"662 Tremont Street, Apt. #1",,Boston,MA,2118,85-3464231,MCN283335,Fri Feb 26 2021 14:41:55 GMT-0500 (Eastern Standard Time),Tue Feb 23 2021 09:26:46 GMT-0500 (Eastern Standard Time),Tue Jun 22 2021 14:14:04 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Sun Jan 31 2021 13:29:38 GMT-0500 (Eastern Standard Time),Fri Apr 09 2021 11:07:19 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 11:01:29 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),400.0,2500.0,1040.0,Holyoke,Hampden,42.12756,-72.571312,Western MA,,MA,42.204968,-72.602076,,2/12/2024,H&H Cultivation LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Product Manufacturer,Priority Review - MTC Priority,Priority,MTC Priority,PROVISIONAL LICENSE,,COMPLETE,MP281517,"Beacon Compassion, Inc",Attleboro,2703.0,,,900 Washington Street,Ste A,Norwood,MA,2062,POINT (-71.102131 41.778329),POINT (-71.319581 41.9199569),900 Washington Street,Ste A,Norwood,MA,2062,83-2057586,MPN281517,Wed Nov 28 2018 13:48:41 GMT-0500 (Eastern Standard Time),Tue Nov 06 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 25 2019 10:18:20 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201902,RPA201902,Not a DBE,,,,Thu Oct 18 2018 15:32:59 GMT-0400 (Eastern Daylight Time),Mon Dec 10 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Feb 21 2019 16:07:37 GMT-0500 (Eastern Standard Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Apr 26 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,2703.0,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,,MA,41.919957,-71.319582,,2/12/2024,"Beacon Compassion, Inc",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MR284981,Flora Holdings LLC,Waltham,2451.0,,,221 Bear Hill Road,,Waltham,MA,2451,POINT (-71.275566 42.459085),POINT (-71.264663 42.3836480),27 Franklin Street,,Wakefiled,MA,1880,85-2685950,MRN284981,Mon Sep 11 2023 15:44:43 GMT-0400 (Eastern Daylight Time),Wed Aug 16 2023 11:44:49 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Woman-Owned Business,,,,Thu Jun 29 2023 16:31:04 GMT-0400 (Eastern Daylight Time),Fri Sep 15 2023 13:07:55 GMT-0400 (Eastern Daylight Time),Thu Dec 14 2023 14:28:52 GMT-0500 (Eastern Standard Time),,,1500.0,,2451.0,Waltham,Middlesex,42.459085,-71.275566,Northeast,,MA,42.383648,-71.264664,,2/12/2024,Flora Holdings LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MP281770,"Emerald Grove, Inc.",Middleborough,2346.0,,,31 Sadies Way,,Harwich,MA,2645,POINT (-70.818958 41.978877),POINT (-70.864566 41.8565540),31 Sadies Way,,,MA,2645,82-2714914,MPN281770,Wed Apr 22 2020 09:25:19 GMT-0400 (Eastern Daylight Time),Mon Apr 06 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,,Not a DBE,,,,Thu Oct 03 2019 09:37:07 GMT-0400 (Eastern Daylight Time),Fri Jul 10 2020 09:12:27 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:02:14 GMT-0400 (Eastern Daylight Time),Thu Nov 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Tue Dec 03 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,2346.0,Middleboro,Plymouth,41.978877,-70.818958,,Units A-E,MA,41.856554,-70.864567,,2/12/2024,"Emerald Grove, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Transporter with Other Existing ME License,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,,COMPLETE,MX281418,Blossom Flower LLC,Holyoke,1040.0,,,1 Cabot Street,,Holyoke,MA,1040,POINT (-72.571312 42.12756),POINT (-72.602168 42.1966370),16 MAYER DR,,Holyoke,MA,1040,87-1261757,MXN281418,Wed Mar 01 2023 09:06:19 GMT-0500 (Eastern Standard Time),Tue Jan 31 2023 10:23:54 GMT-0500 (Eastern Standard Time),Wed Jun 14 2023 16:53:21 GMT-0400 (Eastern Daylight Time),True,yes,SE304773,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,Wed Dec 28 2022 12:01:51 GMT-0500 (Eastern Standard Time),Fri Mar 03 2023 09:19:06 GMT-0500 (Eastern Standard Time),Fri Apr 14 2023 14:56:40 GMT-0400 (Eastern Daylight Time),Wed Jun 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Jun 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,2500.0,1040.0,Holyoke,Hampden,42.12756,-72.571312,Western MA,,MA,42.196637,-72.602168,SE304773,2/12/2024,Blossom Flower LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
