license_number,license_type,business_legal_name,expiration_date,license_status,activity,id,licensing_authority_id,licensing_authority,premise_state,license_status_date,issue_date,business_owner_name,business_structure,parcel_number,business_phone,business_email,business_image_url,license_designation,business_website,business_dba_name,license_term,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_city,premise_zip_code,data_refreshed_date
AU-G-A-000149,Class A Marihuana Grower,"3165 Farms, LLC",2025-07-16T00:00:00,Active,,0,CRA,Michigan Cannabis Regulatory Agency,MI,,,,,,,,,,,"3165 Farms, LLC",,44.2048563,-83.64799939999999,Iosco County,3165 Alabaster Rd,Tawas City,48763,2024-08-05T22:41:17.394149
AU-G-A-000147,Class A Marihuana Grower,Wise Tree Farms LLC,2025-05-13T00:00:00,Active,,1,CRA,Michigan Cannabis Regulatory Agency,MI,,,,,,,,,,,Wise Tree Farms LLC,,43.769364,-84.647048,Isabella County,8751 N Wise Rd,Clare,48617,2024-08-05T22:41:17.394149
AU-G-A-000148,Class A Marihuana Grower,Triforce Farm LLC,2025-05-08T00:00:00,Active,,2,CRA,Michigan Cannabis Regulatory Agency,MI,,,,,,,,,,,Triforce Farm LLC,,41.8659648,-84.49069779999999,Hillsdale County,8310 Hudson Rd,Pittsford,49271,2024-08-05T22:41:17.394149
AU-G-A-000143,Class A Marihuana Grower,Authentic 231,2024-11-17T00:00:00,Active,,3,CRA,Michigan Cannabis Regulatory Agency,MI,,,,,,,,,,,Authentic 231,,44.2591296,-86.3178058,Manistee County,74 Arthur St Bldg B,Manistee,49660,2024-08-05T22:41:17.394149
AU-G-A-000138,Class A Marihuana Grower,High Bud,2025-05-19T00:00:00,Active,,4,CRA,Michigan Cannabis Regulatory Agency,MI,,,,,,,,,,,High Bud,,44.9167627,-84.9697727,Antrim County,5963 Scholl Rd,Mancelona,49659,2024-08-05T22:41:17.394149
AU-G-A-000137,Class A Marihuana Grower,The Noggin Shop,2025-03-16T00:00:00,Active,,5,CRA,Michigan Cannabis Regulatory Agency,MI,,,,,,,,,,,The Noggin Shop,,47.1749056,-88.42633239999999,Houghton County,52324 Duncan Ave,Hubbell,49934,2024-08-05T22:41:17.394149
AU-G-A-000134,Class A Marihuana Grower,GL Hydro Pharm LLC,2025-02-13T00:00:00,License Void,,6,CRA,Michigan Cannabis Regulatory Agency,MI,,,,,,,,,,,GL Hydro Pharm LLC,,44.941384,-85.019193,Antrim County,6068 US-131,Mancelona,49659,2024-08-05T22:41:17.394149
AU-G-A-000136,Class A Marihuana Grower,World Selections,2025-02-10T00:00:00,Active,,7,CRA,Michigan Cannabis Regulatory Agency,MI,,,,,,,,,,,World Selections,,42.25499,-84.35609099999999,Jackson County,220 Watts Rd,Jackson,49203,2024-08-05T22:41:17.394149
AU-G-A-000132,Class A Marihuana Grower,"Spring Valley Growers, LLC",2024-10-27T00:00:00,License Void,,8,CRA,Michigan Cannabis Regulatory Agency,MI,,,,,,,,,,,"Spring Valley Growers, LLC",,41.8844464,-84.5441484,Hillsdale County,Osseo,MI 49266,USA,2024-08-05T22:41:17.394149
AU-G-A-000131,Class A Marihuana Grower,"Aloft Process, Inc",2023-08-01T00:00:00,License Void,,9,CRA,Michigan Cannabis Regulatory Agency,MI,,,,,,,,,,,"Aloft Process, Inc",,41.8207262,-86.3811717,Berrien County,317 Post Rd,Buchanan,49107,2024-08-05T22:41:17.394149
