premise_city,license_designation,business_legal_name,business_phone,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_type,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_email,business_image_url,business_dba_name,premise_street_address,premise_county,premise_zip_code,premise_latitude,premise_longitude,business_website,data_refreshed_date
Anaconda,Adult Use,Remedy Medicinals LLC,(406) 490-9298,0,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Remedy Medicinals LLC,,,,,,,2024-02-05T22:29:03.202367
Arlee,Adult Use,The Hi-Line Company-Arlee,(406) 239-7292,1,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,The Hi-Line Company-Arlee,,,,,,,2024-02-05T22:29:03.202367
Arlee,Adult Use,Tsb Montana Arlee,(406) 223-6916,2,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Tsb Montana Arlee,,,,,,,2024-02-05T22:29:03.202367
Ashland,Adult Use,Ashland,(406) 459-2618,3,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ashland,,,,,,,2024-02-05T22:29:03.202367
Ashland,Adult Use,High Mountain - Ashland,(406) 670-6325,4,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,High Mountain - Ashland,,,,,,,2024-02-05T22:29:03.202367
Ashland,Adult Use,Ninepipe Organics,(406) 690-1467,5,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Ninepipe Organics,,,,,,,2024-02-05T22:29:03.202367
Baker,Medical Only,Better Daze LLC,(406) 941-1191,6,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Better Daze LLC,,,,,,,2024-02-05T22:29:03.202367
Belgrade,Adult Use,Juniper Naturals LLC,(406) 600-2553,7,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Juniper Naturals LLC,,,,,,,2024-02-05T22:29:03.202367
Belgrade,Adult Use,Natural Wellness LLC,(406) 539-5354,8,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Natural Wellness LLC,,,,,,,2024-02-05T22:29:03.202367
Belgrade,Adult Use,Nomad Canna Belgrade Store,(406) 788-6173,9,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Nomad Canna Belgrade Store,,,,,,,2024-02-05T22:29:03.202367
Belgrade,Adult Use,Paradise Organics,(406) 220-0661,10,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Paradise Organics,,,,,,,2024-02-05T22:29:03.202367
Belgrade,Adult Use,Pure Remedies,(406) 660-0944,11,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Pure Remedies,,,,,,,2024-02-05T22:29:03.202367
Belgrade,Adult Use,Wildfire Organics,(406) 580-1098,12,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Wildfire Organics,,,,,,,2024-02-05T22:29:03.202367
Belt,Adult Use,Green Mountain Caregivers LLC,(406) 581-3754,13,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Green Mountain Caregivers LLC,,,,,,,2024-02-05T22:29:03.202367
Big Sky,Adult Use,Greener Pastures,(831) 239-9028,14,,MTCCD,Montana Cannabis Control Division,MT,Active,,Commercial - Retailer,,,,,,,,,,Greener Pastures,,,,,,,2024-02-05T22:29:03.202367
