license_number,business_dba_name,id,license_type,LicenseStatus,premise_county,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_legal_name,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,business_phone,business_website,data_refreshed_date
00170400460138702033,Circle S Farms Llc,00170400460138702033,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CIRCLE S FARMS LLC,,,,,,,,,2024-07-10
00604441635504697108,Tgig Llc,00604441635504697108,Retail Distributor,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TGIG LLC,,,,,,,,,2024-07-10
01192029321013008399,Mr H Las Vegas Llc,01192029321013008399,Retail Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MR H LAS VEGAS LLC,,,,,,,,,2024-07-10
01359449685112111637,Cr/P Las Vegas Llc,01359449685112111637,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CR/P LAS VEGAS LLC,,,,,,,,,2024-07-10
01458092845320057986,Silver State Wellness Llc,01458092845320057986,Medical Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER STATE WELLNESS LLC,,,,,,,,,2024-07-10
01497745593520335574,Jdw Nevada Llc,01497745593520335574,Retail Production,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,JDW NEVADA LLC,,,,,,,,,2024-07-10
01653343486142530020,Wellness Connection Of Nevada Llc,01653343486142530020,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WELLNESS CONNECTION OF NEVADA LLC,,,,,,,,,2024-07-10
01696915226901375362,Picksy Reno Llc,01696915226901375362,Retail Dispensary,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,PICKSY RENO LLC,,,,,,,,,2024-07-10
01705109046761827904,Nevcann Llc,01705109046761827904,Medical Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVCANN LLC,,,,,,,,,2024-07-10
01737633649552254158,Greenway Medical Llc,01737633649552254158,Retail Distributor,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENWAY MEDICAL LLC,,,,,,,,,2024-07-10
02301531072727181049,Agua Street Llc,02301531072727181049,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,AGUA STREET LLC,,,,,,,,,2024-07-10
02322843247473154082,Nevada Pure Llc,02322843247473154082,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA PURE LLC,,,,,,,,,2024-07-10
02411041046250902247,Washoe Dispensary Llc,02411041046250902247,Retail Dispensary,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WASHOE DISPENSARY LLC,,,,,,,,,2024-07-10
02442594142801376733,Libra Wellness Center Llc,02442594142801376733,Medical Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIBRA WELLNESS CENTER LLC,,,,,,,,,2024-07-10
02685010272987196695,Clear River Llc,02685010272987196695,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CLEAR RIVER LLC,,,,,,,,,2024-07-10
02959703688458604031,Ncmm Llc,02959703688458604031,Retail Cultivation,Active,Nye,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NCMM LLC,,,,,,,,,2024-07-10
03137125388697415604,Green Therapeutics Llc,03137125388697415604,Retail Distributor,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREEN THERAPEUTICS LLC,,,,,,,,,2024-07-10
03310174034843985324,Floret Nevada Llc,03310174034843985324,Retail Distributor,Non-Operational,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FLORET NEVADA LLC,,,,,,,,,2024-07-10
03595374519108477279,Greenpoint Nevada Inc,03595374519108477279,Retail Production,Non-Operational,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENPOINT NEVADA INC,,,,,,,,,2024-07-10
03736631201004083296,V6E Holdings Inc,03736631201004083296,Medical Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,V6E HOLDINGS INC,,,,,,,,,2024-07-10
04045523128584413069,Mmof Vegas Retail Inc,04045523128584413069,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MMOF VEGAS RETAIL INC,,,,,,,,,2024-07-10
04054268305722414317,Cheyenne Medical Elko Rd267 Llc,04054268305722414317,Retail Dispensary,Active,Elko,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CHEYENNE MEDICAL ELKO RD267 LLC,,,,,,,,,2024-07-10
04624179906329237338,Acres Dispensary Llc,04624179906329237338,Medical Dispensary,Non-Operational,White Pine,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ACRES DISPENSARY LLC,,,,,,,,,2024-07-10
