business_legal_name,license_type,license_designation,premise_city,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,business_website,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_zip_code
Epona Farms LLC,"
SCLT0015
",Adult-Use,"Salisbury, UK",0,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,51.068785,-1.794472,Wiltshire,"Salisbury, UK","Salisbury, UK"
Valley Organics LLC,"
SCLT0004
",Adult-Use,"Jeffersonville, IN, USA",1,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,38.2775702,-85.7371847,Clark County,"Jeffersonville, IN, USA","Jeffersonville, IN, USA"
"Clover Hill Cannabis, LLC","
SCLT0009
",Adult-Use,Strafford,2,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,43.8356198,-72.3662166,Orange County,South Strafford,VT
Duke's Diesel LLP,"
SCLT0013
",Adult-Use,"Essex, UK",3,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,51.57424469999999,0.4856781,Essex,"Essex, UK","Essex, UK"
"VT Green Castle Reserve, LLC (DBA - VT Green Castle)","
SCLT0023
",Adult-Use,,4,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
"Craft Cannabis of Vermont, LLC","
SCLT0038
",Adult-Use,VT 05301,5,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.8509152,-72.5578678,Windham County,Brattleboro,USA
"Justin's Craft Cannabis, LLC","
SCLT0016
",Adult-Use,,6,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
Emerald Rose Farms LLC,"
SCLT0020
",Adult-Use,,7,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
Top 1 Co.,"
SCLT0080
",Adult-Use,"Williston, ND 58801, USA",8,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,48.1469683,-103.6179745,Williams County,"Williston, ND 58801, USA","Williston, ND 58801, USA"
The Dank Closet,"
SCLT0136
",Adult-Use,,9,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
