application_status,license_type,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,ccclastupdated,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
APPROVED,Marijuana Cultivator,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,10/3/2022,COMPLETE,MC282665,"Green Theory Cultivation, LLC",Lee,1238.0,,,845 Pleasant Street,,Lee,MA,1238,POINT (-73.209889 42.396128),POINT (-73.257086 42.278658),41 Pine Ridge Road,,Eastman,GA,31023,83-1813923,MCN282665,Fri May 15 2020 10:46:37 GMT-0400 (Eastern Daylight Time),Tue Mar 03 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri Aug 14 2020 12:19:31 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Minority-Owned Business,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Feb 26 2020 16:20:47 GMT-0500 (Eastern Standard Time),Thu May 21 2020 11:08:33 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 13:57:10 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Sep 18 2024 04:00:00 GMT-0400 (Eastern Daylight Time),400.0,2500.0,1238.0,Lee,Berkshire,42.396128,-73.209889,Western MA,1/29/2024,,MA,42.278658,-73.257086,,"Green Theory Cultivation, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,FINAL LICENSE,,COMPLETE,MC281649,Green Gold Group Inc,North Brookfield,1535.0,,,60 Prospect Street,,North Brookfield,MA,1535,POINT (-71.840209 42.329642),POINT (-72.090727 42.2647389),46 Appleton Street,,Boston,MA,2116,47-4984402,MCN281649,Mon Mar 30 2020 17:09:10 GMT-0400 (Eastern Daylight Time),Tue Sep 18 2018 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,,Not a DBE,Indoor,"Tier 07: 50,001 to 60,000 sq. ft",Thu Jun 17 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Aug 02 2018 07:44:39 GMT-0400 (Eastern Daylight Time),Wed Apr 15 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:14:44 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Aug 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),600.0,30000.0,1535.0,North Brookfield,Worcester,42.329642,-71.840209,Central MA,1/29/2024,,MA,42.264739,-72.090728,,Green Gold Group Inc,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,7/17/2023,COMPLETE,MR284606,"Leaf Joy, LLC",Gill,1354.0,,,1 Main Road,,Gill,MA,1354,POINT (-72.573941 42.587072),POINT (-72.548405 42.6139030),1 Main Road,,Gill,MA,1354,88-1028227,MRN284606,Mon Apr 04 2022 10:14:24 GMT-0400 (Eastern Daylight Time),Fri Apr 01 2022 12:42:07 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Mar 07 2022 11:58:18 GMT-0500 (Eastern Standard Time),Fri May 06 2022 09:54:46 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 12:01:24 GMT-0400 (Eastern Daylight Time),Wed Mar 01 2023 03:00:00 GMT-0500 (Eastern Standard Time),Fri Mar 01 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,1354.0,Gill,Franklin,42.587072,-72.573941,Western MA,1/29/2024,,MA,42.613903,-72.548405,,"Leaf Joy, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Product Manufacturer,Expedited Review - Two or More,Expedited,Two or More,PROVISIONAL LICENSE,,COMPLETE,MP282039,"LMCC, LLC",Taunton,2780.0,,,30 Sherwood Drive,,Taunton,MA,2780,POINT (-71.102131 41.778329),POINT (-71.085898 41.8963079),16 Holden Road,,Belmont,MA,2478,84-1976891,MPN282039,Tue Jan 18 2022 13:27:08 GMT-0500 (Eastern Standard Time),Tue Apr 20 2021 14:14:10 GMT-0400 (Eastern Daylight Time),Thu Feb 02 2023 11:52:52 GMT-0500 (Eastern Standard Time),True,yes,SE304245,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,Mon Feb 22 2021 11:56:32 GMT-0500 (Eastern Standard Time),Fri Jan 21 2022 07:34:41 GMT-0500 (Eastern Standard Time),Thu Apr 07 2022 12:49:25 GMT-0400 (Eastern Daylight Time),Thu Feb 02 2023 03:00:00 GMT-0500 (Eastern Standard Time),Fri Feb 02 2024 03:00:00 GMT-0500 (Eastern Standard Time),,5000.0,2780.0,Taunton,Bristol,41.778329,-71.102131,Southeast and Cape,1/29/2024,,MA,41.896308,-71.085898,SE304245,"LMCC, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,,COMPLETE,MP282203,OGeez Brands MA LLC,Hopedale,1747.0,,,6 Charlesview Road,Suite 1,Hopedale,MA,1747,POINT (-71.840209 42.329642),POINT (-71.502330 42.1045659),55 Linden St,,Douglas,MA,1516,88-2417250,MPN282203,Wed Jul 19 2023 10:39:38 GMT-0400 (Eastern Daylight Time),Thu Nov 17 2022 10:03:03 GMT-0500 (Eastern Standard Time),,True,no,,,,,,,,Not a DBE,,,,Mon May 16 2022 12:48:25 GMT-0400 (Eastern Daylight Time),Fri Aug 04 2023 08:55:35 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 15:37:50 GMT-0400 (Eastern Daylight Time),Tue Oct 31 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 31 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1747.0,Hopedale,Worcester,42.329642,-71.840209,Central MA,1/29/2024,Suite 1,MA,42.104566,-71.50233,,OGeez Brands MA LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MP281717,1Connection Corp,Dighton,2764.0,,,25 Jessicas Way,,Attleboro,MA,2703,POINT (-71.102131 41.778329),POINT (-71.164974 41.8690550),25 Jessicas Way,,Attleboro,MA,2703,82-2600921,MPN281717,Tue Sep 22 2020 13:20:08 GMT-0400 (Eastern Daylight Time),Fri Apr 10 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Mar 04 2021 08:55:15 GMT-0500 (Eastern Standard Time),True,,,,,,,,,Not a DBE,,,,Thu Jun 27 2019 15:30:15 GMT-0400 (Eastern Daylight Time),Fri Jul 17 2020 08:33:37 GMT-0400 (Eastern Daylight Time),Thu Nov 19 2020 16:08:46 GMT-0500 (Eastern Standard Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Apr 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2764.0,North Dighton,Bristol,41.778329,-71.102131,,1/29/2024,,MA,41.869055,-71.164974,,1Connection Corp,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Cultivator,General Applicant,General Applicant,General Applicant,COMMENCE OPS,2/22/2023,COMPLETE,MC283492,"Highmark Provisions, LLC",Holliston,1746.0,,,18 Colella Farm Road,,Hopkinton,MA,1748,POINT (-71.275566 42.459085),POINT (-71.445428 42.175756),18 Colella Farm Road,,Hopkinton,MA,1748,85-2733723,MCN283492,Tue Aug 31 2021 13:49:53 GMT-0400 (Eastern Daylight Time),Wed Aug 04 2021 10:46:49 GMT-0400 (Eastern Daylight Time),Thu Oct 14 2021 17:41:54 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Apr 25 2021 15:07:16 GMT-0400 (Eastern Daylight Time),Fri Sep 03 2021 09:37:24 GMT-0400 (Eastern Daylight Time),Thu Oct 14 2021 13:10:13 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Oct 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),400.0,2500.0,1746.0,Holliston,Middlesex,42.459085,-71.275566,Central MA,1/29/2024,,MA,42.175756,-71.445428,,"Highmark Provisions, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,,COMPLETE,PDO103583,BEWCO LLC,,,,,90 Conz St. #219,,Northampton,MA,1060,,,90 Conz St. #219,,Northampton,MA,1060,88-2100554,PDOA103583,Wed Jun 15 2022 16:42:14 GMT-0400 (Eastern Daylight Time),Wed May 18 2022 10:48:47 GMT-0400 (Eastern Daylight Time),,True,,SE305382,,,,,,,Woman-Owned Business,,,,Fri Jan 07 2022 11:19:57 GMT-0500 (Eastern Standard Time),Mon Jun 27 2022 09:35:25 GMT-0400 (Eastern Daylight Time),Mon Jun 27 2022 09:35:36 GMT-0400 (Eastern Daylight Time),Mon Jun 27 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 27 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,1/29/2024,,MA,,,SE305382,BEWCO LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Courier,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,,COMPLETE,DO100170,Pure Oasis LLC,Boston,2121.0,,,430 Blue Hill Ave,,Boston,MA,2121,POINT (-71.073493 42.334948),,398 Columbus Ave,Suite 148,Boston,MA,2116,82-5029450,DOA100170,Wed Nov 23 2022 10:07:15 GMT-0500 (Eastern Standard Time),Thu Jul 21 2022 13:31:51 GMT-0400 (Eastern Daylight Time),,True,,EE201868,APPROVED,EE201868,,,,,Not a DBE,,,,Thu May 26 2022 15:43:52 GMT-0400 (Eastern Daylight Time),Fri Dec 02 2022 12:39:34 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 13:36:12 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Fri Jan 12 2024 03:00:00 GMT-0500 (Eastern Standard Time),,,2121.0,Boston,Suffolk,42.334948,-71.073493,Metro Boston,1/29/2024,,MA,,,,Pure Oasis LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Delivery Operator Pre-Certification,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,,COMPLETE,PMD5860,Relevant Energy Concepts LLC,,,,,1833 Roosevelt Avenue,,Springfield,MA,1109,,,1833 Roosevelt Avenue,,Springfield,MA,1109,85-2318289,PMDA5860,Mon Jun 14 2021 12:13:04 GMT-0400 (Eastern Daylight Time),Fri Jun 11 2021 15:41:02 GMT-0400 (Eastern Daylight Time),,True,,EE202251,APPROVED,EE202251,,,,,Not a DBE,,,,Fri Jun 04 2021 13:54:18 GMT-0400 (Eastern Daylight Time),Tue Jun 29 2021 14:05:43 GMT-0400 (Eastern Daylight Time),Tue Jun 29 2021 14:05:54 GMT-0400 (Eastern Daylight Time),Tue Jun 29 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 29 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,1/29/2024,,MA,,,,Relevant Energy Concepts LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
