license_type,application_classification,approved_license_type,approved_license_stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,application_created_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,lic_expiration_date,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,zip,town,county,county_lat,county_long,region,cccupdatedate,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,issue_date,expiration_date,business_image_url,business_website,business_phone
Marijuana Retailer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR281430,"The Green Harbor Dispensary, LLC",Provincetown,MA,02657,42.052094,-70.194697,29 Abbey Lane,,Middleborough,MA,02346,POINT (-70.301811 41.698999),POINT (-70.194697 42.0520939),29 Abbey Lane,,Middleborough,MA,02346,82-5108074,MRN281430,Wed Jul 01 2020 14:26:06 GMT-0400 (Eastern Daylight Time),Wed Jan 29 2020 00:00:00 GMT-0500 (Eastern Standard Time),Wed Sep 16 2020 12:41:11 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201920,RP201920,Minority-Owned Business,,,,Wed May 16 2018 10:53:55 GMT-0400 (Eastern Daylight Time),Tue Jul 07 2020 12:45:18 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:54:14 GMT-0400 (Eastern Daylight Time),Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Nov 10 2023 03:00:00 GMT-0500 (Eastern Standard Time),79 Shank Painter Rd,N/A,Barnstable County,1500,10000,02657,Provincetown,Barnstable,41.698999,-70.301811,Southeast and Cape,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,5/24/2021,COMPLETE,MR282925,Volcann LLC,Southampton,MA,01073,42.251548,-72.697697,15 College Highway,Unit G2,Southampton,MA,01073,POINT (-72.62073 42.322256),POINT (-72.697697 42.251548),5 Nicholas Lane,,Southampton,MA,01073,84-2171651,MRN282925,Mon Mar 23 2020 10:10:43 GMT-0400 (Eastern Daylight Time),Thu Feb 06 2020 00:00:00 GMT-0500 (Eastern Standard Time),,False,,,,,,,,,Not a DBE,,,Fri Apr 16 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Aug 12 2019 08:49:28 GMT-0400 (Eastern Daylight Time),Fri Mar 27 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 16:05:29 GMT-0400 (Eastern Daylight Time),Thu Nov 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Mon Nov 20 2023 03:00:00 GMT-0500 (Eastern Standard Time),15 College Hwy,Unit G2,Hampshire County,300,10000,01073,Southampton,Hampshire,42.322256,-72.62073,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR284022,Pioneer Valley Trading Company LLC,Westfield,MA,01085,42.175493,-72.732806,104 Feeding Hills Road,,Southwick,MA,01077,POINT (-72.571312 42.12756),POINT (-72.732805 42.1754930),104 Feeding Hills Road,,Southwick,MA,01077,84-5131336,MRN284022,Tue Feb 08 2022 17:29:46 GMT-0500 (Eastern Standard Time),Fri Jan 07 2022 09:56:32 GMT-0500 (Eastern Standard Time),,False,no,,,,,,,,Veteran-Owned Business,,,,Mon Jan 11 2021 11:56:53 GMT-0500 (Eastern Standard Time),Wed Feb 09 2022 10:59:58 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:08:44 GMT-0400 (Eastern Daylight Time),Wed Jun 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Jun 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),99 Medeiros Way,N/A,Hampden County,1500,10000,01085,Westfield,Hampden,42.12756,-72.571312,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR282126,"Turning Leaf Centers Otis, LLC",Otis,MA,02153,42.232826,-73.109745,1570 north main road,,Otis,MA,02153,POINT (-71.275566 42.459085),POINT (-73.109745 42.2328260),PO Box 1328,,East Otis,MA,01029,83-4630336,MRN282126,Sun May 31 2020 20:30:26 GMT-0400 (Eastern Daylight Time),Tue Feb 18 2020 00:00:00 GMT-0500 (Eastern Standard Time),,False,,,,,,,,,Not a DBE,,,,Tue Dec 04 2018 18:06:37 GMT-0500 (Eastern Standard Time),Fri Jun 12 2020 07:46:33 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:47:57 GMT-0400 (Eastern Daylight Time),Thu Aug 12 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Sep 18 2022 04:00:00 GMT-0400 (Eastern Daylight Time),1570 N Main Rd,N/A,Berkshire County,300,10000,02153,Medford,Middlesex,42.459085,-71.275566,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - DBE Status,COMMENCE OPS,COMMENCE OPS,10/28/2022,COMPLETE,MR283351,"Full Harvest Moonz, Inc.",Lowell,MA,01851,42.627977,-71.357424,95-101 Plaistow Road,,Haverhill,MA,01830,POINT (-71.275566 42.459085),POINT (-71.357423 42.6279770),22 Veronica Lane,,Weymouth,MA,02189,83-2454860,MRN283351,Tue Jun 30 2020 16:10:56 GMT-0400 (Eastern Daylight Time),Mon Jul 13 2020 12:01:29 GMT-0400 (Eastern Daylight Time),,False,,,,,,,,,Woman-Owned Business,,,Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Mar 11 2020 11:09:19 GMT-0400 (Eastern Daylight Time),Fri Jul 17 2020 07:57:59 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:08:32 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Nov 18 2023 03:00:00 GMT-0500 (Eastern Standard Time),1201 Westford St,N/A,Middlesex County,1500,10000,01851,Lowell,Middlesex,42.459085,-71.275566,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR283558,"Lifted Luxury, Inc",Millville,MA,01529,42.024445,-71.581482,615 Adams Street,,Dorchester,MA,02122,POINT (-71.840209 42.329642),POINT (-71.581481 42.024445),100 HARTFORD AVE #3305-09,,PROVIDENCE,RI,02909,85-2650668,MRN283558,Fri Nov 13 2020 12:42:39 GMT-0500 (Eastern Standard Time),Thu Oct 29 2020 11:39:42 GMT-0400 (Eastern Daylight Time),,False,,,,,,,,,Woman-Owned Business,,,,Tue May 26 2020 10:50:54 GMT-0400 (Eastern Daylight Time),Fri Nov 20 2020 09:46:55 GMT-0500 (Eastern Standard Time),Thu Jan 14 2021 15:35:40 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Mar 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),10 Prospect St,N/A,Worcester County,1500,10000,01529,Millville,Worcester,42.329642,-71.840209,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,9/8/2022,COMPLETE,MR284511,"The Heirloom Collective, Inc.",Bernardston,MA,01337,42.669471,-72.537543,38 Arbor Way,,North Easton,MA,02356,POINT (-72.573941 42.587072),POINT (-72.537542 42.6694710),38 Arbor Way,,North Easton,MA,02356,47-5460213,MRN284511,Tue Mar 01 2022 22:08:51 GMT-0500 (Eastern Standard Time),Tue Feb 15 2022 12:19:24 GMT-0500 (Eastern Standard Time),Mon May 16 2022 18:51:16 GMT-0400 (Eastern Daylight Time),True,no,,,,,APPROVED,RP201869,,Not a DBE,,,Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:05:17 GMT-0500 (Eastern Standard Time),Fri Mar 11 2022 10:25:19 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:10:17 GMT-0400 (Eastern Daylight Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu May 16 2024 04:00:00 GMT-0400 (Eastern Daylight Time),87 Northfield Rd,N/A,Franklin County,1500,10000,01337,Bernardston,Franklin,42.587072,-72.573941,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,9/20/2019,COMPLETE,MR281248,"Late Spring, Inc. D/B/A Gage Cannabis Company",Ayer,MA,01432,42.551853,-71.56591,38 Littleton Rd,,Ayer,MA,01432,POINT (-71.275566 42.459085),POINT (-71.565910 42.5518530),38 Littleton Rd,,Ayer,MA,01432,82-5274353,MRN281248,Tue Aug 07 2018 10:31:32 GMT-0400 (Eastern Daylight Time),Tue Jul 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Oct 10 2018 13:21:00 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201835,RP201835,Not a DBE,,,Thu Jun 13 2019 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 17 2018 12:37:57 GMT-0400 (Eastern Daylight Time),Fri Aug 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 20 2018 15:50:19 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),38 Littleton Rd,N/A,Middlesex County,300,5000,01432,Ayer,Middlesex,42.459085,-71.275566,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR283968,High Hawk Farm LLC,Rutland,MA,01543,42.377958,-71.936422,140 Worcester Road,,Barre,MA,01005,POINT (-71.840209 42.329642),POINT (-71.936421 42.377958),140 Worcester Road,,Barre,MA,01005,84-3294551,MRN283968,Mon Aug 30 2021 19:01:11 GMT-0400 (Eastern Daylight Time),Thu May 06 2021 10:27:47 GMT-0400 (Eastern Daylight Time),Fri Dec 03 2021 15:20:20 GMT-0500 (Eastern Standard Time),False,no,,,,,,,,Not a DBE,,,,Mon Dec 14 2020 14:27:03 GMT-0500 (Eastern Standard Time),Fri Sep 03 2021 09:56:25 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:42:37 GMT-0500 (Eastern Standard Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sat Dec 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),80 Main St,N/A,Worcester County,1500,10000,01543,Rutland,Worcester,42.329642,-71.840209,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR283656,Ocean Breeze Cultivators LLC,Gloucester,MA,01930,42.617007,-70.668099,9 Whistle Stop Way,,Gloucester,MA,01930,POINT (-70.970827 42.635475),POINT (-70.668098 42.6170070),34 Winthrop Ave.,,Gloucester,MA,01930,83-3036787,MRN283656,Tue Apr 06 2021 18:31:15 GMT-0400 (Eastern Daylight Time),Fri Dec 04 2020 13:08:16 GMT-0500 (Eastern Standard Time),,False,no,,,,,,,,Not a DBE,,,,Fri Jul 10 2020 10:43:48 GMT-0400 (Eastern Daylight Time),Fri Apr 30 2021 08:55:58 GMT-0400 (Eastern Daylight Time),Thu Jul 15 2021 16:39:19 GMT-0400 (Eastern Daylight Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Apr 25 2024 04:00:00 GMT-0400 (Eastern Daylight Time),9 Whistle Stop Way,N/A,Essex County,1500,10000,01930,Gloucester,Essex,42.635475,-70.970827,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
