application_status,license_type,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,approved_license_stages,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_state,establishment_zipcode,premise_latitude,premise_longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,cccupdatedate,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,business_image_url,business_website,business_phone
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,7/1/2019,COMPLETE,MR281371,"Mass Alternative Care, Inc.",Chicopee,MA,1020.0,42.158155,-72.542677,1247 East Main Street,,Chicopee,MA,1020.0,POINT (-72.571312 42.12756),POINT (-72.542676 42.1581550),1247 East Main Street,,Chicopee,MA,1020.0,46-2915012,MRN281371,Wed Nov 07 2018 17:16:44 GMT-0500 (Eastern Standard Time),Tue Nov 06 2018 00:00:00 GMT-0500 (Eastern Standard Time),Tue Jan 29 2019 11:07:12 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201836,RPA201836,Not a DBE,,,Thu Apr 04 2019 04:00:00 GMT-0400 (Eastern Daylight Time),Wed May 02 2018 13:09:57 GMT-0400 (Eastern Daylight Time),Fri Nov 23 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Jan 10 2019 13:52:13 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jan 29 2024 03:00:00 GMT-0500 (Eastern Standard Time),1247 E Main St,,Hampden County,300.0,5000.0,1020.0,Chicopee,Hampden,42.12756,-72.571312,Western MA,9/5/2023,"Mass Alternative Care, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR282799,Royal Hemp LLC,Lanesborough,MA,1224.0,42.492862,-73.201996,660 CHESHIRE ROAD,,LANESBOROUGH,MA,1224.0,POINT (-73.209889 42.396128),POINT (-73.201995 42.4928620),660 CHESHIRE ROAD,,LANESBOROUGH,MA,1224.0,83-4641649,MRN282799,Tue Mar 24 2020 14:48:51 GMT-0400 (Eastern Daylight Time),Mon Feb 10 2020 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,,,,Not a DBE,,,,Thu Jun 20 2019 13:42:35 GMT-0400 (Eastern Daylight Time),Tue Apr 07 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 20 2020 14:34:06 GMT-0400 (Eastern Daylight Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Dec 08 2023 03:00:00 GMT-0500 (Eastern Standard Time),660 Cheshire Rd,,Berkshire County,300.0,10000.0,1224.0,Berkshire,Berkshire,42.396128,-73.209889,,9/5/2023,Royal Hemp LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,COMMENCE OPS,12/8/2021,COMPLETE,MR282881,Frozen 4 Corporatioon,Marshfield,MA,2050.0,42.10628,-70.758619,618 Columbia Road,,Dorchester,MA,2125.0,POINT (-70.818958 41.978877),POINT (-70.758618 42.1062799),8 Bayridge Lane,,Duxbury,MA,2332.0,83-2341577,MRN282881,Thu Mar 12 2020 15:10:52 GMT-0400 (Eastern Daylight Time),Fri Feb 07 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri Jun 05 2020 14:06:54 GMT-0400 (Eastern Daylight Time),True,,,,,EEA201955,,,,Not a DBE,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jul 22 2019 14:25:27 GMT-0400 (Eastern Daylight Time),Thu Mar 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:13:00 GMT-0400 (Eastern Daylight Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),985 Plain St,,Plymouth County,300.0,5000.0,2050.0,Marshfield,Plymouth,41.978877,-70.818958,Southeast and Cape,9/5/2023,Frozen 4 Corporatioon,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR283074,"Silver Therapeutics, Inc.",Boston,MA,2121.0,42.28318,-71.114194,82 Wendell Ave,Suite 100,Pittsfield,MA,1201.0,POINT (-71.073493 42.334948),POINT (-71.114193 42.2831800),89 Court Street,,Saratoga Springs,NY,12866.0,82-1894711,MRN283074,Tue May 05 2020 12:08:33 GMT-0400 (Eastern Daylight Time),Fri Mar 06 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri Oct 09 2020 12:42:06 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201854,RPA201854,Not a DBE,,,,Wed Oct 23 2019 13:01:12 GMT-0400 (Eastern Daylight Time),Tue Jul 07 2020 09:48:41 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:46:31 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Oct 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),721 American Legion Hwy,,Suffolk County,1500.0,10000.0,2121.0,Boston,Suffolk,42.334948,-71.073493,Metro Boston,9/5/2023,"Silver Therapeutics, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,3/1/2021,COMPLETE,MR283231,Caregiver-Patient Connection LLC/d.b.a. Local Roots,Sturbridge,MA,1566.0,42.111219,-72.088797,365 Main St,,Sturbridge,MA,1566.0,POINT (-71.840209 42.329642),POINT (-72.088797 42.1112189),"910 Boston Post Rd., Ste. #310",,Marlborough,MA,1752.0,83-3954417,MRN283231,Tue Jul 21 2020 13:30:03 GMT-0400 (Eastern Daylight Time),Tue May 26 2020 10:41:44 GMT-0400 (Eastern Daylight Time),,True,,,,,,APPROVED,RP201819,,Not a DBE,,,Thu Feb 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jan 13 2020 12:49:49 GMT-0500 (Eastern Standard Time),Fri Jul 24 2020 08:56:50 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 12:50:33 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 19 2023 04:00:00 GMT-0400 (Eastern Daylight Time),365 Main St,,Worcester County,1500.0,10000.0,1566.0,Sturbridge,Worcester,42.329642,-71.840209,Central MA,9/5/2023,Caregiver-Patient Connection LLC/d.b.a. Local Roots,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR281971,"Wellness Connection of MA, Inc",Revere,MA,2151.0,42.403165,-71.00738,44 Railroad Street,,Revere,MA,2151.0,POINT (-71.073493 42.334948),POINT (-71.007379 42.4031650),44 Railroad Street,,Revere,MA,2151.0,47-4380834,MRN281971,Mon Oct 26 2020 22:28:56 GMT-0400 (Eastern Daylight Time),Wed Oct 21 2020 14:10:03 GMT-0400 (Eastern Daylight Time),Wed Jan 20 2021 12:18:43 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201942,RP201942,Not a DBE,,,,Mon Oct 15 2018 17:43:48 GMT-0400 (Eastern Daylight Time),Thu Oct 29 2020 11:45:05 GMT-0400 (Eastern Daylight Time),Thu Jan 14 2021 15:51:16 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Feb 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),44 Railroad St,,Suffolk County,1500.0,10000.0,2151.0,Revere,Suffolk,42.334948,-71.073493,Metro Boston,9/5/2023,"Wellness Connection of MA, Inc",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,3/31/2022,COMPLETE,MR283720,"Apical, Inc.",Northampton,MA,1060.0,42.324779,-72.633415,431 Westminster Street,,Westminster,MA,1420.0,POINT (-72.62073 42.322256),POINT (-72.633414 42.3247789),2611 Woodruff Road,Suite A,Spokane Valley,WA,99206.0,82-5135092,MRN283720,Tue Aug 31 2021 12:51:08 GMT-0400 (Eastern Daylight Time),Wed Nov 18 2020 14:16:59 GMT-0500 (Eastern Standard Time),Thu Dec 09 2021 16:34:19 GMT-0500 (Eastern Standard Time),True,no,,,,,APPROVED,RP201884,RP201884,Not a DBE,,,Thu Mar 10 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sun Aug 02 2020 15:10:11 GMT-0400 (Eastern Daylight Time),Fri Sep 03 2021 10:06:10 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:33:24 GMT-0500 (Eastern Standard Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sat Dec 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),144 King St,,Hampshire County,1500.0,10000.0,1060.0,Northampton,Hampshire,42.322256,-72.62073,Western MA,9/5/2023,"Apical, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,11/21/2022,COMPLETE,MR282634,"Misty Mountain Shop, LLC",Malden,MA,2148.0,42.416204,-71.076266,161 Boston Road,,Chelmsford,MA,1824.0,POINT (-71.275566 42.459085),POINT (-71.076266 42.416204),161 Boston Rd,,Chelmsford,MA,1824.0,83-4544652,MRN282634,Wed May 12 2021 19:03:59 GMT-0400 (Eastern Daylight Time),Thu Apr 22 2021 11:03:11 GMT-0400 (Eastern Daylight Time),Sun Sep 26 2021 16:30:11 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Not a DBE,,,Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 23 2019 21:51:38 GMT-0400 (Eastern Daylight Time),Mon Jul 26 2021 09:25:48 GMT-0400 (Eastern Daylight Time),Fri Sep 17 2021 12:31:08 GMT-0400 (Eastern Daylight Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Sep 26 2023 04:00:00 GMT-0400 (Eastern Daylight Time),323 Commercial St,,Middlesex County,1500.0,10000.0,2148.0,Malden,Middlesex,42.459085,-71.275566,Northeast,9/5/2023,"Misty Mountain Shop, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,COMMENCE OPS,11/30/2021,COMPLETE,MR283143,Uma Flowers LLC,Pepperell,MA,1463.0,42.666424,-71.572797,109 Raffaele Drive,,Waltham,MA,2452.0,POINT (-71.275566 42.459085),POINT (-71.572796 42.6664239),109 Raffaele Drive,,Waltham,MA,2452.0,84-3613796,MRN283143,Mon May 11 2020 10:56:16 GMT-0400 (Eastern Daylight Time),Thu Mar 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,,Woman-Owned Business | Minority-Owned Business,,,Thu Oct 14 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Nov 23 2019 14:58:34 GMT-0500 (Eastern Standard Time),Thu May 21 2020 14:42:02 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:56:16 GMT-0400 (Eastern Daylight Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 21 2024 03:00:00 GMT-0500 (Eastern Standard Time),2 Tarbell St,,Middlesex County,1500.0,10000.0,1463.0,Pepperell,Middlesex,42.459085,-71.275566,Central MA,9/5/2023,Uma Flowers LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,3/11/2021,COMPLETE,MR283040,"Turning Leaf Centers Northampton, LLC",Northampton,MA,1060.0,42.33138,-72.633972,261 King Street,,Northampton,MA,1060.0,POINT (-72.62073 42.322256),POINT (-72.633972 42.3313800),PO Box 1328,,East Otis,MA,1029.0,00-1403270,MRN283040,Tue Jun 30 2020 13:02:34 GMT-0400 (Eastern Daylight Time),Wed Mar 04 2020 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,,,,Not a DBE,,,Thu Feb 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Wed Oct 09 2019 14:56:14 GMT-0400 (Eastern Daylight Time),Tue Jul 07 2020 11:24:20 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:56:33 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 18 2023 04:00:00 GMT-0400 (Eastern Daylight Time),261 King St,,Hampshire County,1500.0,10000.0,1060.0,Northampton,Hampshire,42.322256,-72.62073,Western MA,9/5/2023,"Turning Leaf Centers Northampton, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,,,
