business_website,business_email,business_legal_name,business_phone,id,license_status,business_dba_name,license_number,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_image_url,license_type,premise_latitude,premise_longitude,premise_county,premise_city,premise_street_address,data_refreshed_date
http://www.col-care.com/,chevychasemd@col-care.com,Columbia,301-637-0870,0,,Columbia,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.9816384,-77.09199219999999,Montgomery County,Chevy Chase,4609 Willow Ln,2023-04-30T18:25:51.694223
http://www.greenlabsmd.com/,info@greenlabsmd.com,GreenLabs,410-624-5520,1,,GreenLabs,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.2856532,-76.5959775,,Baltimore,1522 Eastern Ave,2023-04-30T18:25:51.694223
https://www.gleaf.com/,patients@gleaf.com,Gleaf,800-208-9333,2,,Gleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.36216719999999,-77.4242524,Frederick County,Frederick,4606 Wedgewood Blvd,2023-04-30T18:25:51.694223
https://www.gleaf.com/,patients@gleaf.com,Gleaf,800-208-9333,3,,Gleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.0948128,-77.15386389999999,Montgomery County,Rockville,808 Hungerford Dr,2023-04-30T18:25:51.694223
https://www.zenleafdispensaries.com,maria.pinsky@zenleafdispensaries.com,Zenleafdispensaries,410-842-9333,4,,Zenleafdispensaries,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3993819,-76.6009361,Baltimore County,Towson,101 E Chesapeake Ave # 102,2023-04-30T18:25:51.694223
https://www.kipcan.com/,info@kipcan.com,Kipcan,410-403-0280,5,,Kipcan,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.4631937,-76.6349607,Baltimore County,Cockeysville,9 Cranbrook Rd,2023-04-30T18:25:51.694223
http://www.missioncan.com/,support@missioncan.com,Mission,833-768-4357,6,,Mission,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,,,,,nan,2023-04-30T18:25:51.694223
https://www.peninsulamd.com/,contact@peninsulamd.com,Peninsulamd,443-622-3661,7,,Peninsulamd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.3601943,-75.59015289999999,Wicomico County,Salisbury,400 Snow Hill Rd,2023-04-30T18:25:51.694223
https://www.positiveenergyoc.com/,info@positiveenergyoc.com,Positiveenergyoc,410-877-2017,8,,Positiveenergyoc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.3376729,-75.13475439999999,Worcester County,Ocean City,9939 Jerry Mack Rd STE 500,2023-04-30T18:25:51.694223
https://www.remedycolumbia.com/,hello@remedycolumbia.com,Remedycolumbia,443-542-0948,9,,Remedycolumbia,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.1909386,-76.8181249,Howard County,Columbia,8865 Stanford Blvd #131,2023-04-30T18:25:51.694223
https://www.revolutionreleaf.com/,info@revolutionreleaf.com,Revolutionreleaf,240-280-8446,10,,Revolutionreleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.1112859,-76.8367336,Howard County,Laurel,9994 Washington Blvd N,2023-04-30T18:25:51.694223
https://www.starbuds.us/,baltimore@starbuds.us,Starbuds,443-438-7494,11,,Starbuds,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3471562,-76.5389108,,Baltimore,5975 Belair Rd,2023-04-30T18:25:51.694223
https://www.storehousemd.com/,info@storehousemd.com,Storehousemd,443-438-4160,12,,Storehousemd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3663493,-76.6479944,,Baltimore,5730 Falls Rd,2023-04-30T18:25:51.694223
https://www.b1md.com/,info@b1md.com,B1Md,301-774-0840,13,,B1Md,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.1524378,-77.0678466,Montgomery County,Olney,18070 Georgia Ave,2023-04-30T18:25:51.694223
https://www.salveramd.com/,rightrussw11@icloud.com,Salveramd,240-260-3305,14,,Salveramd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.947771,-76.7362674,Prince George's County,Bowie,4201 Northview Dr #100,2023-04-30T18:25:51.694223
https://www.greenhousewellness.com/,hello@greenhousewellnes.com,Greenhousewellness,833-325-2229,15,,Greenhousewellness,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.24259550000001,-76.83686130000001,Howard County,Ellicott City,4801 Dorsey Hall Dr #110,2023-04-30T18:25:51.694223
https://www.purelifebaltimore.com/,info@purelifebaltimore.com,Purelifebaltimore,443-708-5683,16,,Purelifebaltimore,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.276562,-76.6130483,,Baltimore,35 E Cross St,2023-04-30T18:25:51.694223
https://www.peakreleaf.com/,info@peakreleaf.com,Peakreleaf,301-703-2400,17,,Peakreleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.0584596,-77.1194374,Montgomery County,Rockville,2001 Chapman Ave,2023-04-30T18:25:51.694223
https://www.blairwellness.com/,melissa@blairwellness.com,Blairwellness,410-323-0100,18,,Blairwellness,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3608692,-76.61063209999999,,Baltimore,5806 York Rd,2023-04-30T18:25:51.694223
https://www.blueridgewellnessmd.com/,management%20@blueridgewellnessmd.com,Blueridgewellnessmd,301-640-5265,19,,Blueridgewellnessmd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3927164,-76.52607379999999,Baltimore County,Parkville,9413 Harford Rd,2023-04-30T18:25:51.694223
https://www.somdrelief.com/,brittani@somdrelief.com,Somdrelief,301-242-3200,20,,Somdrelief,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.4396069,-76.73505,St. Mary's County,Mechanicsville,28105 Three Notch Rd,2023-04-30T18:25:51.694223
https://www.herbafi.com/,info@herbafi.com,Herbafi,,21,,Herbafi,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.9942478,-77.0289871,Montgomery County,Silver Spring,8413 Ramsey Ave,2023-04-30T18:25:51.694223
https://www.kannavis.org/,info@kannavis.org,Kannavis,301-810-2962,22,,Kannavis,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3217086,-77.3599662,Frederick County,Frederick,8709 Fingerboard Rd,2023-04-30T18:25:51.694223
https://www.ncwmedical.com/,dbridges@ncwmedical.com,Ncwmedical,443-252-1383,23,,Ncwmedical,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.5777848,-76.0504776,Cecil County,Perryville,4925 Pulaski Hwy a,2023-04-30T18:25:51.694223
https://www.zenitywellness.com/,info@zenitywellness.com,Zenitywellness,301-304-4100,24,,Zenitywellness,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.1561363,-77.2109199,Montgomery County,Gaithersburg,811 Russell Ave c,2023-04-30T18:25:51.694223
https://www.grassrootscannabis.com/,gaithersburgherbology@gmail.com,Grassrootscannabis,,25,,Grassrootscannabis,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.142742,-77.2007013,Montgomery County,Gaithersburg,106 N Frederick Ave,2023-04-30T18:25:51.694223
https://herbologydispensary.com/,westminster@herbologydispensary.com,Herbologydispensary,443-952-4127,26,,Herbologydispensary,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.5937602,-76.9978448,Carroll County,Westminster,700 Corporate Center Ct # K,2023-04-30T18:25:51.694223
https://www.curaleaf.com/,Info.takoma@curaleaf.com,Curaleaf,301-679-6240,27,,Curaleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.9659739,-77.0015925,Prince George's County,Takoma Park,6309 New Hampshire Ave,2023-04-30T18:25:51.694223
https://www.libertycannabis.com/,hello@libertycannabis.com,Libertycannabis,301-603-2747,28,,Libertycannabis,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.051414,-77.108876,Montgomery County,Rockville,12001 Nebel St,2023-04-30T18:25:51.694223
https://www.mpsbaltimore.com/,info@mpsbaltimore.com,Mpsbaltimore,443-873-6974,29,,Mpsbaltimore,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3276591,-76.6275129,,Baltimore,3317 Keswick Rd,2023-04-30T18:25:51.694223
https://www.euphoriawellnessmd.com/,info@euphoriawellnessmd.com,Euphoriawellnessmd,301-882-7910,30,,Euphoriawellnessmd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.383747,-77.2582442,Frederick County,New Market,11717 Old National Pike,2023-04-30T18:25:51.694223
https://www.trilogy.health.com/,info@trilogyh.health.com,Trilogy,443-539-7372,31,,Trilogy,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.2769755,-76.8317776,Howard County,Ellicott City,9291 Baltimore National Pike,2023-04-30T18:25:51.694223
https://culta.io/,,Culta,844-507-9333,32,,Culta,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.2804566,-76.6102392,,Baltimore,215 Key Hwy,2023-04-30T18:25:51.694223
https://chesacanna.com/,%20info@chesacanna.com,Chesacanna,410-650-6555,33,,Chesacanna,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.4769624,-76.64222319999999,Baltimore County,Cockeysville,10534 York Rd #101,2023-04-30T18:25:51.694223
https://greenwavemd.com/,%20info@greenwavemd.com,Greenwavemd,410-394-3936,34,,Greenwavemd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.345461,-76.462795,Calvert County,Solomons,Creston Ln,2023-04-30T18:25:51.694223
https://www.growwestmd.com/,,Growwestmd,833-942-9900,35,,Growwestmd,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.6304838,-78.7488262,Allegany County,Cumberland,1096 W Industrial Blvd,2023-04-30T18:25:51.694223
http://www.findinghaven.com/,kim@findinghaven.com,Haven,240-650-0420,36,,Haven,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.6714632,-76.87797379999999,Prince George's County,Brandywine,7501 Clymer Dr,2023-04-30T18:25:51.694223
https://potomacholistics.com/,%20info@potomacholistics.com,Potomacholistics,240-654-5276,37,,Potomacholistics,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.0998153,-77.21100969999999,Montgomery County,Rockville,14808 Physicians Ln #212,2023-04-30T18:25:51.694223
https://www.amedicanna.com/,,Amedicanna,,38,,Amedicanna,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.2505488,-76.6683042,Baltimore County,Halethorpe,3531 Washington Blvd #112,2023-04-30T18:25:51.694223
https://www.harvesthoc.com/,,Harvesthoc,,39,,Harvesthoc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.0542102,-77.1197521,Montgomery County,MD 20852,Rockville,2023-04-30T18:25:51.694223
https://shopatbloom.com/,,Shopatbloom,,40,,Shopatbloom,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.1758064,-77.2463594,Montgomery County,Germantown,Middlebrook Road,2023-04-30T18:25:51.694223
https://ethoscannabis.com/,,Ethoscannabis,,41,,Ethoscannabis,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.2903848,-76.6121893,,MD,Baltimore,2023-04-30T18:25:51.694223
https://ethoscannabis.com/,,Ethoscannabis,,42,,Ethoscannabis,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.1099054,-77.0770873,Montgomery County,Rockville,4007 Norbeck Rd a,2023-04-30T18:25:51.694223
,,Mana Middle River,,43,,Mana Middle River,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.33760590000001,-76.4002847,Baltimore County,Middle River,100 Carroll Island Rd,2023-04-30T18:25:51.694223
,,Curaleaf,,44,,Curaleaf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.4446552,-76.8119514,Baltimore County,Reisterstown,11722 Reisterstown Rd,2023-04-30T18:25:51.694223
,,Curio Wellness,,45,,Curio Wellness,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.4388624,-76.6259731,Baltimore County,Timonium,2060 York Rd a,2023-04-30T18:25:51.694223
,,Your Farmacy,,46,,Your Farmacy,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.4220812,-76.6177593,Baltimore County,Timonium,1526 York Rd,2023-04-30T18:25:51.694223
,,Health for Life Baltimore,,47,,Health for Life Baltimore,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.2972014,-76.5288707,Baltimore County,Baltimore,6807 Rolling Mill Rd,2023-04-30T18:25:51.694223
,,Health for Life White Marsh,,48,,Health for Life White Marsh,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3623674,-76.4916192,Baltimore County,Nottingham,4741 Ridge Rd,2023-04-30T18:25:51.694223
,,Remedy Baltimore,443-348-3297,49,,Remedy Baltimore,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3125711,-76.75757469999999,Baltimore County,Windsor Mill,7165 Security Blvd Suite C,2023-04-30T18:25:51.694223
,,Temescal Wellness of MD LLC,,50,,Temescal Wellness of MD LLC,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3795173,-76.72873469999999,Baltimore County,Pikesville,1636 Reisterstown Rd,2023-04-30T18:25:51.694223
,,"ReLeaf Shop1114 Cathedral St., Suite 5Baltimore, MD  21201",,51,,"ReLeaf Shop1114 Cathedral St., Suite 5Baltimore, MD  21201",,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.3020338,-76.6184803,,Baltimore,1114 Cathedral St #5,2023-04-30T18:25:51.694223
,,PharmKent,,52,,PharmKent,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.5977107,-75.81739639999999,Cecil County,Elkton,330 E Pulaski Hwy b,2023-04-30T18:25:51.694223
,,Chesapeake Apothecary,,53,,Chesapeake Apothecary,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.5811912,-76.95611439999999,Charles County,4781 Crain Hwy a,4781-B,2023-04-30T18:25:51.694223
,,Dispensary Works,,54,,Dispensary Works,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.5872229,-76.9378387,Charles County,White Plains,10766 Demarr Rd #3a,2023-04-30T18:25:51.694223
,,Zen Leaf Waldorf,,55,,Zen Leaf Waldorf,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.6460105,-76.88412149999999,Charles County,Waldorf,2290 Old Washington Rd,2023-04-30T18:25:51.694223
,,Sunburst Pharm,,56,,Sunburst Pharm,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.5638411,-76.0641654,Dorchester County,Cambridge,603 Meteor Ave,2023-04-30T18:25:51.694223
,,Mana Supply Company,,57,,Mana Supply Company,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,38.9445412,-76.5597214,Anne Arundel County,Edgewater,3005 Solomons Island Rd,2023-04-30T18:25:51.694223
,,Wellness Institute of Maryland,,58,,Wellness Institute of Maryland,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.36216719999999,-77.4242524,Frederick County,Frederick,4606 Wedgewood Blvd,2023-04-30T18:25:51.694223
,,True Wellness Laurel,,59,,True Wellness Laurel,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,39.0917006,-76.8558576,Prince George's County,Laurel,14703 Baltimore Ave b,2023-04-30T18:25:51.694223
