business_website,business_email,business_legal_name,business_phone,premise_street_address,id,license_status,business_dba_name,license_number,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_image_url,license_type,data_refreshed_date
http://www.col-care.com/,chevychasemd@col-care.com,Columbia,301-637-0870,"4609 Willow Lane Chevy Chase, MD 20815",0,,Columbia,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
http://www.greenlabsmd.com/,info@greenlabsmd.com,GreenLabs,410-624-5520,"1522 Eastern Ave. Baltimore, MD 21231",1,,GreenLabs,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.gleaf.com/,patients@gleaf.com,Mmcc,800-208-9333,,2,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.gleaf.com/,patients@gleaf.com,Mmcc,800-208-9333,"808 Hungerford Dr. Rockville, MD 20850",3,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.zenleafdispensaries.com,maria.pinsky@zenleafdispensaries.com,Mmcc,410-842-9333,,4,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.kipcan.com/,info@kipcan.com,Mmcc,410-403-0280,"9 Cranbrook Rd. Cockeysville, MD 21030",5,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
http://www.missioncan.com/,support@missioncan.com,Mission,833-768-4357,,6,,Mission,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.peninsulamd.com/,contact@peninsulamd.com,Mmcc,443-622-3661,,7,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.positiveenergyoc.com/,info@positiveenergyoc.com,Mmcc,410-877-2017,,8,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.remedycolumbia.com/,hello@remedycolumbia.com,Mmcc,443-542-0948,,9,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.revolutionreleaf.com/,info@revolutionreleaf.com,Mmcc,240-280-8446,,10,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.starbuds.us/,baltimore@starbuds.us,Mmcc,443-438-7494,,11,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.storehousemd.com/,info@storehousemd.com,Mmcc,443-438-4160,,12,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.b1md.com/,info@b1md.com,Mmcc,301-774-0840,,13,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.salveramd.com/,rightrussw11@icloud.com,Mmcc,240-260-3305,,14,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.greenhousewellness.com/,hello@greenhousewellnes.com,Mmcc,833-325-2229,,15,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.purelifebaltimore.com/,info@purelifebaltimore.com,Mmcc,443-708-5683,,16,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
https://www.peakreleaf.com/,info@peakreleaf.com,Mmcc,301-703-2400,,17,,Mmcc,,MMCC,Maryland Medical Cannabis Commission,Adult-Use,MD,,,,,,,,,,,2023-04-30T14:28:18.618353
