Medical ,activity,adult_use,business_dba_name,business_image_url,business_legal_name,business_owner_name,business_phone,business_structure,county,data_refreshed_date,expiration_date,id,issue_date,license_designation,license_number,license_status,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,premise_zip_code
,,ü,"BD Health Ag 3, LLC",,"BD Health Ag 3, LLC",,417-850-9999,,Polk County,2023-04-27T08:28:25.279023,,0,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 65674,Polk County,37.7944806,-93.57798149999999,MO,65674
,,ü,Focus Partners - Kansas City LLC,,Focus Partners - Kansas City LLC,,816-588-8838,,Jackson County,2023-04-27T08:28:25.279023,,1,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Grandview,Jackson County,38.8892509,-94.5359045,MO,64147
,,ü,"Bootheel CannaCare Columbia, LLC",,"Bootheel CannaCare Columbia, LLC",,573-359-4963,,Boone County,2023-04-27T08:28:25.279023,,2,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Columbia,Boone County,38.9451555,-92.2956971,MO,65202
,,ü,"BD Health Ag 2, LLC",,"BD Health Ag 2, LLC",,417-850-9999,,Polk County,2023-04-27T08:28:25.279023,,3,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 65674,Polk County,37.7944806,-93.57798149999999,MO,65674
,,ü,Focus Partners - Kansas City LLC,,Focus Partners - Kansas City LLC,,816-588-8838,,Jackson County,2023-04-27T08:28:25.279023,,4,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Grandview,Jackson County,38.8892509,-94.5359045,MO,64030
,,ü,"Vertical Enterprise, LLC",,"Vertical Enterprise, LLC",,816-582-3459,,Buchanan County,2023-04-27T08:28:25.279023,,5,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,St Joseph,Buchanan County,39.7748541,-94.80387619999999,MO,64507
,,ü,1913 Valdalia LLC,,1913 Valdalia LLC,,216-577-9178,,Audrain County,2023-04-27T08:28:25.279023,,6,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63382,Audrain County,39.3108745,-91.48848869999999,MO,63382
,,ü,Agri-Genesis LLC,,Agri-Genesis LLC,,660-851-1660,,Macon County,2023-04-27T08:28:25.279023,,7,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Macon,Macon County,39.7662896,-92.455834,MO,63552
,,ü,"BD Health Ag 1, LLC",,"BD Health Ag 1, LLC",,417-850-9999,,Polk County,2023-04-27T08:28:25.279023,,8,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 65674,Polk County,37.7944806,-93.57798149999999,MO,65674
,,ü,"Organic Remedies MO, Inc.",,"Organic Remedies MO, Inc.",,573-279-4020,,Scott County,2023-04-27T08:28:25.279023,,9,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Chaffee,Scott County,37.1905441,-89.67118839999999,MO,63740
,,ü,"Sunrise Beach GP, LLC",,"Sunrise Beach GP, LLC",,866-217-4063,,Camden County,2023-04-27T08:28:25.279023,,10,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 65079,Camden County,38.1758645,-92.7843553,MO,65079
,,ü,Agri-Genesis LLC,,Agri-Genesis LLC,,660-851-1660,,Macon County,2023-04-27T08:28:25.279023,,11,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Macon,Macon County,39.7662896,-92.455834,MO,63552
,,ü,Blue Arrow Holdings LLC,,Blue Arrow Holdings LLC,,314-359-1987,,St. Louis city,2023-04-27T08:28:25.279023,,12,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147
ü,,,"VMO-Ops, Inc.",,"VMO-Ops, Inc.",,240-418-2120,,St. Louis city,2023-04-27T08:28:25.279023,,13,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63120,,38.6893721,-90.266699,MO,63120
,,ü,BeLeaf Medical LLC,,BeLeaf Medical LLC,,636-448-6021,,Montgomery County,2023-04-27T08:28:25.279023,,14,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63351,Montgomery County,38.8533773,-91.3059895,MO,63351
,,ü,Blue Arrow Holdings LLC,,Blue Arrow Holdings LLC,,314-359-1987,,St. Louis city,2023-04-27T08:28:25.279023,,15,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147
,,ü,OXG LLC,,OXG LLC,,314-550-5269,,Jackson County,2023-04-27T08:28:25.279023,,16,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64058,,39.1686419,-94.30515419999999,MO,64058
,,ü,Focus Partners Manchester LLC,,Focus Partners Manchester LLC,,816-588-8838,,Jackson County,2023-04-27T08:28:25.279023,,17,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64130,Jackson County,39.0345609,-94.55212739999999,MO,64130
,,ü,BeLeaf Medical LLC,,BeLeaf Medical LLC,,636-448-6021,,St. Louis County,2023-04-27T08:28:25.279023,,18,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Earth City,St. Louis County,38.76786329999999,-90.453037,MO,63045
ü,,,"Archimedes Medical Holdings, LLC",,"Archimedes Medical Holdings, LLC",,314-225-7496,,Perry County,2023-04-27T08:28:25.279023,,19,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63775,Perry County,37.7242202,-89.8612196,MO,63775
,,ü,"Cassville GP, LLC",,"Cassville GP, LLC",,866-217-4063,,Boone County,2023-04-27T08:28:25.279023,,20,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,Boone County,38.9517053,-92.3340724,MO,65202
ü,,,"Archimedes Medical Holdings, LLC",,"Archimedes Medical Holdings, LLC",,314-225-7496,,Perry County,2023-04-27T08:28:25.279023,,21,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63775,Perry County,37.7242202,-89.8612196,MO,63775
,,ü,1913 Waynesville LLC,,1913 Waynesville LLC,,314-323-3773,,Pulaski County,2023-04-27T08:28:25.279023,,22,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 65583,Pulaski County,37.8286516,-92.2007227,MO,65583
,,ü,"Local Leaf, LLC",,"Local Leaf, LLC",,816-289-8608,,Bates County,2023-04-27T08:28:25.279023,,23,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64730,Bates County,38.2586347,-94.33050589999999,MO,64730
,,ü,1913 Carrollton LLC,,1913 Carrollton LLC,,216-577-9178,,Carroll County,2023-04-27T08:28:25.279023,,24,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64633,Carroll County,39.3583539,-93.4957675,MO,64633
,,ü,"GF Saint Mary, LLC",,"GF Saint Mary, LLC",,314-814-5493,,St. Louis city,2023-04-27T08:28:25.279023,,25,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147
,,ü,"Bloom Medicinals of MO – Cultivation 1, LLC",,"Bloom Medicinals of MO – Cultivation 1, LLC",,561-305-3656,,St. Charles County,2023-04-27T08:28:25.279023,,26,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63366,St. Charles County,38.8809704,-90.73427339999999,MO,63366
,,ü,"New Growth Horizon, LLC",,"New Growth Horizon, LLC",,314-749-2677,,St. Louis County,2023-04-27T08:28:25.279023,,27,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63144,St. Louis County,38.6157474,-90.3513021,MO,63144
,,ü,"C4, LLC",,"C4, LLC",,816-872-6116,,Carroll County,2023-04-27T08:28:25.279023,,28,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64633,Carroll County,39.3583539,-93.4957675,MO,64633
,,ü,TC AppliCo LLC,,TC AppliCo LLC,,314-276-3802,,Crawford County,2023-04-27T08:28:25.279023,,29,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,Crawford County,38.0628225,-91.40348329999999,MO,65453
,,ü,Holistic Missouri LLC,,Holistic Missouri LLC,,866-217-4063,,Jackson County,2023-04-27T08:28:25.279023,,30,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64147,,38.8524485,-94.5469705,MO,64147
,,ü,"Missouri Made Marijuana, LLC",,"Missouri Made Marijuana, LLC",,702-496-3051,,Jackson County,2023-04-27T08:28:25.279023,,31,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,Jackson County,39.0150069,-94.19855799999999,MO,64029
,,ü,"Bloom Medicinals of MO – Cultivation 2, LLC",,"Bloom Medicinals of MO – Cultivation 2, LLC",,561-305-3656,,Clinton County,2023-04-27T08:28:25.279023,,32,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64429,Clinton County,39.7402801,-94.241057,MO,64429
,,ü,"Standard Wellness Missouri, LLC",,"Standard Wellness Missouri, LLC",,321-831-2996,,Audrain County,2023-04-27T08:28:25.279023,,33,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Vandalia,Audrain County,39.3061447,-91.4744262,MO,63382
ü,,,Kindbio LLC,,Kindbio LLC,,314-799-5146,,St. Louis city,2023-04-27T08:28:25.279023,,34,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147
,,ü,"Hippos, LLC",,"Hippos, LLC",,312-925-1217,,Maries County,2023-04-27T08:28:25.279023,,35,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 65582,Maries County,38.1867085,-91.94711199999999,MO,65582
,,ü,GF Biomass LLC,,GF Biomass LLC,,314-282-4679,,Crawford County,2023-04-27T08:28:25.279023,,36,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,Crawford County,38.0628225,-91.40348329999999,MO,65453
,,ü,Agri-Genesis LLC,,Agri-Genesis LLC,,660-851-1660,,Macon County,2023-04-27T08:28:25.279023,,37,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Macon,Macon County,39.7662896,-92.455834,MO,63552
,,ü,"Solgrone Cultivation, LLC",,"Solgrone Cultivation, LLC",,314-223-6680,,St. Louis County,2023-04-27T08:28:25.279023,,38,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Clayton,St. Louis County,38.650432,-90.3345327,MO,63125
,,ü,"CPC of Missouri - Smithville, LLC",,"CPC of Missouri - Smithville, LLC",,785-766-0288,,Clay County,2023-04-27T08:28:25.279023,,39,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Smithville,Clay County,39.3638732,-94.5891504,MO,64089
,,ü,"GF Saint Mary, LLC",,"GF Saint Mary, LLC",,314-814-5493,,St. Louis city,2023-04-27T08:28:25.279023,,40,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63147,,38.6999486,-90.2197765,MO,63147
,,ü,"GFFG, LLC",,"GFFG, LLC",,816-872-6116,,Carroll County,2023-04-27T08:28:25.279023,,41,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64633,Carroll County,39.3583539,-93.4957675,MO,64633
,,ü,"Elevation Cannabis Cultivation, LLC",,"Elevation Cannabis Cultivation, LLC",,620-921-5967,,Jackson County,2023-04-27T08:28:25.279023,,42,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64127,Jackson County,39.091953,-94.5469705,MO,64127
,,ü,"GFFG, LLC",,"GFFG, LLC",,816-872-6116,,Carroll County,2023-04-27T08:28:25.279023,,43,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64633,Carroll County,39.3583539,-93.4957675,MO,64633
,,ü,BeLeaf Medical LLC,,BeLeaf Medical LLC,,636-448-6021,,St. Louis city,2023-04-27T08:28:25.279023,,44,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63118,,38.5950619,-90.2291565,MO,63118
,,ü,"Bluebird Botanical, Ltd.",,"Bluebird Botanical, Ltd.",,512-657-5392,,Warren County,2023-04-27T08:28:25.279023,,45,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63380,Warren County,38.8106802,-91.1316056,MO,63380
,,ü,BTMD Holdings LLC,,BTMD Holdings LLC,,402-490-0591,,Morgan County,2023-04-27T08:28:25.279023,,46,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,Morgan County,38.3083614,-92.8254697,MO,65037
,,ü,"Harvest of Missouri, LLC",,"Harvest of Missouri, LLC",,602-615-2083,,Jasper County,2023-04-27T08:28:25.279023,,47,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64804,,37.0193161,-94.5005808,MO,64804
,,ü,Heya St. Ann Cultivation II LLC,,Heya St. Ann Cultivation II LLC,,314-560-4597,,St. Louis County,2023-04-27T08:28:25.279023,,48,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,St Ann,St. Louis County,38.7303723,-90.38081269999999,MO,63074
