activity,business_dba_name,business_image_url,business_legal_name,business_owner_name,business_phone,business_structure,county,data_refreshed_date,expiration_date,id,issue_date,license_designation,license_number,license_status,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,premise_zip_code
,"Bold Lane Logistics, LLC",,"Bold Lane Logistics, LLC",,314-448-3848,,Jefferson County,2023-04-27T08:29:29.255260,,0,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Suite C,Jefferson County,38.1825658,-90.44321710000001,MO,63028
,Red Eye Transport LLC,,Red Eye Transport LLC,,816-944-8641,,Jackson County,2023-04-27T08:29:29.255260,,1,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64147,,38.8524485,-94.5469705,MO,64147
,KC Cann Transport LLC,,KC Cann Transport LLC,,816-918-3568,,Jackson County,2023-04-27T08:29:29.255260,,2,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64015,Jackson County,39.02310749999999,-94.30515419999999,MO,64015
,Next Wave MO LLC,,Next Wave MO LLC,,816-588-8838,,Jackson County,2023-04-27T08:29:29.255260,,3,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64130,Jackson County,39.0345609,-94.55212739999999,MO,64130
,5th Meridian Group Inc,,5th Meridian Group Inc,,866-420-8646,,Cape Girardeau County,2023-04-27T08:29:29.255260,,4,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Cape Girardeau,Cape Girardeau County,37.3065172,-89.5210817,MO,63701
,"G5 Express, LLC",,"G5 Express, LLC",,314-486-1208,,St. Louis County,2023-04-27T08:29:29.255260,,5,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,St. Louis County,38.789217,-90.322614,MO,63033
,Missouri Hemp Improvement Company,,Missouri Hemp Improvement Company,,913-302-9682,,Clay County,2023-04-27T08:29:29.255260,,6,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,North Kansas City,Clay County,39.1285995,-94.5802865,MO,64116
,"The Daily Hybrid, LLC",,"The Daily Hybrid, LLC",,(31-4) -495-6903 ,,St. Louis County,2023-04-27T08:29:29.255260,,7,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO,St. Louis County,38.5025537,-90.62790439999999,MO,63025
,CLS Med-Can Logistics LLC,,CLS Med-Can Logistics LLC,,816-288-0959,,Jackson County,2023-04-27T08:29:29.255260,,8,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64147,,38.8524485,-94.5469705,MO,64147
,"Missouri Made Marijuana, LLC",,"Missouri Made Marijuana, LLC",,417-782-9024,,Jasper County,2023-04-27T08:29:29.255260,,9,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Joplin,Jasper County,37.0737428,-94.4781855,MO,64804
,"Special Services, Inc.",,"Special Services, Inc.",,314-421-1800,,St. Louis city,2023-04-27T08:29:29.255260,,10,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,St. Louis,,38.6336697,-90.19713709999999,MO,63103
,"Ozark's Valley Farms, LLC",,"Ozark's Valley Farms, LLC",,417-300-9285,,St. Clair County,2023-04-27T08:29:29.255260,,11,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64776,St. Clair County,38.0466967,-93.7043764,MO,64776
,James Hartman,,James Hartman,,844-420-9533,,Laclede County,2023-04-27T08:29:29.255260,,12,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Lebanon,Laclede County,37.6957981,-92.66694380000001,MO,65536
,"William Herrick, LLC",,"William Herrick, LLC",,913-205-8823,,Bates County,2023-04-27T08:29:29.255260,,13,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 64730,Bates County,38.2586347,-94.33050589999999,MO,64730
,"SuperSonic Transportation, LLC",,"SuperSonic Transportation, LLC",,573-462-0890,,Boone County,2023-04-27T08:29:29.255260,,14,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Columbia,Boone County,38.9655481,-92.2878179,MO,65202
,"North Medical Group, LLC",,"North Medical Group, LLC",,314-420-4536,,Jefferson County,2023-04-27T08:29:29.255260,,15,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 63070,Jefferson County,38.2842567,-90.403094,MO,63070
,"Ozarks Protective Services, LLC",,"Ozarks Protective Services, LLC",,417-895-8733,,Greene County,2023-04-27T08:29:29.255260,,16,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,MO 65803,Greene County,37.294172,-93.29861059999999,MO,65803
,"New Growth Horizon, LLC",,"New Growth Horizon, LLC",,314-749-2677,,St. Louis County,2023-04-27T08:29:29.255260,,17,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Florissant,St. Louis County,38.7719687,-90.2726138,MO,63144
,Wellerman Transportation LLC,,Wellerman Transportation LLC,,314-494-7519,,St. Louis County,2023-04-27T08:29:29.255260,,18,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Ballwin,St. Louis County,38.6117006,-90.569633,MO,63125
,BeLeaf Medical LLC,,BeLeaf Medical LLC,,(63-6) -448-6021,,St. Louis County,2023-04-27T08:29:29.255260,,19,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,,Earth City,St. Louis County,38.76786329999999,-90.453037,MO,63045
