license_number,business_dba_name,CEID,license_type,LicenseStatus,premise_county,id,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_legal_name,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,business_phone,business_website,data_refreshed_date,premise_street_address,premise_city,delivery,license_status,premise_latitude,premise_longitude,premise_zip_code
00170400460138702033,Circle S Farms Llc,RD374,Retail Dispensary,Active,Clark,00170400460138702033,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CIRCLE S FARMS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
00604441635504697108,Tgig Llc,T080,Retail Distributor,Active,Clark,00604441635504697108,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TGIG LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
01192029321013008399,Mr H Las Vegas Llc,RC126,Retail Cultivation,Non-Operational,Clark,01192029321013008399,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MR H LAS VEGAS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
01359449685112111637,Cr/P Las Vegas Llc,RD059,Retail Dispensary,Active,Clark,01359449685112111637,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CR/P LAS VEGAS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
01458092845320057986,Silver State Wellness Llc,C101,Medical Cultivation,Active,Clark,01458092845320057986,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER STATE WELLNESS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
01497745593520335574,Jdw Nevada Llc,RP029,Retail Production,Non-Operational,Clark,01497745593520335574,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,JDW NEVADA LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
01564452858482220102,Premium Produce Llc,C033,Medical Cultivation,Active,Clark,01564452858482220102,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,PREMIUM PRODUCE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
01653343486142530020,Wellness Connection Of Nevada Llc,RD190,Retail Dispensary,Active,Clark,01653343486142530020,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WELLNESS CONNECTION OF NEVADA LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
01696915226901375362,Picksy Reno Llc,RD106,Retail Dispensary,Active,Washoe,01696915226901375362,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,PICKSY RENO LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
01705109046761827904,Nevcann Llc,C056,Medical Cultivation,Non-Operational,Clark,01705109046761827904,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVCANN LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
01737633649552254158,Greenway Medical Llc,T040,Retail Distributor,Active,Clark,01737633649552254158,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENWAY MEDICAL LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02050419374644961130,Southern Nevada Growers Llc,C139,Medical Cultivation,Active,Clark,02050419374644961130,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SOUTHERN NEVADA GROWERS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02121551220852104883,Greenmart Of Nevada Nlv Llc,P018,Medical Production,Active,Clark,02121551220852104883,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENMART OF NEVADA NLV LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02301531072727181049,Agua Street Llc,RP101,Retail Production,Active,Clark,02301531072727181049,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,AGUA STREET LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02322843247473154082,Nevada Pure Llc,RP015,Retail Production,Active,Clark,02322843247473154082,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA PURE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02411041046250902247,Washoe Dispensary Llc,RD057,Retail Dispensary,Active,Washoe,02411041046250902247,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WASHOE DISPENSARY LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02439482693226752028,The Bakery Llc,P084,Medical Production,Non-Operational,Clark,02439482693226752028,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,THE BAKERY LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02441426022753521200,Nevada Organic Remedies Llc,D152,Medical Dispensary,Active,Clark,02441426022753521200,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA ORGANIC REMEDIES LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02442594142801376733,Libra Wellness Center Llc,C149,Medical Cultivation,Active,Clark,02442594142801376733,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIBRA WELLNESS CENTER LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02447430511497936592,Natural Medicine Llc,D145,Medical Dispensary,Active,Clark,02447430511497936592,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATURAL MEDICINE LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02685010272987196695,Clear River Llc,RC097,Retail Cultivation,Active,Clark,02685010272987196695,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CLEAR RIVER LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02916424476864783141,Serenity Wellness Center Llc,D046,Medical Dispensary,Active,Clark,02916424476864783141,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SERENITY WELLNESS CENTER LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
02959703688458604031,Ncmm Llc,RC159,Retail Cultivation,Active,Nye,02959703688458604031,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NCMM LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
03137125388697415604,Green Therapeutics Llc,T036,Retail Distributor,Active,Clark,03137125388697415604,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREEN THERAPEUTICS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
03310174034843985324,Floret Nevada Llc,T052,Retail Distributor,Non-Operational,Washoe,03310174034843985324,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FLORET NEVADA LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
03595374519108477279,Greenpoint Nevada Inc,RP027,Retail Production,Non-Operational,Washoe,03595374519108477279,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENPOINT NEVADA INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
03736631201004083296,V6E Holdings Inc,C034,Medical Cultivation,Non-Operational,Clark,03736631201004083296,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,V6E HOLDINGS INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
03754325902079441647,374 Labs Llc,L012,Medical Laboratory,Active,Washoe,03754325902079441647,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,374 LABS LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
04045523128584413069,Mmof Vegas Retail Inc,RD078,Retail Dispensary,Active,Clark,04045523128584413069,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MMOF VEGAS RETAIL INC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
04054268305722414317,Cheyenne Medical Elko Rd267 Llc,RD267,Retail Dispensary,Active,Elko,04054268305722414317,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CHEYENNE MEDICAL ELKO RD267 LLC,,,,,,,,,2023-11-13 00:00:00,,,,,,,
