activity,analyses,business_dba_name,business_image_url,business_legal_name,business_structure,data_refreshed_date,expiration_date,id,issue_date,license_number,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,premise_city,premise_state
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""terpenes"", ""water_activity""]",ACT Laboratories,,ACT Laboratories,,2023-08-13T18:32:54.852257,,00001,,00001,,,lab,New York State Office of Cannabis Management,OCM,,Ballston Spa,NY
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""water_activity""]","Lexachrom Analytical Laboratory, LLC",,"Lexachrom Analytical Laboratory, LLC",,2023-08-13T18:32:54.852257,,00002,,00002,,,lab,New York State Office of Cannabis Management,OCM,,Freeport,NY
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""water_activity""]",Talon Analytical,,Talon Analytical,,2023-08-13T18:32:54.852257,,00003,,00003,,,lab,New York State Office of Cannabis Management,OCM,,Garden City Park,NY
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""terpenes"", ""water_activity""]","Phyto-Farma Labs, LLC",,"Phyto-Farma Labs, LLC",,2023-08-13T18:32:54.852257,,00004,,00004,,,lab,New York State Office of Cannabis Management,OCM,,Warwick,NY
,"[""cannabinoids"", ""foreign_matter"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""water_activity""]",Biotrax Testing Laboratory,,Biotrax Testing Laboratory,,2023-08-13T18:32:54.852257,,00005,,00005,,,lab,New York State Office of Cannabis Management,OCM,,Cheektowaga,NY
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""terpenes"", ""water_activity""]",Kaycha Labs NY,,Kaycha Labs NY,,2023-08-13T18:32:54.852257,,00006,,00006,,,lab,New York State Office of Cannabis Management,OCM,,Albany,NY
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""terpenes"", ""water_activity""]",Keystone State Testing of NY,,Keystone State Testing of NY,,2023-08-13T18:32:54.852257,,00007,,00007,,,lab,New York State Office of Cannabis Management,OCM,,Vestal,NY
,"[""moisture_content""]",MCR,,MCR,,2023-08-13T18:32:54.852257,,00008,,00008,,,lab,New York State Office of Cannabis Management,OCM,,Utica,NY
,"[""cannabinoids"", ""foreign_matter"", ""moisture_content"", ""water_activity""]",Certified Testing and Data (CTND),,Certified Testing and Data (CTND),,2023-08-13T18:32:54.852257,,00009,,00009,,,lab,New York State Office of Cannabis Management,OCM,,Menands,NY
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""moisture_content"", ""mycotoxins"", ""terpenes""]",Botannis Labs NY Corp,,Botannis Labs NY Corp,,2023-08-13T18:32:54.852257,,00010,,00010,,,lab,New York State Office of Cannabis Management,OCM,,Hauppauge,NY
,"[""cannabinoids"", ""foreign_matter"", ""moisture_content"", ""water_activity""]",Reliable Labs Inc. dba DRS Testing,,Reliable Labs Inc. dba DRS Testing,,2023-08-13T18:32:54.852257,,00011,,00011,,,lab,New York State Office of Cannabis Management,OCM,,Buffalo,NY
,"[""cannabinoids"", ""moisture_content""]",Certainty Analytical Labs,,Certainty Analytical Labs,,2023-08-13T18:32:54.852257,,00012,,00012,,,lab,New York State Office of Cannabis Management,OCM,,Rochester,NY
,"[""moisture_content"", ""terpenes"", ""water_activity""]",Green Analytics NY,,Green Analytics NY,,2023-08-13T18:32:54.852257,,00013,,00013,,,lab,New York State Office of Cannabis Management,OCM,,Pearl River,NY
,"[""water_activity""]",Coral Reef Labs New York,,Coral Reef Labs New York,,2023-08-13T18:32:54.852257,,00014,,00014,,,lab,New York State Office of Cannabis Management,OCM,,Johnson City,NY
,"[""water_activity""]","SC Laboratories NY, LLC",,"SC Laboratories NY, LLC",,2023-08-13T18:32:54.852257,,00015,,00015,,,lab,New York State Office of Cannabis Management,OCM,,Liverpool,NY
