activity,analyses,business_dba_name,business_image_url,business_legal_name,business_structure,data_refreshed_date,expiration_date,id,issue_date,license_number,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,premise_street_address
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""terpenes"", ""water_activity""]",ACT Laboratories,,ACT Laboratories,,2023-09-20T07:12:10.620998,,00001,,00001,,,lab,New York State Office of Cannabis Management,OCM,,Ballston Spa,Saratoga County,43.0087306,-73.8465366,NY,27 Kent St
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""terpenes"", ""water_activity""]","Lexachrom Analytical Laboratory, LLC",,"Lexachrom Analytical Laboratory, LLC",,2023-09-20T07:12:10.620998,,00002,,00002,,,lab,New York State Office of Cannabis Management,OCM,,NY,Nassau County,40.6576022,-73.58318349999999,NY,Freeport
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""water_activity""]",Talon Analytical,,Talon Analytical,,2023-09-20T07:12:10.620998,,00003,,00003,,,lab,New York State Office of Cannabis Management,OCM,,NY 11040,Nassau County,40.7410315,-73.6630251,NY,Garden City Park
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""terpenes"", ""water_activity""]","Phyto-Farma Labs, LLC",,"Phyto-Farma Labs, LLC",,2023-09-20T07:12:10.620998,,00004,,00004,,,lab,New York State Office of Cannabis Management,OCM,,Warwick,Orange County,41.2740435,-74.3100469,NY,49 John Hicks Dr
,"[""cannabinoids"", ""foreign_matter"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""water_activity""]",Biotrax Testing Laboratory,,Biotrax Testing Laboratory,,2023-09-20T07:12:10.620998,,00005,,00005,,,lab,New York State Office of Cannabis Management,OCM,,Buffalo,Erie County,42.9412153,-78.7845115,NY,3580 Harlem Rd #2
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""terpenes"", ""water_activity""]",Kaycha Labs NY,,Kaycha Labs NY,,2023-09-20T07:12:10.620998,,00006,,00006,,,lab,New York State Office of Cannabis Management,OCM,,NY,Albany County,42.6525793,-73.7562317,NY,Albany
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""microbes"", ""moisture_content"", ""mycotoxins"", ""pesticides"", ""residual_solvents"", ""terpenes"", ""water_activity""]",Keystone State Testing of NY,,Keystone State Testing of NY,,2023-09-20T07:12:10.620998,,00007,,00007,,,lab,New York State Office of Cannabis Management,OCM,,Vestal,Broome County,42.0935122,-76.02191909999999,NY,1809 Vestal Pkwy E
,"[""moisture_content"", ""water_activity""]",MCR,,MCR,,2023-09-20T07:12:10.620998,,00008,,00008,,,lab,New York State Office of Cannabis Management,OCM,,Utica,Oneida County,43.0993117,-75.2135052,NY,800 Broad St t
,"[""cannabinoids"", ""foreign_matter"", ""moisture_content"", ""water_activity""]",Certified Testing and Data (CTND),,Certified Testing and Data (CTND),,2023-09-20T07:12:10.620998,,00009,,00009,,,lab,New York State Office of Cannabis Management,OCM,,NY,Albany County,42.6920233,-73.72456389999999,NY,Menands
,"[""cannabinoids"", ""foreign_matter"", ""heavy_metals"", ""moisture_content"", ""mycotoxins"", ""terpenes""]",Botannis Labs NY Corp,,Botannis Labs NY Corp,,2023-09-20T07:12:10.620998,,00010,,00010,,,lab,New York State Office of Cannabis Management,OCM,,NY,Suffolk County,40.8256536,-73.2026138,NY,Hauppauge
,"[""cannabinoids"", ""foreign_matter"", ""moisture_content"", ""water_activity""]",Reliable Labs Inc. dba DRS Testing,,Reliable Labs Inc. dba DRS Testing,,2023-09-20T07:12:10.620998,,00011,,00011,,,lab,New York State Office of Cannabis Management,OCM,,Orchard Park,Erie County,42.79643799999999,-78.7504768,NY,3245 Southwestern Blvd
,"[""cannabinoids"", ""moisture_content""]",Certainty Analytical Labs,,Certainty Analytical Labs,,2023-09-20T07:12:10.620998,,00012,,00012,,,lab,New York State Office of Cannabis Management,OCM,,NY,Monroe County,43.15657789999999,-77.6088465,NY,Rochester
,"[""cannabinoids"", ""foreign_matter"", ""moisture_content"", ""residual_solvents"", ""terpenes"", ""water_activity""]",Green Analytics NY,,Green Analytics NY,,2023-09-20T07:12:10.620998,,00013,,00013,,,lab,New York State Office of Cannabis Management,OCM,,NY,Rockland County,41.0589855,-74.0218063,NY,Pearl River
,"[""water_activity""]",Coral Reef Labs New York,,Coral Reef Labs New York,,2023-09-20T07:12:10.620998,,00014,,00014,,,lab,New York State Office of Cannabis Management,OCM,,NY,,40.7127753,-74.0059728,NY,New York
,"[""water_activity""]","SC Laboratories NY, LLC",,"SC Laboratories NY, LLC",,2023-09-20T07:12:10.620998,,00015,,00015,,,lab,New York State Office of Cannabis Management,OCM,,NY,,40.7127753,-74.0059728,NY,New York
,"[""foreign_matter""]",Dope Diagnostics,,Dope Diagnostics,,2023-09-20T07:12:10.620998,,00021,,00021,,,lab,New York State Office of Cannabis Management,OCM,,NY,Rockland County,41.0589855,-74.0218063,NY,Pearl River
