business_email,business_legal_name,business_phone,county,data_refreshed_date,license_number
,Royal Leaf NY LLC,,Bronx,2023-08-13T18:32:54.182098,OCM-CAURD-23-000015
don@upstate-canna.co,D-Andrews,(518) 280-4289,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-23-000005
mirk@stageonedispensary.com,Stage One Cannabis LLC,518-488-4997,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-23-000011
mike@flynnstoned.com,FLYNNSTONED CORPORATION,,Central NY,2023-08-13T18:32:54.182098,OCM-CAURD-23-000010
,Strain Stars LLC,,Long Island,2023-08-13T18:32:54.182098,OCM-CAURD-2023-000022
HighRoadHoldings@gmail.com,Dazed,(954) 350-1300,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-23-000008
,"The Doe Store LLC (“Union Square
Travel Agency”)",,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-23-000003
"GothamCAURDLLC@gmail.co
m",GOTHAM CAURD LLC,,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-23-00009
Budmaster@hwcannabis.co,"Housing Works Cannabis, LLC",,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-22-000001
,Smacked,,Manhattan,2023-08-13T18:32:54.182098,OCM-CAURD-23-000002
mj@goodgradesnyc.com,Good Grades LLC,(212) 845-9912,Queens,2023-08-13T18:32:54.182098,OCM-CAURD-23-000007
Public@justbreathelife.org,On Point Cannabis Inc.,,Southern Tier,2023-08-13T18:32:54.182098,OCM-CAURD-23-000004
"whhomeimprovements@gmail.
com",William Durham,(607) 348-4471,Southern Tier,2023-08-13T18:32:54.182098,OCM-CAURD-23-000006
https://sacred-bloom.com/,Exscape Inc.,,Southern Tier,2023-08-13T18:32:54.182098,OCM-CAURD-23-000014
,Dank 716,,Western NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000251
,Herbal IQ,,Western NY,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000025
,"Capital District Cannabis &
Wellness Inc.*",,Capital Region,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000011
,Exscape Inc.*,,Southern Tier,2023-08-13T18:32:54.182098,OCM-CAURD-2022-000038
