license_number,id,business_dba_name,license_type,license_status,address,business_legal_name,business_owner_name,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,issue_date,expiration_date,premise_city,premise_zip_code,business_email,business_image_url,data_refreshed_date
10008,1013002,GREEN JAR,Retail Marijuana Store,Active-Operating,"4901 E Blue Lupine dr, Bldg 2, Unit E, Wasilla, AK 99654, UNITED STATES",GREEN JAR,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Bldg 2,Unit E,,,2024-03-24T22:01:20.007861
10021,1032050,"ENLIGHTEN ALASKA, LLC",Retail Marijuana Store,Active-Operating,"2600 Spenard Road, Anchorage, AK 99503, UNITED STATES","ENLIGHTEN ALASKA, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99503,,,2024-03-24T22:01:20.007861
10037,1065302,ARCTIC HERBERY,Retail Marijuana Store,Active-Operating,"7107 Arctic Blvd, Anchorage, AK 99518, UNITED STATES",ARCTIC HERBERY,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99518,,,2024-03-24T22:01:20.007861
10056,1032472,"RED RUN CANNABIS COMPANY, LLC",Retail Marijuana Store,Active-Operating,"5455 Kenai Spur Highway, Suite B, Kenai, AK 99611, UNITED STATES","RED RUN CANNABIS COMPANY, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite B,Kenai,,,2024-03-24T22:01:20.007861
10057,1032309,ALASKAN CANNABIS OUTFITTERS,Retail Marijuana Store,Active-Operating,"41945 Sterling Hwy, Homer, AK 99603, UNITED STATES",ALASKAN CANNABIS OUTFITTERS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Homer,99603,,,2024-03-24T22:01:20.007861
10060,1045783,THE GREEN SPOT LLC.,Retail Marijuana Store,Active-Operating,"2893 S. BIG LAKE RD. SUITE 4, BIG LAKE, AK 99652, UNITED STATES",THE GREEN SPOT LLC.,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,BIG LAKE,99652,,,2024-03-24T22:01:20.007861
10094,1032729,"ALASKABUDS, LLC",Retail Marijuana Store,Active-Operating,"1005 E 5th Ave, Anchorage , AK 99501, UNITED STATES","ALASKABUDS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage ,99501,,,2024-03-24T22:01:20.007861
10097,2189904,"The Roots, Raspberry",Retail Marijuana Store,Active-Operating,"501 Raspberry Rd, Suite 101, Anchorage, AK 99518, UNITED STATES","The Roots, Raspberry",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite 101,Anchorage,,,2024-03-24T22:01:20.007861
10113,1031886,GREAT ALASKAN BUD COMPANY,Retail Marijuana Store,Active-Operating,"1905 Livengood Ave., Fairbanks, AK 99701, UNITED STATES",GREAT ALASKAN BUD COMPANY,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,,,2024-03-24T22:01:20.007861
10131,1033032,"PAKALOLO SUPPLY COMPANY, INC.",Retail Marijuana Store,Active-Operating,"1851 Fox Avenue, Fairbanks, AK 99701, UNITED STATES","PAKALOLO SUPPLY COMPANY, INC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99701,,,2024-03-24T22:01:20.007861
10138,1019601,"NORTHERN LIGHTS INDOOR GARDENS, LLC",Retail Marijuana Store,Active-Operating,"1321 Sawmill Creek Road, Suites N, O, and P, Sitka, AK 99835, UNITED STATES","NORTHERN LIGHTS INDOOR GARDENS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suites N,O,,,2024-03-24T22:01:20.007861
10149,1046490,"REMEDY SHOPPE, LLC",Retail Marijuana Store,Active-Operating,"307 THIRD AVENUE, Skagway, AK 99840, UNITED STATES","REMEDY SHOPPE, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Skagway,99840,,,2024-03-24T22:01:20.007861
10162,1033355,THE FROST FARMS,Retail Marijuana Store,Active-Operating,"8535 Dimond D Circle, Unit B, Anchorage, AK 99515, UNITED STATES",THE FROST FARMS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit B,Anchorage,,,2024-03-24T22:01:20.007861
10163,1033148,THE 420,Retail Marijuana Store,Active-Operating,"307 N. Nordic Dr., Petersburg, AK 99833, UNITED STATES",THE 420,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Petersburg,99833,,,2024-03-24T22:01:20.007861
10173,1032590,"HERBAL OUTFITTERS, LLC",Retail Marijuana Store,Active-Operating,"165 Fairbanks Drive, Lower Floor, Valdez, AK 99686, UNITED STATES","HERBAL OUTFITTERS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Lower Floor,Valdez,,,2024-03-24T22:01:20.007861
10190,2190228,"The Roots, Midtown",Retail Marijuana Store,Active-Operating,"360 E. INTERNATIONAL AIRPORT RD., 2A, Anchorage, AK 99518, UNITED STATES","The Roots, Midtown",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,2A,Anchorage,,,2024-03-24T22:01:20.007861
10200,1033845,HAPPY CANNABIS,Retail Marijuana Store,Active-Operating,"225 South Front Street, Wrangell, AK 99929, UNITED STATES",HAPPY CANNABIS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wrangell,99929,,,2024-03-24T22:01:20.007861
10220,2114050,Weed Dudes,Retail Marijuana Store,Active-Operating,"1321 Sawmill Creek Road, Suite #J & K, Sitka, AK 99835, UNITED STATES",Weed Dudes,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite #J & K,Sitka,,,2024-03-24T22:01:20.007861
10236,2140319,Cannabaska,Retail Marijuana Store,Active-Operating,"521 W. Tudor Road, Unit 201, Anchorage, AK 99503, UNITED STATES",Cannabaska,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit 201,Anchorage,,,2024-03-24T22:01:20.007861
10245,2125730,Double Eagle Cannabis,Retail Marijuana Store,Active-Operating,"2042 E 3rd Avenue, Suite A, Anchorage, AK 99501, UNITED STATES",Double Eagle Cannabis,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite A,Anchorage,,,2024-03-24T22:01:20.007861
10252,1034813,POPEYES EMPORIUM II,Retail Marijuana Store,Active-Operating,"3231 Spenard Road, Unit 1, Anchorage, AK 99503, UNITED STATES",POPEYES EMPORIUM II,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit 1,Anchorage,,,2024-03-24T22:01:20.007861
10254,2101487,Cannabaska,Retail Marijuana Store,Active-Operating,"217 E. 4th Avenue, Suite D, Anchorage, AK 99501, UNITED STATES",Cannabaska,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite D,Anchorage,,,2024-03-24T22:01:20.007861
