license_number,business_legal_name,business_dba_name,Street,premise_city,premise_zip_code,data_refreshed_date,license_type,license_designation,Licensee Name,License Number,Address,Zipcode,Microbials,Mycotoxins,Residual Solvents,id,license_status,licensing_authority_id,licensing_authority,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,premise_street_address,premise_county,premise_latitude,premise_longitude,business_website
402-00924,BOULDER SNAX INC,BOULDER SNAX INC,"7464 Arapahoe Avenue, Unit A9",Boulder,80303,2024-01-02,Stores,Adult-Use,,,,,,,,402-00924,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00788,GOLDEN MEDS MERGERCO LLC,Golden Meds,4620 North Peoria Street,Denver,80239,2024-01-02,Stores,Adult-Use,,,,,,,,402-00788,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00844,ORGANIC ALTERNATIVES INC,Organic Alternatives,346 East Mountain Avenue,Fort Collins,80524,2024-01-02,Stores,Adult-Use,,,,,,,,402-00844,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01139,SOUTHERN COLORADO CANNABIS CLUB LLC,SOUTHERN COLORADO CANNABIS CLUB LLC,29577 Highway 159,Fort Garland,81133,2024-01-02,Stores,Adult-Use,,,,,,,,402-01139,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00831,O LIMITED,SILVER STEM FINE CANNABIS,"1 West 1st Street, Suite 1D",Nederland,80466,2024-01-02,Stores,Adult-Use,,,,,,,,402-00831,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01169,KANOPYA HOLDINGS LLC,Kanopya Springs,2545 - 2547 Platte Place,Colorado Springs,80909,2024-01-02,Stores,Adult-Use,,,,,,,,402-01169,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01142,TITAN HEALTH LLC,UHerbs,"755 South Jason Street, Unit 100",Denver,80223,2024-01-02,Stores,Adult-Use,,,,,,,,402-01142,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00588,PLATTE VALLEY DISPENSARY LLC,PLATTE VALLEY DISPENSARY,2301 7th Street Unit B,Denver,80211,2024-01-02,Stores,Adult-Use,,,,,,,,402-00588,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00417,RJJ TOWER LLC,Native Roots Denver Airport,7050 North Tower Road,Denver,80249,2024-01-02,Stores,Adult-Use,,,,,,,,402-00417,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01304,PI WILLITS LLC,Lova Basalt,701 East Valley Road Unit 102,Basalt,81621,2024-01-02,Stores,Adult-Use,,,,,,,,402-01304,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00087,GREEN CROSS LLC,Green Cross of Cherry Creek,"3400 South Oneida Way, Suite 101",Denver,80224,2024-01-02,Stores,Adult-Use,,,,,,,,402-00087,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00165,CONCENTRATE LLC,WOLFPAC CANNABIS,2420 South Colorado Boulevard,Denver,80222,2024-01-02,Stores,Adult-Use,,,,,,,,402-00165,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00925,KIND LOVE LLC,Kind Love,4380 East Alameda Avenue,Glendale,80246,2024-01-02,Stores,Adult-Use,,,,,,,,402-00925,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01040,GROW DISPENSARY INC,The BUZZ,67 North Silicon Drive Suite 130,Pueblo West,81007,2024-01-02,Stores,Adult-Use,,,,,,,,402-01040,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00317,LOTUS MEDICAL LLC,LOTUS MEDICAL LLC,3990 North Ulster Street,Denver,80207,2024-01-02,Stores,Adult-Use,,,,,,,,402-00317,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01016,FOUNTAIN ORGANICS LLC,Fountain Organics,"5421 Rio Vista Drive, Suite 200",Colorado Springs,80917,2024-01-02,Stores,Adult-Use,,,,,,,,402-01016,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00675,LITTLE GREEN PHARMACY INC,LITTLE GREEN PHARMACY,1331 South Broadway,Denver,80210,2024-01-02,Stores,Adult-Use,,,,,,,,402-00675,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01174,PNP VENTURES LLC,HEADMASTER,319 Bonfoy Avenue,Colorado Springs,80909,2024-01-02,Stores,Adult-Use,,,,,,,,402-01174,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00060,BLAZIN OG LLC,BLAZIN OG LLC,4995 North Lima Street,Denver,80239,2024-01-02,Stores,Adult-Use,,,,,,,,402-00060,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01323,MC2 BOULDER LLC,MARQUIS CANNABIS,1909 Broadway Unit Lower Level ,Boulder,80302,2024-01-02,Stores,Adult-Use,,,,,,,,402-01323,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00555,LEVELS IV INC,"Levels IV, Inc.",389 Wadsworth Boulevard,Lakewood,80226,2024-01-02,Stores,Adult-Use,,,,,,,,402-00555,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00839,THE GREEN SOLUTION LLC,THE GREEN SOLUTION LLC,810 North College Avenue,Fort Collins,80524,2024-01-02,Stores,Adult-Use,,,,,,,,402-00839,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01077,LEVELS IV INC,LEVELS IV INC,5201 West 48th Avenue,Denver,80212,2024-01-02,Stores,Adult-Use,,,,,,,,402-01077,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00008,HERBAL OUTFITTERS LLC,The Green Joint,"2102 Airport Road, Suite A",Rifle,81650,2024-01-02,Stores,Adult-Use,,,,,,,,402-00008,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01002,H & M ENTERPRISE LLC,Medical Cannabis & Partners,"335 North Circle Drive, Suite 101",Colorado Springs,80909,2024-01-02,Stores,Adult-Use,,,,,,,,402-01002,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01338,GRAND MESA GROUP INC,PUR CANNABLISS,130 North Grand Mesa Drive,Cedaredge,81413,2024-01-02,Stores,Adult-Use,,,,,,,,402-01338,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01026,CANNA MEDS WELLNESS CENTER LLC,CANNA MEDS WELLNESS CENTER,2218 North Academy Place,Colorado Springs,80909,2024-01-02,Stores,Adult-Use,,,,,,,,402-01026,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01084,RJJ ACADEMY LLC,NATIVE ROOTS ACADEMY,1003 North Academy Boulevard,Colorado Springs,80909,2024-01-02,Stores,Adult-Use,,,,,,,,402-01084,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00957,CONCENTRATE LLC,WOLF PAC CANNABIS,74 North Federal Boulevard,Denver,80219,2024-01-02,Stores,Adult-Use,,,,,,,,402-00957,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00435,VIRTUAL MARKETING LLC,Maggie's Farm,"3055 East US Highway 50, Unit F",Canon City,81212,2024-01-02,Stores,Adult-Use,,,,,,,,402-00435,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00370,TITAN HEALTH LLC,UHerbs,800 Park Avenue West,Denver,80205,2024-01-02,Stores,Adult-Use,,,,,,,,402-00370,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00062,NATURES HERBS & WELLNESS CENTER,Natures Herbs & Wellness Center,540 27th Street,Garden City,80631,2024-01-02,Stores,Adult-Use,,,,,,,,402-00062,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01173,GREEN FARMS LLC,GREEN FARMS LLC,3629 Galley Road,Colorado Springs,80909,2024-01-02,Stores,Adult-Use,,,,,,,,402-01173,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00018,GREEN KIWI 1 LLC,LivWell,3955 North Oneida Street,Denver,80207,2024-01-02,Stores,Adult-Use,,,,,,,,402-00018,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00945,NATURE MED INC,KIND-MEDS,260 North Santa Fe Drive,Denver,80223,2024-01-02,Stores,Adult-Use,,,,,,,,402-00945,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00680,SWEETWATER PARTNERS LLC,Good Chemistry,330 East Colfax Avenue,Denver,80203,2024-01-02,Stores,Adult-Use,,,,,,,,402-00680,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00918,THE EPIC REMEDY LLC,The ER,4335 East Platte Avenue,Colorado Springs,80915,2024-01-02,Stores,Adult-Use,,,,,,,,402-00918,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00635,GM LAKEWOOD LLC,Golden Meds,2636 Youngfield Street,Lakewood,80215,2024-01-02,Stores,Adult-Use,,,,,,,,402-00635,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00347,PURE MEDICAL LLC,Pure,"207 West Rockrimmon Boulevard, Unit C",Colorado Springs,80919,2024-01-02,Stores,Adult-Use,,,,,,,,402-00347,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00170,SBUD LLC,Star Buds,1640 East Evans Avenue,Denver,80210,2024-01-02,Stores,Adult-Use,,,,,,,,402-00170,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00573,D & D CONSULTING INC,Kaya Cannabis,1075 South Fox Street,Denver,80223,2024-01-02,Stores,Adult-Use,,,,,,,,402-00573,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00135,LIVWELL XVI LLC,LivWell,4625 East Colfax Avenue,Denver,80220,2024-01-02,Stores,Adult-Use,,,,,,,,402-00135,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01335,PI DURANGO LLC,Lova Durango,"1135 South Camino Del Rio Drive, #220",Durango,81303,2024-01-02,Stores,Adult-Use,,,,,,,,402-01335,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00958,ZENGOLDS LLC,ZENGOLD'S,"5739 Bueno Drive, Suite D1",Fort Collins,80525,2024-01-02,Stores,Adult-Use,,,,,,,,402-00958,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01310,SBUD LLC,Star Buds,5238 West 44th Avenue,Mountain View,80212,2024-01-02,Stores,Adult-Use,,,,,,,,402-01310,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00409,BUILDING BETTER DAYS LLC,Reefer Madness,"4401 East 46th Avenue, Unit B",Denver,80216,2024-01-02,Stores,Adult-Use,,,,,,,,402-00409,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00793,RINO SUPPLY CO INC,Rino Supply Company,3100 Blake Street,Denver,80205,2024-01-02,Stores,Adult-Use,,,,,,,,402-00793,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01079,BK HOLDINGS LLC,The Herbal Center,1909 South Broadway,Denver,80210,2024-01-02,Stores,Adult-Use,,,,,,,,402-01079,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00872,LIVWELL XVI LLC,LivWell,2020 South Colorado Boulevard,Denver,80222,2024-01-02,Stores,Adult-Use,,,,,,,,402-00872,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00137,LIVWELL XVI LLC,LivWell,3460 West 32nd Avenue,Denver,80211,2024-01-02,Stores,Adult-Use,,,,,,,,402-00137,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-00939,ASCEND II LLC,Ascend Cannabis Co,3555 South Yosemite Street,Denver,80237,2024-01-02,Stores,Adult-Use,,,,,,,,402-00939,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01057,SDJ LLC,Living Rose Wellness,212 South 21st Street,Colorado Springs,80904,2024-01-02,Stores,Adult-Use,,,,,,,,402-01057,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01000,LIVWELL X LLC,LivWell,1015 2nd Street,Berthoud,80513,2024-01-02,Stores,Adult-Use,,,,,,,,402-01000,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01031,GREEN PHARM II LLC,Green Pharm,"4335 North Academy Boulevard, Suite 100",Colorado Springs,80918,2024-01-02,Stores,Adult-Use,,,,,,,,402-01031,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402-01020,8058 LLC,Mighty Tree,4755 North Lipan Street,Denver,80211,2024-01-02,Stores,Adult-Use,,,,,,,,402-01020,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
