application_status,license_type,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,ccclastupdated,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,7/17/2023,COMPLETE,MR284606,"Leaf Joy, LLC",Gill,1354.0,,,1 Main Road,,Gill,MA,1354,POINT (-72.573941 42.587072),POINT (-72.548405 42.6139030),1 Main Road,,Gill,MA,1354,88-1028227,MRN284606,Mon Apr 04 2022 10:14:24 GMT-0400 (Eastern Daylight Time),Fri Apr 01 2022 12:42:07 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Mar 07 2022 11:58:18 GMT-0500 (Eastern Standard Time),Fri May 06 2022 09:54:46 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 12:01:24 GMT-0400 (Eastern Daylight Time),Wed Mar 01 2023 03:00:00 GMT-0500 (Eastern Standard Time),Fri Mar 01 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,1354.0,Gill,Franklin,42.587072,-72.573941,Western MA,1/29/2024,,MA,42.613903,-72.548405,,"Leaf Joy, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,11/30/2021,COMPLETE,MR283143,Uma Flowers LLC,Pepperell,1463.0,,,109 Raffaele Drive,,Waltham,MA,2452,POINT (-71.275566 42.459085),POINT (-71.572796 42.6664239),109 Raffaele Drive,,Waltham,MA,2452,84-3613796,MRN283143,Mon May 11 2020 10:56:16 GMT-0400 (Eastern Daylight Time),Thu Mar 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,,Woman-Owned Business | Minority-Owned Business,,,Thu Oct 14 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Nov 23 2019 14:58:34 GMT-0500 (Eastern Standard Time),Thu May 21 2020 14:42:02 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:56:16 GMT-0400 (Eastern Daylight Time),Thu Jan 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),Tue Jan 21 2025 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,1463.0,Pepperell,Middlesex,42.459085,-71.275566,Central MA,1/29/2024,,MA,42.666424,-71.572797,,Uma Flowers LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,1/24/2022,COMPLETE,MR281735,"202 Trading Company, Inc. d/b/a Bud Barn",Winchendon,1475.0,,,682 Spring Street,,Winchendon,MA,1475,POINT (-71.840209 42.329642),POINT (-72.008574 42.66639),25 Palmer Rd.,,Framingham,MA,1702,85-0535116,MRN281735,Mon May 18 2020 10:11:25 GMT-0400 (Eastern Daylight Time),Mon Mar 04 2019 00:00:00 GMT-0500 (Eastern Standard Time),Fri Aug 07 2020 11:01:08 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Woman-Owned Business,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jul 22 2018 18:47:25 GMT-0400 (Eastern Daylight Time),Thu May 21 2020 13:48:52 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 14:24:45 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Sep 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1475.0,Winchendon,Worcester,42.329642,-71.840209,Central MA,1/29/2024,,MA,42.66639,-72.008575,,"202 Trading Company, Inc. d/b/a Bud Barn",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MR284995,Elevated Roots III LLC,Abington,2338.0,,,1423 Bedford Street,,Abington,MA,2351,POINT (-70.818958 41.978877),POINT (-70.951617 42.141441),44 William C. Gould Way,,Kingston,MA,2364,88-3735625,MRN284995,Mon Aug 14 2023 18:26:53 GMT-0400 (Eastern Daylight Time),Fri Jul 28 2023 14:05:07 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,,Fri Jul 21 2023 08:56:23 GMT-0400 (Eastern Daylight Time),Fri Aug 25 2023 11:03:33 GMT-0400 (Eastern Daylight Time),Thu Oct 12 2023 12:49:27 GMT-0400 (Eastern Daylight Time),,,1500.0,,2338.0,Halifax,Plymouth,41.978877,-70.818958,Southeast and Cape,1/29/2024,Units 4 and 5,MA,42.141441,-70.951618,,Elevated Roots III LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MR284262,EC Developments,Greenfield,1301.0,,,1385 Bernardston Road,,Greenfield,MA,1301,POINT (-72.573941 42.587072),POINT (-72.561356 42.650917),1385 Classic Court,Unit 330,Mount Pleasant,SC,29466,87-0898962,MRN284262,Thu Oct 28 2021 15:06:59 GMT-0400 (Eastern Daylight Time),Thu Aug 05 2021 13:50:18 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,,Fri May 28 2021 06:11:55 GMT-0400 (Eastern Daylight Time),Fri Oct 29 2021 14:13:08 GMT-0400 (Eastern Daylight Time),Thu Jan 20 2022 15:32:02 GMT-0500 (Eastern Standard Time),Fri Apr 22 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Apr 22 2023 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1301.0,Greenfield,Franklin,42.587072,-72.573941,Western MA,1/29/2024,,MA,42.650917,-72.561356,,EC Developments,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,7/1/2021,COMPLETE,MR282670,"KRD Growers, LLC",Clinton,1510.0,,,155 State Street,Suite 3,Newburyport,MA,1950,POINT (-71.840209 42.329642),POINT (-71.689036 42.424464),155 State Street,Suite 3,Newburyport,MA,1950,83-2994003,MRN282670,Wed May 20 2020 12:45:54 GMT-0400 (Eastern Daylight Time),Fri Nov 15 2019 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,,,,Not a DBE,,,Thu Jun 17 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Wed May 01 2019 16:07:19 GMT-0400 (Eastern Daylight Time),Thu May 21 2020 10:25:11 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:09:50 GMT-0400 (Eastern Daylight Time),Thu Dec 14 2023 03:00:00 GMT-0500 (Eastern Standard Time),Wed Dec 18 2024 03:00:00 GMT-0500 (Eastern Standard Time),300.0,10000.0,1510.0,Clinton,Worcester,42.329642,-71.840209,Central MA,1/29/2024,,MA,42.424464,-71.689036,,"KRD Growers, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MR282666,"THE HIGH END WELLNESS COMPANY, LLC",Holyoke,1040.0,,,384 DWIGHT STREET,,HOLYOKE,MA,1040,POINT (-72.571312 42.12756),POINT (-72.604607 42.204729),PO BOX 151,,HOLYOKE,MA,1041,84-5038160,MRN282666,Tue May 05 2020 12:19:59 GMT-0400 (Eastern Daylight Time),Tue Mar 31 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,Tue Apr 30 2019 17:52:25 GMT-0400 (Eastern Daylight Time),Thu May 21 2020 13:22:30 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 15:56:49 GMT-0400 (Eastern Daylight Time),,,1500.0,,1040.0,Holyoke,Hampden,42.12756,-72.571312,Western MA,1/29/2024,,MA,42.204729,-72.604608,,"THE HIGH END WELLNESS COMPANY, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MR284839,GVLP Corporation,Chelsea,2150.0,,,320 Revere Beach Parkway,,Chelsea,MA,2150,POINT (-71.073493 42.334948),POINT (-71.029608 42.4047709),311 Dale Street,,North Andover,MA,1845,87-3577419,MRN284839,Fri Mar 03 2023 07:35:08 GMT-0500 (Eastern Standard Time),Mon Jan 30 2023 16:30:44 GMT-0500 (Eastern Standard Time),Mon Jun 19 2023 11:41:05 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Not a DBE,,,,Fri Dec 16 2022 13:22:24 GMT-0500 (Eastern Standard Time),Fri Mar 03 2023 10:47:30 GMT-0500 (Eastern Standard Time),Thu May 11 2023 14:18:01 GMT-0400 (Eastern Daylight Time),Mon Jun 19 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2150.0,Chelsea,Suffolk,42.334948,-71.073493,Metro Boston,1/29/2024,,MA,42.404771,-71.029609,,GVLP Corporation,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,8/11/2021,COMPLETE,MR282049,"Nature's Remedy of Massachusetts, Inc.",Rowley,1969.0,,,264 Newburyport Turnpike,,Rowley,MA,1969,POINT (-70.970827 42.635475),POINT (-70.892753 42.7161550),110 Turnpike Road Suite 114,,Westborough,MA,1851,82-0797573,MRN282049,Wed Jan 16 2019 16:33:31 GMT-0500 (Eastern Standard Time),Tue Dec 11 2018 00:00:00 GMT-0500 (Eastern Standard Time),Fri May 10 2019 13:40:43 GMT-0400 (Eastern Daylight Time),True,,,,,,,,RPA201923,Not a DBE,,,Thu Feb 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Wed Nov 14 2018 11:09:33 GMT-0500 (Eastern Standard Time),Thu Feb 14 2019 00:00:00 GMT-0500 (Eastern Standard Time),Mon Apr 29 2019 11:53:48 GMT-0400 (Eastern Daylight Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 12 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,1969.0,Rowley,Essex,42.635475,-70.970827,Northeast,1/29/2024,,MA,42.716155,-70.892754,,"Nature's Remedy of Massachusetts, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,,COMPLETE,MR281408,The Corner Emporium LLC.,Worcester,1608.0,,,40 Jackson Street,Suite 420,Worcester,MA,1608,POINT (-71.840209 42.329642),POINT (-71.808267 42.2556519),46 FLORENCE STREET,,Worcester,MA,1610,85-2363467,MRN281408,Thu Oct 29 2020 22:15:19 GMT-0400 (Eastern Daylight Time),Wed Oct 07 2020 14:32:48 GMT-0400 (Eastern Daylight Time),,True,yes,EE202178,APPROVED,EE202178,EE202178,,,,Not a DBE,,,,Tue May 08 2018 20:46:58 GMT-0400 (Eastern Daylight Time),Thu Nov 05 2020 10:20:55 GMT-0500 (Eastern Standard Time),Thu Feb 11 2021 13:41:06 GMT-0500 (Eastern Standard Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jun 11 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,1608.0,Worcester,Worcester,42.329642,-71.840209,Central MA,1/29/2024,Suite 420,MA,42.255652,-71.808267,SE303851,The Corner Emporium LLC.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
