application_status,license_type,application_classification,application_classification_split_1,application_classification_split_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,ccclastupdated,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,3/6/2023,COMPLETE,MR282731,Solar Therapeutics Inc.,Dartmouth,2747.0,,,493 Faunce Corner Road,,Dartmouth,MA,2747,POINT (-71.102131 41.778329),POINT (-70.991175 41.6702450),1400 Brayton Point Rd,,SOMERSET,MA,2725,82-3644660,MRN282731,Tue May 24 2022 15:38:44 GMT-0400 (Eastern Daylight Time),Wed Apr 08 2020 00:00:00 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,Thu Feb 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Fri May 24 2019 05:41:50 GMT-0400 (Eastern Daylight Time),Fri Jun 10 2022 10:26:29 GMT-0400 (Eastern Daylight Time),Fri Sep 16 2022 14:03:59 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 28 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2747.0,North Dartmouth,Bristol,41.778329,-71.102131,,,MA,41.670245,-70.991176,,2/12/2024,Solar Therapeutics Inc.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,7/1/2020,COMPLETE,MR281778,Canna Provisions Inc,Holyoke,1040.0,,,220 Housatonic Street,,Lee,MA,1238,POINT (-72.571312 42.12756),POINT (-72.604607 42.204729),220 Housatonic St,,Lee,MA,1238,82-5377573,MRN281778,Mon Sep 03 2018 19:06:36 GMT-0400 (Eastern Daylight Time),Wed Nov 07 2018 00:00:00 GMT-0500 (Eastern Standard Time),Tue Apr 02 2019 15:36:37 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Not a DBE,,,Thu Apr 09 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Aug 04 2018 15:55:52 GMT-0400 (Eastern Daylight Time),Thu Nov 08 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Feb 21 2019 16:08:25 GMT-0500 (Eastern Standard Time),Thu Feb 08 2024 03:00:00 GMT-0500 (Eastern Standard Time),Sat Apr 05 2025 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,1040.0,Holyoke,Hampden,42.12756,-72.571312,Western MA,,MA,42.204729,-72.604608,,2/12/2024,Canna Provisions Inc,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,PROVISIONAL CONSIDERATION,,PAYMENT_PENDING,MR284981,Flora Holdings LLC,Waltham,2451.0,,,221 Bear Hill Road,,Waltham,MA,2451,POINT (-71.275566 42.459085),POINT (-71.264663 42.3836480),27 Franklin Street,,Wakefiled,MA,1880,85-2685950,MRN284981,Mon Sep 11 2023 15:44:43 GMT-0400 (Eastern Daylight Time),Wed Aug 16 2023 11:44:49 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Woman-Owned Business,,,,Thu Jun 29 2023 16:31:04 GMT-0400 (Eastern Daylight Time),Fri Sep 15 2023 13:07:55 GMT-0400 (Eastern Daylight Time),Thu Dec 14 2023 14:28:52 GMT-0500 (Eastern Standard Time),,,1500.0,,2451.0,Waltham,Middlesex,42.459085,-71.275566,Northeast,,MA,42.383648,-71.264664,,2/12/2024,Flora Holdings LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,9/2/2020,COMPLETE,MR282695,Community Growth Partners Great Barrington Operations LLC,Great Barrington,1230.0,,,783 South Main Street,,Great Barrington,MA,1230,POINT (-73.209889 42.396128),POINT (-73.362834 42.1791849),783 South Main Street,,Great Barrington,MA,1230,83-4030617,MRN282695,Fri Sep 06 2019 14:57:33 GMT-0400 (Eastern Daylight Time),Wed May 29 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 09 2020 17:24:56 GMT-0500 (Eastern Standard Time),True,,,INCOMPLETE,EE202038,EE202207,,,,Not a DBE,,,Thu Aug 06 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Wed May 08 2019 17:45:38 GMT-0400 (Eastern Daylight Time),Fri Sep 13 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 07 2019 13:33:35 GMT-0500 (Eastern Standard Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue May 21 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,1230.0,Great Barrington,Berkshire,42.396128,-73.209889,Western MA,,MA,42.179185,-73.362834,,2/12/2024,Community Growth Partners Great Barrington Operations LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,5/15/2023,COMPLETE,MR284576,Pure Oasis LLC,Boston,2210.0,,,85 Devonshire Street,,Boston,MA,2210,POINT (-71.073493 42.334948),POINT (-71.057440 42.3577670),"398 Columbus Ave, Suite 148",Suite 148,Boston,MA,2116,82-5029450,MRN284576,Wed May 04 2022 14:01:21 GMT-0400 (Eastern Daylight Time),Tue Mar 08 2022 13:05:06 GMT-0500 (Eastern Standard Time),Tue Jul 19 2022 09:03:55 GMT-0400 (Eastern Daylight Time),True,yes,EE201868,APPROVED,EE201868,EE201868,,,,Not a DBE,,,Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jan 25 2022 17:06:10 GMT-0500 (Eastern Standard Time),Fri May 27 2022 07:16:47 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 12:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Sep 18 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,2210.0,Boston,Suffolk,42.334948,-71.073493,Metro Boston,,MA,42.357767,-71.057441,,2/12/2024,Pure Oasis LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,6/28/2022,COMPLETE,MR282961,"Cosmopolitan Dispensary, Inc.",Fall River,2720.0,,,82 Hartwell Street,,Fall River,MA,2720,POINT (-71.102131 41.778329),POINT (-71.153160 41.6983639),60 Rock Street,,Fall River,MA,2720,84-2360365,MRN282961,Fri Sep 11 2020 12:37:53 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 15:04:39 GMT-0400 (Eastern Daylight Time),Fri Nov 20 2020 18:49:28 GMT-0500 (Eastern Standard Time),True,no,,,,,,,,Not a DBE,,,Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Aug 29 2019 17:36:41 GMT-0400 (Eastern Daylight Time),Thu Sep 17 2020 11:04:45 GMT-0400 (Eastern Daylight Time),Thu Nov 19 2020 16:18:55 GMT-0500 (Eastern Standard Time),Thu Nov 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Wed Nov 20 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,2720.0,Fall River,Bristol,41.778329,-71.102131,Southeast and Cape,,MA,41.698364,-71.153161,,2/12/2024,"Cosmopolitan Dispensary, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,12/15/2021,COMPLETE,MR282337,"Commonwealth Alternative Care, Inc.",Taunton,2780.0,,,30 Mozzone Boulevard,,Taunton,MA,2780,POINT (-71.102131 41.778329),POINT (-71.063782 41.873199),30 Mozzone Boulevard,,Taunton,MA,2780,37-1834779,MRN282337,Thu Jun 10 2021 09:26:55 GMT-0400 (Eastern Daylight Time),Mon Feb 11 2019 00:00:00 GMT-0500 (Eastern Standard Time),,True,no,,,,,APPROVED,RP201926,RP201926,Not a DBE,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Fri Jan 25 2019 21:28:35 GMT-0500 (Eastern Standard Time),Fri Jun 25 2021 10:40:09 GMT-0400 (Eastern Daylight Time),Thu Aug 12 2021 13:57:35 GMT-0400 (Eastern Daylight Time),Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Aug 26 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,2780.0,Taunton,Bristol,41.778329,-71.102131,Southeast and Cape,,MA,41.873199,-71.063782,,2/12/2024,"Commonwealth Alternative Care, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,,COMPLETE,MR283784,"Leaf Relief, Inc.",Brockton,2301.0,,,165 Westgate Drive,,Brockton,MA,2301,POINT (-70.818958 41.978877),POINT (-71.050234 42.0938019),1280 Belmont Street,,Brockton,MA,2301,83-3845034,MRN283784,Fri Jan 01 2021 10:21:25 GMT-0500 (Eastern Standard Time),Fri Dec 11 2020 16:13:54 GMT-0500 (Eastern Standard Time),,True,no,,,,,,,,Not a DBE,,,,Fri Sep 18 2020 13:05:34 GMT-0400 (Eastern Daylight Time),Fri Jan 08 2021 14:36:13 GMT-0500 (Eastern Standard Time),Fri Apr 16 2021 13:55:36 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Sep 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2301.0,Brockton,Plymouth,41.978877,-70.818958,Southeast and Cape,,MA,42.093802,-71.050234,,2/12/2024,"Leaf Relief, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,4/10/2023,COMPLETE,MR282696,"Standard Naturals, LLC",Malden,2148.0,,,7 Linehurst Rd,,Malden,MA,2148,POINT (-71.275566 42.459085),POINT (-71.025721 42.4435580),296 Main Street,,Everett,MA,2149,83-3136384,MRN282696,Thu Apr 08 2021 19:06:22 GMT-0400 (Eastern Daylight Time),Fri Apr 02 2021 09:34:26 GMT-0400 (Eastern Daylight Time),,True,no,,,,,,,,Not a DBE,,,Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Thu May 09 2019 09:58:51 GMT-0400 (Eastern Daylight Time),Fri Apr 30 2021 09:04:38 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 11:13:48 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Jul 27 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2148.0,Malden,Middlesex,42.459085,-71.275566,Northeast,,MA,42.443558,-71.025721,,2/12/2024,"Standard Naturals, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,12/8/2021,COMPLETE,MR282881,Frozen 4 Corporatioon,Marshfield,2050.0,,,618 Columbia Road,,Dorchester,MA,2125,POINT (-70.818958 41.978877),POINT (-70.758618 42.1062799),8 Bayridge Lane,,Duxbury,MA,2332,83-2341577,MRN282881,Thu Mar 12 2020 15:10:52 GMT-0400 (Eastern Daylight Time),Fri Feb 07 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri Jun 05 2020 14:06:54 GMT-0400 (Eastern Daylight Time),True,,,,,EEA201955,,,,Not a DBE,,,Thu Nov 18 2021 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jul 22 2019 14:25:27 GMT-0400 (Eastern Daylight Time),Thu Mar 19 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 04 2020 14:13:00 GMT-0400 (Eastern Daylight Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,2050.0,Marshfield,Plymouth,41.978877,-70.818958,Southeast and Cape,,MA,42.10628,-70.758619,,2/12/2024,Frozen 4 Corporatioon,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,COMMENCE OPS,3/24/2021,COMPLETE,MR282937,"Legal Greens, LLC",Brockton,2301.0,,,73-75 Pleasant St,,Brockton,MA,2301,POINT (-70.818958 41.978877),POINT (-71.022191 42.0857990),"71 Legion Pkwy, suite 25",,Brockton,MA,2301,83-0741086,MRN282937,Mon Dec 16 2019 13:13:34 GMT-0500 (Eastern Standard Time),Tue Oct 15 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Jun 05 2020 12:49:26 GMT-0400 (Eastern Daylight Time),True,,,,,EEA202396,,,,Minority-Owned Business | Woman-Owned Business,,,Thu Mar 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Fri Aug 16 2019 21:20:49 GMT-0400 (Eastern Daylight Time),Wed Dec 18 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 05 2020 12:21:29 GMT-0500 (Eastern Standard Time),Thu Jun 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,2301.0,Brockton,Plymouth,41.978877,-70.818958,Southeast and Cape,,MA,42.085799,-71.022191,,2/12/2024,"Legal Greens, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,12/17/2018,COMPLETE,MR281252,Pharmacannis Massachusetts Inc.,Wareham,2571.0,,,112 Main Street,,Wareham,MA,2571,POINT (-70.818958 41.978877),POINT (-70.713284 41.7560209),112 Main Street,PO Box 391,Wareham,MA,2571,46-3307025,MRN281252,Thu Jul 05 2018 10:38:43 GMT-0400 (Eastern Daylight Time),Thu May 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Aug 10 2018 10:49:41 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201821,RP201821,Not a DBE,,,Thu Nov 01 2018 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 17 2018 13:42:58 GMT-0400 (Eastern Daylight Time),Thu Jul 05 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Aug 09 2018 16:29:44 GMT-0400 (Eastern Daylight Time),Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Oct 14 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,2571.0,Wareham,Plymouth,41.978877,-70.818958,Southeast and Cape,,MA,41.756021,-70.713285,,2/12/2024,Pharmacannis Massachusetts Inc.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
