application_status,license_type,application_classification,application_classification_1,application_classification_2,approved_license_type,commence_operations_date,license_status,license_number,business_legal_name,premise_city,establishment_zipcode,business_email,business_phone,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,issue_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,expiration_date,pmt_amount,lic_fee_amount,premise_zip_code,town,premise_county,county_lat,county_long,region,establishment_address_2,establishment_state,premise_latitude,premise_longitude,approved_se_number,ccclastupdated,business_dba_name,premise_state,licensing_authority_id,licensing_authority,business_structure,business_owner_name,parcel_number,business_image_url,business_website
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,10/13/2023,COMPLETE,MR284616,"UC Retail, LLC",Groton,1450.0,,,489 Main Street,Unit A,Groton,MA,1450,POINT (-71.275566 42.459085),POINT (-71.585875 42.6198800),601 Fitchburg State Road,,Ashby,MA,1431,87-2349254,MRN284616,Wed Jul 20 2022 14:21:48 GMT-0400 (Eastern Daylight Time),Wed Apr 20 2022 09:40:52 GMT-0400 (Eastern Daylight Time),Fri Nov 11 2022 11:03:36 GMT-0500 (Eastern Standard Time),True,no,,,,,,,,Not a DBE,,,Thu Sep 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Mar 14 2022 11:32:05 GMT-0400 (Eastern Daylight Time),Mon Aug 08 2022 10:19:01 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 16:28:13 GMT-0400 (Eastern Daylight Time),Thu Nov 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Mon Nov 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),1500.0,10000.0,1450.0,Groton,Middlesex,42.459085,-71.275566,Central MA,Unit A,MA,42.61988,-71.585876,,3/22/2024,"UC Retail, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,7/20/2021,COMPLETE,MR282742,"Olde World Remedies, Inc.",Lynn,1901.0,,,50 Congress Street,Suite 420,Boston,MA,2109,POINT (-70.970827 42.635475),POINT (-70.972917 42.4564870),50 Congress Street,Suite 420,Boston,MA,2109,47-4390517,MRN282742,Fri Dec 06 2019 17:48:09 GMT-0500 (Eastern Standard Time),Thu Sep 19 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,True,,,,,,,,RPA201932,Not a DBE,,,Thu Jun 17 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Tue May 28 2019 14:34:23 GMT-0400 (Eastern Daylight Time),Wed Dec 11 2019 00:00:00 GMT-0500 (Eastern Standard Time),Fri Feb 07 2020 09:22:33 GMT-0500 (Eastern Standard Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed May 15 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,1901.0,Lynn,Essex,42.635475,-70.970827,Northeast,,MA,42.456487,-70.972918,,3/22/2024,"Olde World Remedies, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,1/16/2024,COMPLETE,MR284185,Forest Wilde LLC,Lee,1238.0,,,75 Chestnut Street,,Lee,MA,1238,POINT (-73.209889 42.396128),POINT (-73.262462 42.3265150),75 Chestnut Street,,Lee,MA,1238,84-3709838,MRN284185,Sat Jul 10 2021 15:51:07 GMT-0400 (Eastern Daylight Time),Mon May 10 2021 13:09:15 GMT-0400 (Eastern Daylight Time),Mon Jul 25 2022 21:32:27 GMT-0400 (Eastern Daylight Time),True,no,,,,,,,,Woman-Owned Business,,,Thu Dec 14 2023 03:00:00 GMT-0500 (Eastern Standard Time),Tue Mar 23 2021 12:43:00 GMT-0400 (Eastern Daylight Time),Fri Jul 16 2021 09:04:49 GMT-0400 (Eastern Daylight Time),Thu Oct 14 2021 13:09:20 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Jul 25 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,1238.0,Lee,Berkshire,42.396128,-73.209889,Western MA,,MA,42.326515,-73.262463,,3/22/2024,Forest Wilde LLC,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,7/6/2020,COMPLETE,MR281525,Boston Bud Factory Inc.,Holyoke,1040.0,,,73 Sargeant St,,Holyoke,MA,1040,POINT (-72.571312 42.12756),POINT (-72.609660 42.198338),37 Commercial St,,Holyoke,MA,1040,83-0540049,MRN281525,Mon Apr 01 2019 21:34:30 GMT-0400 (Eastern Daylight Time),Fri Sep 14 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jun 27 2019 16:15:03 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Not a DBE,,,Thu Apr 09 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Jun 01 2018 14:39:45 GMT-0400 (Eastern Daylight Time),Wed Apr 10 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu May 30 2019 13:50:58 GMT-0400 (Eastern Daylight Time),Thu Feb 08 2024 03:00:00 GMT-0500 (Eastern Standard Time),Sat Feb 08 2025 03:00:00 GMT-0500 (Eastern Standard Time),300.0,5000.0,1040.0,Holyoke,Hampden,42.12756,-72.571312,Western MA,,MA,42.198338,-72.60966,SE304718,3/22/2024,Boston Bud Factory Inc.,MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,COMMENCE OPS,9/27/2022,COMPLETE,MR281301,"JimBuddys Rec Shop, Inc.",Chicopee,1020.0,,,1269 Memorial Drive,,Chicopee,MA,1020,POINT (-72.571312 42.12756),POINT (-72.575481 42.19238),1269 Memorial Drive,,Chicopee,MA,1020,83-0904086,MRN281301,Wed Jun 09 2021 12:07:58 GMT-0400 (Eastern Daylight Time),Wed Oct 16 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,True,yes,SE303995,,,,,,,Not a DBE,,,Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Apr 22 2018 19:28:21 GMT-0400 (Eastern Daylight Time),Wed Jun 23 2021 09:41:36 GMT-0400 (Eastern Daylight Time),Thu Jul 15 2021 16:36:02 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 28 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,5000.0,1020.0,Chicopee,Hampden,42.12756,-72.571312,Western MA,,MA,42.19238,-72.575482,SE303995,3/22/2024,"JimBuddys Rec Shop, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,COMMENCE OPS,8/31/2020,COMPLETE,MR282825,"BWell Holdings, Inc",Provincetown,2657.0,,,220 Commercial St,Unit 2,Provincetown,MA,2657,POINT (-70.301811 41.698999),POINT (-70.188790 42.0497780),336 Commercial St,Unit 5,Provincetown,MA,2657,83-4427456,MRN282825,Tue Feb 04 2020 14:17:46 GMT-0500 (Eastern Standard Time),Thu Jan 02 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 15:52:54 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business | Veteran-Owned Business | Woman-Owned Business",,,Thu Aug 06 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 01 2019 14:32:42 GMT-0400 (Eastern Daylight Time),Wed Feb 12 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 15:04:16 GMT-0400 (Eastern Daylight Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Aug 15 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,2657.0,Provincetown,Barnstable,41.698999,-70.301811,Southeast and Cape,Unit 2,MA,42.049778,-70.188791,,3/22/2024,"BWell Holdings, Inc",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,4/20/2021,COMPLETE,MR281450,"Hennep, Inc.",Provincetown,2657.0,,,246 Commercial St.,,Provincetown,MA,2657,POINT (-70.301811 41.698999),POINT (-70.187934 42.0506200),1330 Boylston St.,Unit 202,Boston,MA,2215,83-0576823,MRN281450,Thu Dec 26 2019 12:42:46 GMT-0500 (Eastern Standard Time),Mon Aug 26 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Apr 13 2020 19:19:34 GMT-0400 (Eastern Daylight Time),True,,,,,,,,,Not a DBE,,,Thu Mar 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Fri May 18 2018 09:26:01 GMT-0400 (Eastern Daylight Time),Fri Feb 14 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 15:14:52 GMT-0400 (Eastern Daylight Time),Thu Jul 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 17 2024 04:00:00 GMT-0400 (Eastern Daylight Time),300.0,10000.0,2657.0,Provincetown,Barnstable,41.698999,-70.301811,Southeast and Cape,,MA,42.05062,-70.187935,,3/22/2024,"Hennep, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,PROVISIONAL LICENSE,,COMPLETE,MR284253,"Lemonnade Springfield, LLC",Springfield,1105.0,,,595 Main Street,,Springfield,MA,1105,POINT (-72.571312 42.12756),POINT (-72.580787 42.0942420),4675 MacArthur Court Floor 15,,Newport Beach,CA,92660,86-3974146,MRN284253,Thu Feb 03 2022 09:58:10 GMT-0500 (Eastern Standard Time),Mon Jun 21 2021 13:25:08 GMT-0400 (Eastern Daylight Time),Mon Apr 03 2023 15:22:05 GMT-0400 (Eastern Daylight Time),True,yes,EE202373,,,EE202373,,,,Not a DBE,,,,Wed May 19 2021 12:43:53 GMT-0400 (Eastern Daylight Time),Mon Feb 07 2022 14:56:15 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:07:25 GMT-0400 (Eastern Daylight Time),Thu Mar 07 2024 03:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 03 2025 04:00:00 GMT-0400 (Eastern Daylight Time),,5000.0,1105.0,Springfield,Hampden,42.12756,-72.571312,Western MA,,MA,42.094242,-72.580787,,3/22/2024,"Lemonnade Springfield, LLC",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,COMMENCE OPS,12/23/2022,COMPLETE,MR283204,"New Leaf Enterprises, Inc.",Fall River,2721.0,,,360 Second Street,,Fall River,MA,2721,POINT (-71.102131 41.778329),POINT (-71.184146 41.6736610),360 Second Street,,Fall River,MA,2721,84-3956316,MRN283204,Mon Feb 03 2020 15:37:29 GMT-0500 (Eastern Standard Time),Thu Jan 16 2020 00:00:00 GMT-0500 (Eastern Standard Time),,True,,,,,,,,,Not a DBE,,,Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Dec 26 2019 17:10:07 GMT-0500 (Eastern Standard Time),Tue May 26 2020 14:00:17 GMT-0400 (Eastern Daylight Time),Thu Jul 09 2020 15:24:33 GMT-0400 (Eastern Daylight Time),Thu Dec 14 2023 03:00:00 GMT-0500 (Eastern Standard Time),Wed Dec 18 2024 03:00:00 GMT-0500 (Eastern Standard Time),,5000.0,2721.0,Fall River,Bristol,41.778329,-71.102131,Southeast and Cape,,MA,41.673661,-71.184147,SE304200,3/22/2024,"New Leaf Enterprises, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,10/3/2023,COMPLETE,MR281787,"Holistic Industries, Inc.",Somerville,2143.0,,,304 Somerville Avenue,,Somerville,MA,2143,POINT (-71.275566 42.459085),POINT (-71.097522 42.3800400),1900 West Park Drive,Suite 280,Westborough,MA,1581,47-5374980,MRN281787,Fri Jan 20 2023 14:49:42 GMT-0500 (Eastern Standard Time),Fri Aug 05 2022 15:48:14 GMT-0400 (Eastern Daylight Time),Thu May 11 2023 15:44:55 GMT-0400 (Eastern Daylight Time),True,no,,,,,APPROVED,RP201840,RP201840,Not a DBE,,,Thu Aug 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Aug 07 2018 14:12:46 GMT-0400 (Eastern Daylight Time),Fri Jan 27 2023 15:39:57 GMT-0500 (Eastern Standard Time),Thu May 11 2023 14:27:08 GMT-0400 (Eastern Daylight Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Sat May 11 2024 04:00:00 GMT-0400 (Eastern Daylight Time),1500.0,10000.0,2143.0,Somerville,Middlesex,42.459085,-71.275566,Metro Boston,,MA,42.38004,-71.097523,,3/22/2024,"Holistic Industries, Inc.",MA,MACCC,Massachusetts Cannabis Control Commission,,,,,
