business_legal_name,license_type,license_status,address,details_url,license_number,issue_date,expiration_date,business_owner_name,business_email,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,business_image_url,business_website,business_phone,id,business_dba_name,data_refreshed_date
"RMC NM, Inc.",Cannabis Retailer,Active,"138 Anthony Drive, Anthony, NM, 88021",,CCD-2022-0181-001,3/23/2022,3/23/2025,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-001,"RMC NM, Inc.",2024-02-06T00:46:51.386169
"RMC NM, Inc.",Cannabis Retailer,Active,"121 Sandoval Street, Units 1-2,  B-1,  B-2,  B-3,  B-4,  B-5, Santa Fe, NM, 87501",,CCD-2022-0181-002,3/23/2022,3/23/2025,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-002,"RMC NM, Inc.",2024-02-06T00:46:51.386169
"RMC NM, Inc.",Cannabis Retailer,Active,"106 South First Street, Clayton, NM, 88415",,CCD-2022-0181-003,3/23/2022,3/23/2025,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-003,"RMC NM, Inc.",2024-02-06T00:46:51.386169
"RMC NM, Inc.",Cannabis Retailer,Active,"280 Date Street, Truth or Consequences, NM, 87901",,CCD-2022-0181-004,3/23/2022,3/23/2025,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-004,"RMC NM, Inc.",2024-02-06T00:46:51.386169
"RMC NM, Inc.",Cannabis Retailer,Active,"1121 US 491, Gallup, NM, 87301",,CCD-2022-0181-005,3/23/2022,3/23/2025,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-005,"RMC NM, Inc.",2024-02-06T00:46:51.386169
"RMC NM, Inc.",Cannabis Retailer,Active,"1300 White Sands Blvd, Alamogordo, NM, 88310",,CCD-2022-0181-006,3/23/2022,3/23/2025,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-006,"RMC NM, Inc.",2024-02-06T00:46:51.386169
"RMC NM, Inc.",Cannabis Retailer,Active,"3495 Bataan W Memorial Drive,  Suite A, Las Cruces, NM, 88012",,CCD-2022-0181-007,3/23/2022,3/23/2025,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-007,"RMC NM, Inc.",2024-02-06T00:46:51.386169
"RMC NM, Inc.",Cannabis Retailer,Active,"412 Silver Heights Blvd, Silver City, NM, 88061",,CCD-2022-0181-008,3/23/2022,3/23/2025,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-008,"RMC NM, Inc.",2024-02-06T00:46:51.386169
"RMC NM, Inc.",Cannabis Retailer,Active,"101 Camino De La Placita, Taos, NM, 87571",,CCD-2022-0181-009,3/23/2022,3/23/2025,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-009,"RMC NM, Inc.",2024-02-06T00:46:51.386169
"RMC NM, Inc.",Cannabis Retailer,Active,"2800 E. Main Street, Space B, Farmington, NM, 87402",,CCD-2022-0181-010,3/23/2022,3/23/2025,Natalie Ricks,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0181-010,"RMC NM, Inc.",2024-02-06T00:46:51.386169
