business_legal_name,license_type,license_designation,premise_city,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,business_website,business_dba_name,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_zip_code
Rutland Craft Cannabis LTD Co,"
SCLT0001
",Adult-Use,"Brandon, MB, Canada",0,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Rutland Craft Cannabis LTD Co,2023-04-25T08:24:42.203784,49.8437486,-99.95148069999999,,"Brandon, MB, Canada","Brandon, MB, Canada"
Doh Yey Smokieez,"
SCLT0005
",Adult-Use,"Bristol, UK",1,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Doh Yey Smokieez,2023-04-25T08:24:42.203784,51.454513,-2.58791,Bristol City,"Bristol, UK","Bristol, UK"
Epona Farms LLC,"
SCLT0015
",Adult-Use,"Salisbury, UK",2,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Epona Farms LLC,2023-04-25T08:24:42.203784,51.068785,-1.794472,Wiltshire,"Salisbury, UK","Salisbury, UK"
Valley Organics LLC,"
SCLT0004
",Adult-Use,"Jeffersonville, IN, USA",3,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Valley Organics LLC,2023-04-25T08:24:42.203784,38.2775702,-85.7371847,Clark County,"Jeffersonville, IN, USA","Jeffersonville, IN, USA"
"Clover Hill Cannabis, LLC","
SCLT0009
",Adult-Use,Strafford,4,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Clover Hill Cannabis, LLC",2023-04-25T08:24:42.203784,43.8356198,-72.3662166,Orange County,South Strafford,VT
Duke's Diesel LLP,"
SCLT0013
",Adult-Use,"Essex, UK",5,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Duke's Diesel LLP,2023-04-25T08:24:42.203784,51.57424469999999,0.4856781,Essex,"Essex, UK","Essex, UK"
"VT Green Castle Reserve, LLC (DBA - VT Green Castle)","
SCLT0023
",Adult-Use,,6,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"VT Green Castle Reserve, LLC (DBA - VT Green Castle)",2023-04-25T08:24:42.203784,,,,,
"Craft Cannabis of Vermont, LLC","
SCLT0038
",Adult-Use,VT 05301,7,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Craft Cannabis of Vermont, LLC",2023-04-25T08:24:42.203784,42.8509152,-72.5578678,Windham County,Brattleboro,USA
"Justin's Craft Cannabis, LLC","
SCLT0016
",Adult-Use,,8,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Justin's Craft Cannabis, LLC",2023-04-25T08:24:42.203784,,,,,
Emerald Rose Farms LLC,"
SCLT0020
",Adult-Use,"3048 Valmont Rd, Boulder, CO 80301, USA",9,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Emerald Rose Farms LLC,2023-04-25T08:24:42.203784,40.0288904,-105.2527622,Boulder County,"3048 Valmont Rd, Boulder, CO 80301, USA","3048 Valmont Rd, Boulder, CO 80301, USA"
Emerald Visions LLC,"
SCLT0018
",Adult-Use,VT 05440,10,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Emerald Visions LLC,2023-04-25T08:24:42.203784,44.9750541,-73.30022389999999,Grand Isle County,Alburgh,USA
Top 1 Co.,"
SCLT0080
",Adult-Use,"Williston, ND 58801, USA",11,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Top 1 Co.,2023-04-25T08:24:42.203784,48.1469683,-103.6179745,Williams County,"Williston, ND 58801, USA","Williston, ND 58801, USA"
The Dank Closet,"
SCLT0136
",Adult-Use,"Barton County, KS, USA",12,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,The Dank Closet,2023-04-25T08:24:42.203784,38.5000699,-98.6600586,Barton County,"Barton County, KS, USA","Barton County, KS, USA"
"VVS Labs, LLC","
SCLT0062
",Adult-Use,Hartford,13,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"VVS Labs, LLC",2023-04-25T08:24:42.203784,43.6489596,-72.3192579,Windsor County,White River Junction,VT
"Birdman Inc, Birdman Vermont","
SCLT0056
",Adult-Use,,14,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,"Birdman Inc, Birdman Vermont",2023-04-25T08:24:42.203784,,,,,
Phyto Physic LLC,"
SCLT0109
",Adult-Use,,15,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Phyto Physic LLC,2023-04-25T08:24:42.203784,,,,,
RootLand Cannabis LLC,"
SCLT0135
",Adult-Use,,16,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,RootLand Cannabis LLC,2023-04-25T08:24:42.203784,,,,,
BIG Intelligence Group,"
SCLT0104
",Adult-Use,"Worcester, MA, USA",17,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,BIG Intelligence Group,2023-04-25T08:24:42.203784,42.2625932,-71.8022934,Worcester County,"Worcester, MA, USA","Worcester, MA, USA"
Cognizant Sparks LLC,"
SCLT0187
",Adult-Use,,18,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Cognizant Sparks LLC,2023-04-25T08:24:42.203784,,,,,
Mad River Terps LLC,"
SCLT0086
",Adult-Use,VT,19,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Mad River Terps LLC,2023-04-25T08:24:42.203784,44.2272782,-73.05734269999999,Addison County,Starksboro,USA
RockLake,"
SCLT0108
",Adult-Use,"155 Academy Ave, Greenwood, SC 29646, USA",20,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,RockLake,2023-04-25T08:24:42.203784,34.1771351,-82.1549043,Greenwood County,"155 Academy Ave, Greenwood, SC 29646, USA","155 Academy Ave, Greenwood, SC 29646, USA"
Green Mountain Dreams LLC; Green Mountain Dreams,"
SCLT0118
",Adult-Use,,21,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Green Mountain Dreams LLC; Green Mountain Dreams,2023-04-25T08:24:42.203784,,,,,
Green Fish Family Farm LLC,"
SCLT0145
",Adult-Use,,22,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Green Fish Family Farm LLC,2023-04-25T08:24:42.203784,,,,,
SA Cultivation LLC,"
SCLT0134
",Adult-Use,"Plymouth, MA, USA",23,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,SA Cultivation LLC,2023-04-25T08:24:42.203784,41.9584457,-70.6672621,Plymouth County,"Plymouth, MA, USA","Plymouth, MA, USA"
Crescent Moon Farm LLC,"
SCLT0151
",Adult-Use,Burke,24,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,Crescent Moon Farm LLC,2023-04-25T08:24:42.203784,44.64144170000001,-71.978707,Caledonia County,West Burke,05871
