activity,adult_use,business_dba_name,business_image_url,business_legal_name,business_owner_name,business_phone,business_structure,county,data_refreshed_date,expiration_date,id,issue_date,license_designation,license_number,license_status,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,medical,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,premise_zip_code
,True,"VMO-Ops, Inc.",,"VMO-Ops, Inc.",,240-418-2120,,St. Louis city,2023-04-27T08:29:03.541108,,0,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63118,,38.5950619,-90.2291565,MO,63118
,True,BeLeaf Medical LLC,,BeLeaf Medical LLC,,636-448-6021,,St. Louis city,2023-04-27T08:29:03.541108,,1,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Earth City,St. Louis County,38.76786329999999,-90.453037,MO,63112
,True,GF Wellness S. Grand LLC,,GF Wellness S. Grand LLC,,314-282-4679,,St. Louis city,2023-04-27T08:29:03.541108,,2,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,St. Louis,,38.5890856,-90.2446528,MO,63118
,True,COMO Health LLC,,COMO Health LLC,,240-447-5806,,St. Louis County,2023-04-27T08:29:03.541108,,3,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO,Boone County,38.9517053,-92.3340724,MO,63136
,True,FP4-Broadway LLC,,FP4-Broadway LLC,,816-588-8838,,St. Louis city,2023-04-27T08:29:03.541108,,4,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,St. Louis,,38.6837923,-90.2170457,MO,63147
,True,"Missouri Health & Wellness, LLC",,"Missouri Health & Wellness, LLC",,217-740-9107,,Adair County,2023-04-27T08:29:03.541108,,5,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63501,Adair County,40.19475389999999,-92.5832496,MO,63501
,True,"Bloom Medicinals of MO, LLC",,"Bloom Medicinals of MO, LLC",,561-305-3656,,Clinton County,2023-04-27T08:29:03.541108,,6,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64429,Clinton County,39.7402801,-94.241057,MO,64429
,True,BMD Smithville LLC,,BMD Smithville LLC,,858-848-4588,,Clay County,2023-04-27T08:29:03.541108,,7,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Smithville,Clay County,39.3721853,-94.5604803,MO,64089
,True,Agri-Genesis LLC,,Agri-Genesis LLC,,660-851-1660,,St. Louis city,2023-04-27T08:29:03.541108,,8,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63111,,38.5635304,-90.2479232,MO,63111
,True,BMD Liberty LLC,,BMD Liberty LLC,,858-848-4588,,Clay County,2023-04-27T08:29:03.541108,,9,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO,Clay County,39.2461138,-94.4191177,MO,64068
,True,"Vertical Enterprise, LLC",,"Vertical Enterprise, LLC",,816-582-3459,,Buchanan County,2023-04-27T08:29:03.541108,,10,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,St Joseph,Buchanan County,39.7748541,-94.80387619999999,MO,64506
,True,Kansas City Cannabis Company LLC,,Kansas City Cannabis Company LLC,,816-223-7159,,Clay County,2023-04-27T08:29:03.541108,,11,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Excelsior Springs,Clay County,39.3397324,-94.24755359999999,MO,64024
,True,Kansas City Cannabis Company LLC,,Kansas City Cannabis Company LLC,,816-223-7159,,Jackson County,2023-04-27T08:29:03.541108,,12,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Blue Springs,Jackson County,39.0371845,-94.2733511,MO,64015
,True,Agri-Genesis LLC,,Agri-Genesis LLC,,660-851-1660,,Platte County,2023-04-27T08:29:03.541108,,13,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO,Jackson County,39.0997265,-94.5785667,MO,64151
,True,"True Level Investments, Inc.",,"True Level Investments, Inc.",,816-832-8882,,Buchanan County,2023-04-27T08:29:03.541108,,14,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64506,,39.7898725,-94.8022232,MO,64506
,True,Red Stag Retail LLC,,Red Stag Retail LLC,,614-296-7521,,Daviess County,2023-04-27T08:29:03.541108,,15,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64640,Daviess County,39.9144513,-93.9621669,MO,64640
,True,FP2-Natural Bridge LLC,,FP2-Natural Bridge LLC,,816-588-8838,,St. Louis County,2023-04-27T08:29:03.541108,,16,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,St. Louis,St. Louis County,38.7296384,-90.3459655,MO,63134
,True,Riverside Wellness LLC,,Riverside Wellness LLC,,816-321-2010,,Platte County,2023-04-27T08:29:03.541108,,17,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Riverside,Platte County,39.17469,-94.61245489999999,MO,64150
,True,Heya St. Ann Retail II LLC,,Heya St. Ann Retail II LLC,,314-650-4597,,St. Louis County,2023-04-27T08:29:03.541108,,18,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,St Ann,St. Louis County,38.7303723,-90.38081269999999,MO,63074
,True,BMD Cameron LLC,,BMD Cameron LLC,,858-848-4588,,Platte County,2023-04-27T08:29:03.541108,,19,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64151,Platte County,39.2182916,-94.6347041,MO,64151
,True,"MO Med Hannibal, LLC",,"MO Med Hannibal, LLC",,660-651-3252,,Marion County,2023-04-27T08:29:03.541108,,20,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63401,Marion County,39.7083789,-91.35848159999999,MO,63401
,True,"Mother Dispensaries, Inc.",,"Mother Dispensaries, Inc.",,970-485-5730,,Buchanan County,2023-04-27T08:29:03.541108,,21,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64503,Buchanan County,39.7280513,-94.8002333,MO,64503
,True,JG Missouri LLC,,JG Missouri LLC,,858-750-0339,,Adair County,2023-04-27T08:29:03.541108,,22,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Kirksville,Adair County,40.1964133,-92.5771164,MO,63501
,True,Kansas City Cannabis Company LLC,,Kansas City Cannabis Company LLC,,816-223-7159,,Clay County,2023-04-27T08:29:03.541108,,23,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Kearney,Clay County,39.3693981,-94.3677142,MO,64060
,True,"V3 Mo Vending 2, LLC",,"V3 Mo Vending 2, LLC",,630-747-3542,,St. Louis County,2023-04-27T08:29:03.541108,,24,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63042,St. Louis County,38.7884682,-90.403094,MO,63042
,True,Kansas City Cannabis Company LLC,,Kansas City Cannabis Company LLC,,816-223-7159,,Jackson County,2023-04-27T08:29:03.541108,,25,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Lee's Summit,Jackson County,38.9462874,-94.2757657,MO,64064
,True,COMO Health LLC,,COMO Health LLC,,240-447-5806,,St. Louis city,2023-04-27T08:29:03.541108,,26,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63109,,38.5844193,-90.2948797,MO,63109
,True,"Mo Med Chillicothe, LLC",,"Mo Med Chillicothe, LLC",,660-651-3252,,Livingston County,2023-04-27T08:29:03.541108,,27,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Chillicothe,Livingston County,39.7765896,-93.5522907,MO,64601
,True,"6662 Delmar SL, LLC",,"6662 Delmar SL, LLC",,707-217-1611,,St. Louis County,2023-04-27T08:29:03.541108,,28,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,University City,St. Louis County,38.656016,-90.3081571,MO,63130
,True,Agri-Genesis LLC,,Agri-Genesis LLC,,660-851-1660,,Nodaway County,2023-04-27T08:29:03.541108,,29,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64468,Nodaway County,40.3461017,-94.8724706,MO,64468
